arm,seed_idx,n_units,overall_acc,steady_acc,adapt_time,runtime_s
esn_fast,1,256,0.9952222222222222,1.0,14.0,13.623404741287231
esn_fast,4,256,0.9955555555555555,1.0,8.6,13.854098558425903
esn_fast,2,256,0.9953333333333333,1.0,12.4,13.941987752914429
esn_fast,7,256,0.9953333333333333,1.0,8.0,14.718242645263672
esn_fast,9,256,0.997,1.0,1.6,18.01266574859619
esn_fast,6,256,0.9946666666666667,1.0,20.0,19.7808895111084
esn_fast,0,256,0.9972222222222222,1.0,1.2,21.170748233795166
esn_fast,5,256,0.9922222222222222,1.0,38.0,21.018610954284668
esn_fast,8,256,0.9977777777777778,1.0,0.6,21.165091037750244
esn_fast,3,256,0.9947777777777778,1.0,7.8,21.561936378479004
esn_dual,2,256,0.9978888888888889,1.0,0.6,200.80306673049927
esn_dual,0,256,0.9981111111111111,1.0,0.0,201.8376705646515
esn_dual,1,256,0.9976666666666667,1.0,0.2,204.03594255447388
esn_dual,5,256,0.9978888888888889,1.0,0.2,206.22332739830017
esn_dual,4,256,0.9981111111111111,1.0,0.0,207.1023988723755
esn_dual,3,256,0.9977777777777778,1.0,0.2,207.73129081726074
esn_dual,6,256,0.9978888888888889,1.0,0.2,207.54960441589355
esn_dual,8,256,0.998,1.0,0.2,207.21515464782715
esn_dual,7,256,0.9977777777777778,1.0,0.4,209.4451093673706
esn_dual,9,256,0.998,1.0,0.4,209.82512784004211
redem,3,256,0.9945555555555555,1.0,7.2,209.89741563796997
redem,0,256,0.9953333333333333,1.0,5.4,212.88683080673218
redem,5,256,0.9934444444444445,1.0,15.2,210.4537434577942
redem,1,256,0.9952222222222222,1.0,6.4,212.47474718093872
redem,2,256,0.9951111111111111,1.0,10.4,212.6419379711151
redem,4,256,0.9922222222222222,1.0,12.8,212.31650924682617
redem,6,256,0.9936666666666667,1.0,22.6,82.4036033153534
redem,7,256,0.9948888888888889,1.0,5.2,82.2466926574707
redem,8,256,0.9951111111111111,1.0,7.4,80.42747473716736
redem,9,256,0.9927777777777778,1.0,20.0,78.14216470718384
