arm,seed,feat,readout_map,stream_ppl,clip_frac,floor_frac,neg_frac,forgetting_ppl,forget_floor_frac,oracle_ppl,softmax_lr,runtime_s
B-lin-clip,0,proj,lin_clip,11.856420129224789,0.015556419801100061,0.0,0.015556419801100061,7.8845055765761005,0.0004008016032064128,7.344013092223381,nan,22.194425582885742
B-lin-clip,1,proj,lin_clip,11.632281831852639,0.01600088893827435,0.0,0.01600088893827435,8.738496905700682,0.002404809619238477,7.152388668797903,nan,27.001299142837524
B-lin-clip,2,proj,lin_clip,11.59204962945722,0.015500861158953275,0.0,0.015500861158953275,8.506051721556897,0.0012024048096192384,7.185695874900826,nan,35.515949010849
B-lin-clip,3,proj,lin_clip,11.912410680675343,0.015778654369687204,0.0,0.015778654369687204,8.455264110853838,0.0012024048096192384,7.361639746876128,nan,27.652069568634033
B-lin-clip,4,proj,lin_clip,11.850079151887456,0.016056447580421136,0.0,0.016056447580421136,8.021205617527773,0.0,7.2545617397491755,nan,38.93290853500366
B-lin-clip,5,proj,lin_clip,11.851402142669775,0.01677870992832935,0.0,0.01677870992832935,7.932161063585663,0.0004008016032064128,7.186052996483156,nan,21.573970317840576
B-lin-clip,6,proj,lin_clip,11.725489023319781,0.015389743874659703,0.0,0.015389743874659703,8.584143401603058,0.0004008016032064128,7.290880561240637,nan,35.08536338806152
B-lin-clip,7,proj,lin_clip,11.518797695706334,0.015389743874659703,0.0,0.015389743874659703,8.11830710388008,0.0008016032064128256,7.182753544109646,nan,34.17087507247925
B-lin-clip,8,proj,lin_clip,11.766794159922396,0.01572309572754042,0.0,0.01572309572754042,9.19187403269118,0.0008016032064128256,7.258389212524579,nan,31.738910913467407
B-lin-clip,9,proj,lin_clip,11.835518385728989,0.01600088893827435,0.0,0.01600088893827435,8.436094537093101,0.0008016032064128256,7.261724518487203,nan,25.01733112335205
B-noise-softmax,0,noise,softmax_sgd,10.387125458307082,0.0,0.0,0.0,9.096728619038315,0.0,10.629636078938452,0.05,49.30650448799133
B-noise-softmax,1,noise,softmax_sgd,10.066439148816476,0.0,0.0,0.0,9.489123799317815,0.0,10.47290174136556,0.05,48.78428244590759
B-noise-softmax,2,noise,softmax_sgd,10.20391618982151,0.0,0.0,0.0,9.466592047693926,0.0,10.396722697588306,0.05,48.9459228515625
B-noise-softmax,3,noise,softmax_sgd,10.440872304516303,0.0,0.0,0.0,9.664333059210382,0.0,10.912779524033928,0.05,48.01138234138489
B-noise-softmax,4,noise,softmax_sgd,10.162051974106678,0.0,0.0,0.0,9.498503667651303,0.0,10.917100856334839,0.05,48.093393325805664
