task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,gain_mean,gain_max
drift_binary,R1_full_swap,parallel,rls_online,9,256,40000,2.8108441829681396,0.9932903695887038,1.0,1.0,1.0,nan,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_base,0,256,40000,5.8067286014556885,0.9746569181678852,1.0,0.94,1.0,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_base,1,256,40000,6.078803539276123,0.9559217105097861,1.0,0.945,1.0,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_base,2,256,40000,5.984235048294067,0.9693922263259717,1.0,0.94,1.0,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_base,3,256,40000,6.742176532745361,0.9686231501721062,1.0,0.925,1.0,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_base,4,256,40000,6.567254543304443,0.9722636365920455,1.0,0.94,1.0,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_base,5,256,40000,6.38001275062561,0.9699454787568152,1.0,0.925,0.99,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_base,6,256,40000,7.1973841190338135,0.9692277832215271,1.0,0.945,1.0,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_base,7,256,40000,6.7834367752075195,0.9674720484409939,1.0,0.945,1.0,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_base,8,256,40000,6.212082386016846,0.9761170573603678,1.0,0.93,1.0,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_base,9,256,40000,6.255688667297363,0.9587882214014724,1.0,0.905,1.0,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_boost,0,256,40000,6.494998931884766,0.9753685837039271,1.0,0.94,1.0,1.1018144434242059,9.7
drift_binary,R1_full_swap,random_graph_k25,delta_boost,1,256,40000,6.610673189163208,0.9509720861284893,1.0,0.945,1.0,1.1102097030659195,9.7
drift_binary,R1_full_swap,random_graph_k25,delta_boost,2,256,40000,6.573670864105225,0.9736127232984094,1.0,0.945,1.0,1.1150089521242061,9.994
drift_binary,R1_full_swap,random_graph_k25,delta_boost,3,256,40000,5.990534782409668,0.9680005527499309,1.0,0.925,1.0,1.1141481060759995,9.7
drift_binary,R1_full_swap,random_graph_k25,delta_boost,4,256,40000,6.73213791847229,0.9714078791990152,1.0,0.93,1.0,1.1164318015928558,9.7
drift_binary,R1_full_swap,random_graph_k25,delta_boost,5,256,40000,7.550067901611328,0.9700447224944097,1.0,0.945,1.0,1.1185535012890202,9.994
drift_binary,R1_full_swap,random_graph_k25,delta_boost,6,256,40000,6.434162616729736,0.9644026531996684,1.0,0.93,1.0,1.1156816379322194,9.71788
drift_binary,R1_full_swap,random_graph_k25,delta_boost,7,256,40000,4.951480150222778,0.9644496369437954,1.0,0.945,1.0,1.1257272539185792,9.994
drift_binary,R1_full_swap,random_graph_k25,delta_boost,8,256,40000,6.440528392791748,0.9736163664229541,1.0,0.93,1.0,1.129649533008508,9.994
drift_binary,R1_full_swap,random_graph_k25,delta_boost,9,256,40000,4.697344779968262,0.9625872465515941,1.0,0.915,1.0,1.1042515384603393,9.7
drift_binary,R1_full_swap,random_graph_k25,delta_high,0,256,40000,6.003997087478638,0.8242280344714956,0.855,0.845,0.84,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_high,1,256,40000,5.338232040405273,0.827362503454687,0.84,0.86,0.845,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_high,2,256,40000,5.649810314178467,0.829377528202809,0.84,0.855,0.84,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_high,3,256,40000,5.026501655578613,0.8188986457626692,0.84,0.83,0.84,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_high,4,256,40000,5.394201993942261,0.8253410718323658,0.83,0.84,0.86,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_high,5,256,40000,4.568059921264648,0.8272285872214267,0.825,0.84,0.855,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_high,8,256,40000,5.099310398101807,0.8209843973769504,0.84,0.835,0.84,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_high,9,256,40000,4.423249006271362,0.8236535514183061,0.855,0.82,0.845,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_high,6,256,40000,5.286043882369995,0.824458807567649,0.825,0.855,0.855,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,delta_high,7,256,40000,5.0333638191223145,0.8240957513630313,0.835,0.855,0.84,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,rls_online,0,256,40000,4.925686359405518,0.9979133690108288,1.0,1.0,1.0,nan,0.0
drift_binary,R1_full_swap,random_graph_k25,rls_online,1,256,40000,4.546996593475342,0.99746111906736,1.0,1.0,1.0,nan,0.0
drift_binary,R2_partial_shift,parallel,delta_base,0,256,40000,1.846360206604004,0.7433023039622121,0.99,0.5425,0.565,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_base,1,256,40000,1.609130620956421,0.7371049722368785,0.99,0.6,0.5,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_base,2,256,40000,1.7242796421051025,0.7560149242481344,0.995,0.56,0.535,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_base,3,256,40000,1.4786744117736816,0.726041807994774,0.99,0.5,0.465,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_base,4,256,40000,1.982825756072998,0.7589384688826913,0.99,0.59,0.66,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_base,5,256,40000,1.8435285091400146,0.7670187934976508,0.99,0.52,0.6,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_base,6,256,40000,1.7625744342803955,0.7399512575060927,0.985,0.6,0.5,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_base,7,256,40000,1.4742841720581055,0.751380744202407,0.98,0.6,0.53,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_base,8,256,40000,1.449345588684082,0.7479356046330494,1.0,0.485,0.5,0.0,0.0
drift_binary,R2_partial_shift,parallel,delta_base,9,256,40000,1.7848689556121826,0.7353473530815808,0.99,0.49,0.5,0.0,0.0
drift_binary,R1_full_swap,random_graph_k25,rls_online,2,256,40000,4.5510947704315186,0.9959033692620788,1.0,1.0,1.0,nan,0.0
drift_binary,R1_full_swap,random_graph_k25,rls_online,3,256,40000,4.751556396484375,0.9988681188914851,1.0,1.0,1.0,nan,0.0
drift_binary,R1_full_swap,random_graph_k25,rls_online,4,256,40000,4.2510035037994385,0.996858119142735,1.0,1.0,1.0,nan,0.0
drift_binary,R1_full_swap,random_graph_k25,rls_online,5,256,40000,4.4566967487335205,0.9979636190045476,1.0,1.0,1.0,nan,0.0
