arm,seed_idx,n_edges,degree_mean,mc_initial,mc_final,runtime_s
fixed_ring,0,256,2.0,11.556275892830573,11.556275892830573,1.2122266292572021
fixed_ring,1,256,2.0,11.828283044384584,11.828283044384584,1.2050604820251465
fixed_ring,2,256,2.0,9.245893129476578,9.245893129476578,1.752429723739624
fixed_ring,3,256,2.0,12.05052045492554,12.05052045492554,1.8202910423278809
fixed_ring,4,256,2.0,12.276864181495851,12.276864181495851,1.783372402191162
fixed_ring,6,256,2.0,12.539578581273847,12.539578581273847,2.1138458251953125
fixed_ring,5,256,2.0,12.536341573593791,12.536341573593791,2.2475085258483887
fixed_ring,8,256,2.0,11.359359195820929,11.359359195820929,2.2319130897521973
fixed_ring,9,256,2.0,9.355175739757499,9.355175739757499,2.355240821838379
fixed_ring,7,256,2.0,12.644502023133757,12.644502023133757,2.9552056789398193
evolve_random,6,256,2.0,12.542698278168967,13.215806258552856,5.198045492172241
evolve_random,5,256,2.0,12.43003369855579,13.338117421283098,5.557507038116455
evolve_random,8,256,2.0,11.489770086245292,12.40237201244212,6.465640068054199
evolve_random,1,256,2.0,11.934388017889543,14.09966302875405,8.00907301902771
evolve_random,0,256,2.0,11.594528524124469,13.161491328578368,8.174317359924316
evolve_random,9,256,2.0,9.489499596579908,10.4390729075856,6.6983537673950195
evolve_random,4,256,2.0,12.334106616835156,13.792547955757302,8.244911670684814
evolve_random,3,256,2.0,12.047987717304819,13.533651704148443,8.454412937164307
evolve_random,2,256,2.0,8.904291757788354,8.974313439600762,8.783063411712646
evolve_random,7,256,2.0,12.507369016278338,13.051998325741668,9.692270040512085
evolve_novelty,0,256,2.0,11.594528524124469,14.207232701473648,8.830992698669434
evolve_novelty,3,256,2.0,12.047987717304819,14.92863044061984,8.813605546951294
evolve_novelty,2,256,2.0,8.904291757788354,14.204839707358952,9.172948837280273
evolve_novelty,4,256,2.0,12.334106616835156,14.105613327103802,9.088508367538452
evolve_novelty,1,256,2.0,11.934388017889543,14.450101931453634,9.578150033950806
evolve_novelty,5,256,2.0,12.43003369855579,14.30425414691844,8.664051532745361
evolve_novelty,6,256,2.0,12.542698278168967,15.442178002229602,7.609374761581421
evolve_novelty,7,256,2.0,12.507369016278338,15.279142932444383,7.718896865844727
evolve_corr,0,256,2.0,11.594528524124469,13.413672419745811,6.207409858703613
evolve_corr,1,256,2.0,11.934388017889543,13.277884935831354,6.136386871337891
evolve_corr,3,256,2.0,12.047987717304819,14.275371778290797,6.026127576828003
evolve_novelty,9,256,2.0,9.489499596579908,14.77371538290469,6.6938316822052
evolve_novelty,8,256,2.0,11.489770086245292,14.158788472093201,6.871526479721069
evolve_corr,2,256,2.0,8.904291757788354,12.831392656199185,6.424942493438721
evolve_corr,4,256,2.0,12.334106616835156,11.686117565023276,6.145394325256348
evolve_corr,5,256,2.0,12.43003369855579,12.852928071117438,5.0755391120910645
evolve_corr,6,256,2.0,12.542698278168967,13.850032898366972,4.892063856124878
evolve_corr,7,256,2.0,12.507369016278338,12.873540733456394,4.422146797180176
evolve_corr,8,256,2.0,11.489770086245292,9.281727702329539,4.168982982635498
evolve_corr,9,256,2.0,9.489499596579908,9.997803937584166,4.152091979980469
