task,dim,boundary,substrate,k_pulses,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,steady_acc
sphere_capacity,3D,plane,random_graph_k25,21,rls_raw,7,256,42000,3.8384087085723877,0.8465328580655965,0.895,0.735
sphere_capacity,3D,plane,random_graph_k25,21,rls_raw,4,256,42000,3.9604780673980713,0.8779231358101481,0.895,0.84
sphere_capacity,3D,plane,random_graph_k25,21,rls_raw,5,256,42000,4.126425266265869,0.8851448529939475,0.895,0.855
sphere_capacity,3D,plane,random_graph_k25,21,rls_raw,8,256,42000,3.8852145671844482,0.8588075644123346,0.895,0.79
sphere_capacity,3D,plane,random_graph_k25,21,rls_raw,9,256,42000,3.942080497741699,0.8800130379655988,1.0,0.83
sphere_capacity,3D,plane,random_graph_k25,21,delta_raw,0,256,42000,4.25018048286438,0.7966640750221285,0.79,0.79
sphere_capacity,3D,plane,random_graph_k25,21,delta_raw,1,256,42000,4.259846210479736,0.7994437932106888,0.895,0.79
sphere_capacity,3D,plane,random_graph_k25,21,delta_raw,2,256,42000,4.0877649784088135,0.7806682854477166,0.79,0.79
sphere_capacity,3D,plane,random_graph_k25,21,delta_raw,3,256,42000,4.099797248840332,0.7831315040310041,0.79,0.79
sphere_capacity,3D,plane,random_graph_k25,21,delta_raw,4,256,42000,4.164344072341919,0.8027243367383555,0.79,0.79
sphere_capacity,3D,plane,random_graph_k25,21,delta_raw,5,256,42000,4.22747015953064,0.7981963350159087,0.79,0.79
sphere_capacity,3D,plane,random_graph_k25,21,delta_raw,8,256,42000,4.081267595291138,0.7877675175235043,0.8674999999999999,0.815
sphere_capacity,3D,plane,random_graph_k25,21,delta_raw,9,256,42000,3.972933769226074,0.789100739216765,0.79,0.79
sphere_capacity,3D,plane,random_graph_k25,21,delta_raw,6,256,42000,4.171177864074707,0.7831154757063229,0.785,0.79
sphere_capacity,3D,plane,random_graph_k25,21,delta_raw,7,256,42000,4.196562767028809,0.7780298318222052,0.79,0.84
sphere_capacity,3D,sphere,random_graph_k25,21,rls_raw,2,256,42000,3.9860496520996094,0.7386834047032367,0.8,0.715
sphere_capacity,3D,sphere,random_graph_k25,21,rls_raw,3,256,42000,4.130316495895386,0.7146680701418626,0.79,0.79
sphere_capacity,3D,sphere,random_graph_k25,21,rls_raw,4,256,42000,4.084307670593262,0.7426431185856798,0.79,0.72
sphere_capacity,3D,sphere,random_graph_k25,21,rls_raw,5,256,42000,3.90570068359375,0.7338796918734001,0.79,0.79
sphere_capacity,3D,sphere,random_graph_k25,21,rls_raw,0,256,42000,4.116179466247559,0.7170769838042153,0.73,0.685
sphere_capacity,3D,sphere,random_graph_k25,21,rls_raw,1,256,42000,4.157819509506226,0.7076413243702303,0.79,0.7275
sphere_capacity,3D,sphere,random_graph_k25,21,rls_raw,6,256,42000,4.053699493408203,0.7251216478074687,0.79,0.79
sphere_capacity,3D,sphere,random_graph_k25,21,rls_raw,7,256,42000,4.07709002494812,0.703615702973613,0.78,0.685
sphere_capacity,3D,sphere,random_graph_k25,21,rls_raw,8,256,42000,4.152902126312256,0.724752398267984,0.8,0.685
sphere_capacity,3D,sphere,random_graph_k25,21,rls_raw,9,256,42000,3.8731231689453125,0.7161039209588288,0.81,0.745
sphere_capacity,3D,sphere,random_graph_k25,21,delta_raw,0,256,42000,4.0651679039001465,0.49952525059209113,0.515,0.51
sphere_capacity,3D,sphere,random_graph_k25,21,delta_raw,1,256,42000,4.115743160247803,0.5003230783952536,0.525,0.42
sphere_capacity,3D,sphere,parallel,21,rls_raw,0,256,42000,1.6225712299346924,0.5023470730365303,0.475,0.525
sphere_capacity,3D,sphere,parallel,21,rls_raw,1,256,42000,1.645517349243164,0.5216591708332337,0.58,0.525
sphere_capacity,3D,sphere,parallel,21,rls_raw,2,256,42000,1.6614549160003662,0.525391856654147,0.475,0.58
sphere_capacity,3D,sphere,parallel,21,rls_raw,3,256,42000,1.6382172107696533,0.5477974211143274,0.525,0.58
sphere_capacity,3D,sphere,parallel,21,rls_raw,4,256,42000,1.7337803840637207,0.5133718092868592,0.525,0.475
sphere_capacity,3D,sphere,parallel,21,rls_raw,5,256,42000,1.6414313316345215,0.4958478266070189,0.47,0.515
sphere_capacity,3D,sphere,parallel,21,rls_raw,6,256,42000,1.6224260330200195,0.511889787325662,0.475,0.525
sphere_capacity,3D,sphere,parallel,21,rls_raw,7,256,42000,1.673654556274414,0.5288969163417143,0.545,0.475
sphere_capacity,3D,sphere,random_graph_k25,21,delta_raw,2,256,42000,4.046452760696411,0.5081184660654051,0.525,0.525
sphere_capacity,3D,sphere,random_graph_k25,21,delta_raw,3,256,42000,4.277339696884155,0.5066640750221287,0.525,0.49
sphere_capacity,3D,sphere,random_graph_k25,21,delta_raw,4,256,42000,4.22013521194458,0.5026359417238823,0.58,0.525
sphere_capacity,3D,sphere,random_graph_k25,21,delta_raw,5,256,42000,4.269776821136475,0.5060285639099543,0.475,0.525
sphere_capacity,3D,sphere,parallel,21,rls_raw,8,256,42000,1.657508373260498,0.5466686203679337,0.58,0.51
sphere_capacity,3D,sphere,parallel,21,rls_raw,9,256,42000,1.6502599716186523,0.5318634721657376,0.54,0.475
sphere_capacity,3D,sphere,parallel,21,delta_raw,0,256,42000,1.5845427513122559,0.4900789454797732,0.515,0.475
sphere_capacity,3D,sphere,parallel,21,delta_raw,1,256,42000,1.6848359107971191,0.5004245113753261,0.42,0.475
sphere_capacity,3D,sphere,parallel,21,delta_raw,2,256,42000,1.7324025630950928,0.5203021458816776,0.525,0.525
sphere_capacity,3D,sphere,parallel,21,delta_raw,3,256,42000,1.5612144470214844,0.4967219683739624,0.58,0.48
sphere_capacity,3D,sphere,parallel,21,delta_raw,4,256,42000,1.6285161972045898,0.5116812994904428,0.58,0.5
sphere_capacity,3D,sphere,parallel,21,delta_raw,5,256,42000,1.4201104640960693,0.4878835434558981,0.465,0.49
sphere_capacity,3D,sphere,random_graph_k25,21,delta_raw,6,256,42000,4.242204189300537,0.512456520178943,0.475,0.525
sphere_capacity,3D,sphere,random_graph_k25,21,delta_raw,7,256,42000,3.808171272277832,0.5070835625941964,0.5375000000000001,0.45
sphere_capacity,3D,sphere,random_graph_k25,21,delta_raw,8,256,42000,4.309986352920532,0.5094437932106888,0.58,0.475
sphere_capacity,3D,sphere,random_graph_k25,21,delta_raw,9,256,42000,3.972642660140991,0.5031197818234014,0.525,0.54
sphere_capacity,3D,sphere,parallel,21,delta_raw,6,256,42000,1.6735522747039795,0.4964557068012727,0.49,0.525
sphere_capacity,3D,sphere,parallel,21,delta_raw,7,256,42000,0.9998884201049805,0.5073749431831774,0.58,0.475
sphere_capacity,3D,sphere,parallel,21,delta_raw,8,256,42000,1.5126681327819824,0.5046771608334729,0.58,0.475
sphere_capacity,3D,sphere,parallel,21,delta_raw,9,256,42000,0.964855432510376,0.5060561948278749,0.5,0.54
