arm,seed,stream_ppl,neg_frac,forgetting_ppl,oracle_ppl,clip_frac,stream_ppl_unclipped,stream_n_unc_undefined,forget_neg_frac,forget_clip_frac,forgetting_ppl_unclipped,forget_n_unc_undefined,runtime_s
LN-raw,0,124.40739802608073,0.08111561753430746,762.6207459669787,30.579271205242534,0.08111561753430746,16.613338449188042,1460,0.1406813627254509,0.1406813627254509,19.00838477215928,351,3.8868162631988525
LN-raw,1,121.49356019356003,0.08078226568142674,2725.007889661398,31.2315424291171,0.08078226568142674,16.336839283957644,1454,0.19799599198396794,0.19799599198396794,16.945474359884106,494,4.0852179527282715
LN-raw,2,116.22675049178484,0.07833768542696816,2151.2940653587725,31.815883381110684,0.07833768542696816,16.630145182634873,1410,0.17795591182364728,0.17795591182364728,18.095442464919948,444,4.022180795669556
LN-raw,3,113.42246636760841,0.07694871937329852,1809.7188835557815,31.359866632836464,0.07694871937329852,16.812206118486817,1385,0.17595190380761522,0.17595190380761522,17.574159988491324,439,4.007361650466919
LN-raw,4,111.82802103498108,0.07805989221623423,2069.370504393202,32.372657655735225,0.07805989221623423,16.06829535303649,1405,0.18276553106212426,0.18276553106212426,17.0507213443449,456,4.076528310775757
LN-raw,5,107.23180091513265,0.07639313295183066,1036.719107051012,32.71662273734374,0.07639313295183066,16.058844656557127,1375,0.14468937875751503,0.14468937875751503,18.09239706271201,361,4.012270212173462
LN-raw,6,113.67569288984414,0.07728207122617924,1002.8354747911432,30.985755011029863,0.07728207122617924,16.7025150204098,1391,0.1595190380761523,0.1595190380761523,17.96373921013614,398,4.04828143119812
LN-raw,7,118.96544499812721,0.07989332740707818,2175.8343795734872,30.91213216124362,0.07989332740707818,16.355529491983425,1438,0.1871743486973948,0.1871743486973948,17.988085042625436,467,4.029475927352905
LN-raw,8,115.25196072100199,0.07794877493194066,1829.5966834430262,32.59585187183243,0.07794877493194066,16.652350591676697,1403,0.1811623246492986,0.1811623246492986,18.091724593436133,452,4.167462587356567
LN-raw,9,107.41565293313462,0.07511528418245458,2280.986717923366,32.229926110681326,0.07511528418245458,16.65069649536368,1352,0.1971943887775551,0.1971943887775551,16.871541749031167,492,4.062931299209595
LN-whiten,0,126.95075862878208,0.0825601422301239,817.640210398301,30.444096727393077,0.0825601422301239,16.33283601173423,1486,0.14428857715430862,0.14428857715430862,18.610391176961002,360,4.049724817276001
LN-whiten,1,122.19553744477824,0.08156008667148175,3656.4685197067215,30.5392833222513,0.08156008667148175,16.097421779737594,1468,0.2096192384769539,0.2096192384769539,16.283949664738927,523,4.082629203796387
LN-whiten,2,117.03689129885598,0.07928218234346353,2142.0741281038872,31.60847524717285,0.07928218234346353,16.33484409075676,1427,0.181563126252505,0.181563126252505,17.411277021465573,453,4.068756580352783
LN-whiten,3,113.60032882781805,0.07772654036335352,1929.363130300963,31.45515268197878,0.07772654036335352,16.492091503120133,1399,0.17955911823647294,0.17955911823647294,17.29632168841499,448,4.058415174484253
LN-whiten,4,114.14172679306971,0.07972665148063782,2312.478344230449,32.22355493277643,0.07972665148063782,15.70665533633111,1435,0.18797595190380761,0.18797595190380761,16.78563131752079,469,4.0819127559661865
LN-whiten,5,108.1728164953915,0.07728207122617924,1138.5232918208928,32.26439364680083,0.07728207122617924,15.828054113965884,1391,0.14949899799599198,0.14949899799599198,17.73303033756303,373,4.02336859703064
LN-whiten,6,114.1059098111785,0.07805989221623423,1038.8438545279155,31.088494226728443,0.07805989221623423,16.423616467949838,1405,0.16072144288577153,0.16072144288577153,17.74288909235124,401,4.070207357406616
LN-whiten,7,119.71793227195232,0.08078226568142674,2230.1315774787263,30.941587336971583,0.08078226568142674,16.07728114192731,1454,0.18597194388777555,0.18597194388777555,17.945236917748343,464,4.043806076049805
LN-whiten,8,116.6869332560262,0.07911550641702317,1945.7043349384253,32.59736397007351,0.07911550641702317,16.3551708662633,1424,0.18356713426853707,0.18356713426853707,18.124707566217243,458,4.069316625595093
LN-whiten,9,106.07599796789464,0.07511528418245458,2216.5820042264377,31.83853609586734,0.07511528418245458,16.42628280993999,1352,0.1963927855711423,0.1963927855711423,16.80279248589494,490,4.052743434906006
CV-whiten,0,79.0493126041879,0.10539474415245291,83.47787961995073,32.57458164431746,0.10539474415245291,5.10205590058134,1897,0.10581162324649299,0.10581162324649299,5.226117032863579,264,4.055206060409546
