arm,seed_idx,r0_nmse,r1_nmse,r2_nmse,r3_nmse,r0_kappa,r1_kappa,r2_kappa,r3_kappa,r0_mc,r1_mc,r2_mc,r3_mc,kappa_drift_r2_r1,kappa_drift_r3_r1,n_edges_final,runtime_s
homeo_no_plasticity,0,0.07351291035196003,0.0037106506810837313,0.002923397989563158,0.11154891649717144,25.39640901972837,26.306881942922193,27.715857548124017,28.92764597782739,10.015411149960917,7.250966449597023,8.14503499899866,9.174802212911834,1.4089756052018245,2.6207640349051964,629,5.8631041049957275
homeo_no_plasticity,1,0.059744923413084856,0.004253408454675626,0.0038941169104113778,0.11009466841699177,25.31221895992395,26.098196979969593,27.684820023389165,29.09503713765858,11.279011518192528,7.227614091103801,8.135410183131956,9.08509322900965,1.5866230434195714,2.996840157688986,629,6.383527994155884
homeo_no_plasticity,4,0.07424652317041457,0.004175632602707908,0.0020554791741117335,0.11215774807254864,25.431162321811406,26.402267470624743,27.304061173389645,27.915184371140676,11.385030386367657,6.991243795570273,7.850386380262703,8.502961456313143,0.9017937027649019,1.5129169005159326,629,6.43795371055603
fixed_kappa_churn,3,0.07250903619092634,0.01991750748474855,0.017748299063230794,0.09976148061786644,25.0,25.0,25.0,25.0,11.014032449545763,5.512355288878196,5.8585892528402015,5.824945766814441,0.0,0.0,629,6.9737207889556885
fixed_kappa_churn,0,0.10514237832726764,0.014446520740038033,0.020271159163039135,0.09810904940113818,25.0,25.0,25.0,25.0,10.015411149960917,5.5513246509094,5.584018401905889,5.6852693516660615,0.0,0.0,629,7.397453308105469
fixed_kappa_churn,1,0.0778160856233911,0.015046052012892677,0.01674088197928139,0.10820198107993532,25.0,25.0,25.0,25.0,11.279011518192528,5.644558447454404,5.4838045566586695,5.234679680620159,0.0,0.0,629,7.436519622802734
homeo_no_plasticity,2,0.06474661349832518,0.0041641880906938674,0.004169154037611925,0.11144028487731653,25.224956981796275,26.22425063284437,27.73527134508839,29.03001757599878,2.0036963021985708,7.0505244458689385,7.895833224752376,8.458173624099802,1.5110207122440187,2.80576694315441,629,7.168863296508789
fixed_kappa_churn,2,0.09728280562404157,0.028556161344927368,0.017494581328615404,0.094676320897378,25.0,25.0,25.0,25.0,2.0036963021985708,4.219821487787483,5.9853112037170035,5.409724063795585,0.0,0.0,629,8.739020824432373
homeo_no_plasticity,3,0.060565989890039515,0.0038661696287053612,0.0038497622565592336,0.10886136049970392,25.348345946971463,26.26065523346164,27.242958931130577,28.141305990979,11.014032449545763,7.00641848698033,7.304045289463064,8.534165391305875,0.9823036976689359,1.8806507575173583,629,8.748716354370117
fixed_kappa_churn,7,0.09410201556767406,0.020440812709767473,0.02024667586445512,0.11072172246292811,25.0,25.0,25.0,25.0,11.011729164930104,5.605512560602474,5.624111358199292,5.801689042440842,0.0,0.0,629,8.830925226211548
fixed_kappa_churn,4,0.09833861760919688,0.02177447524315172,0.02115479604019445,0.11377869429725786,25.0,25.0,25.0,25.0,11.385030386367657,5.77590019783675,5.665644872892409,5.3238890279404085,0.0,0.0,629,9.799340963363647
fixed_kappa_churn,8,0.09529620252636764,0.035292007926905934,0.01643090226906778,0.09805767617734097,25.0,25.0,25.0,25.0,10.841818126655863,5.690265379134681,5.958131333739352,5.777343859228545,0.0,0.0,629,10.084876537322998
fixed_kappa_churn,6,0.09942479959491407,0.013966079674910791,0.022105394127306416,0.10752685811032435,25.0,25.0,25.0,25.0,11.731134407901376,5.5798288566088985,5.319249040405811,6.0468736937286955,0.0,0.0,629,10.929131031036377
fixed_kappa_churn,9,0.07703717541678246,0.017444606869068683,0.04181957675941767,0.10033789396913581,25.0,25.0,25.0,25.0,11.276506299467771,5.246993604896188,5.440797840610219,5.315440010952225,0.0,0.0,629,11.008289575576782
fixed_kappa_churn,5,0.0851647332666221,0.01991225518214438,0.02750506457895714,0.10293189230080449,25.0,25.0,25.0,25.0,11.338746487297865,5.438280417207466,6.235230882466819,5.760088947849978,0.0,0.0,629,11.626772165298462
homeo_no_plasticity,5,0.05952789581786015,0.0030469873059502084,0.003960375671869748,0.1075528850977571,25.346415678888846,25.893811617753187,27.371475623137794,28.797587292348922,11.338746487297865,7.13908056389285,8.080496579087972,7.924613320192639,1.4776640053846073,2.9037756745957353,629,11.599972009658813
homeo_no_plasticity,6,0.06414775764884942,0.005076234862293014,0.002703738707614525,0.10401299003659902,25.284782969752023,26.053442749983947,27.141069618087702,28.250170250282594,11.731134407901376,7.486812218403115,3.442960538435354,8.151799101584022,1.0876268681037544,2.196727500298646,629,10.786880016326904
homeo_no_plasticity,8,0.0699687248537732,0.0045385681992408155,0.002810225603514901,0.09862929695286855,25.241737366646753,26.193244489202595,27.38332678325167,28.271140977563167,10.841818126655863,7.271240749395274,7.956450341374053,8.198500559743197,1.1900822940490734,2.0778964883605724,629,10.936412811279297
homeo_no_plasticity,7,0.07529521283112779,0.004226401457741688,0.002984154598595922,0.09795168161555604,25.401599525160623,26.048002872489615,27.237491650624627,28.339878077843096,11.011729164930104,6.7135132328398495,7.911824766651584,8.596644810994112,1.1894887781350114,2.291875205353481,629,12.028822183609009
homeo_no_plasticity,9,0.05490572387548221,0.004188127921392258,0.002659989704267586,0.10050531964587836,25.276838094482013,26.051123611423897,27.2142736252182,28.29924135511101,11.276506299467771,7.556946542814509,8.421407448736131,8.1227351294054,1.1631500137943043,2.2481177436871143,629,12.073253631591797
homeo_fixed_churn,2,0.09449644588223195,0.023114198948744245,0.014992764230216024,0.10311811876124904,25.15532098354296,25.424126243741174,25.9783953514215,25.123352270019172,2.0036963021985708,5.934140681741815,6.281028624743867,5.590215218439356,0.5542691076803266,0.3007739737220021,629,13.429341793060303
homeo_fixed_churn,1,0.07967742460216383,0.03377555643523581,0.013226772389646334,0.0963626871091833,25.05933466973588,25.339786535686557,26.222920594986558,26.562604875794545,11.279011518192528,6.006722269710644,5.428643926243273,6.425411102048096,0.8831340593000014,1.2228183401079882,629,13.842596530914307
homeo_fixed_churn,0,0.09394870651064315,0.01881020998225368,0.02635075208001084,0.09329972535493063,25.194004569488413,25.792942383206086,26.638633333455505,26.990443451334297,10.015411149960917,6.129788980984963,6.8312695801242755,6.098645400271757,0.8456909502494199,1.1975010681282114,629,14.327355146408081
homeo_fixed_churn,5,0.08783707996729814,0.020206731559108758,0.017903862227610104,0.1005590903790932,25.221152644921055,25.4967740146789,25.575833889817684,24.816655213027882,11.338746487297865,6.169124301840035,6.5609030188817155,6.032830693959962,0.07905987513878543,0.680118801651016,629,12.607777118682861
homeo_fixed_churn,4,0.09985301506330252,0.026903628065382695,0.025172938783544332,0.10228023602361232,25.276083114130316,25.77263554780586,26.631222929273697,27.002076409611675,11.385030386367657,5.884676408049356,6.703753583153876,7.135012195478452,0.8585873814678386,1.2294408618058164,629,12.798263549804688
homeo_fixed_churn,3,0.0711162074277482,0.0239981352538866,0.0169718590229835,0.09423111137625016,25.226404213226104,25.697976440949425,26.52539449736981,26.831851564478715,11.014032449545763,6.599828993141139,7.0568285692201576,7.153425824641884,0.8274180564203846,1.1338751235292897,629,14.842456579208374
homeo_fixed_churn,8,0.09658008793171473,0.01635886370920945,0.01546824051219074,0.09288234165333668,25.139763319468514,25.571649960530024,26.183946037269003,26.99793957625119,10.841818126655863,6.167287585480557,6.399559461125315,6.960350928058314,0.6122960767389785,1.426289615721167,629,13.13386845588684
homeo_fixed_churn,7,0.0939773507257807,0.02274329068656464,0.018069206505496562,0.09906273693795534,25.216991077731645,25.463691102634456,26.248776916574574,26.954346020366152,11.011729164930104,5.012734120242917,5.715977628433943,6.8287651552954864,0.7850858139401176,1.4906549177316961,629,14.1737220287323
homeo_fixed_churn,6,0.09747486047294208,0.020383006076756593,0.015870527245275164,0.09697610169765725,25.1320685265085,25.45636905993205,26.033567880925762,25.501544582315802,11.731134407901376,6.369642919051501,5.719416657231084,6.499232651832743,0.5771988209937113,0.04517552238375089,629,14.200086116790771
