task,boundary,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,steady_acc,n_prunes,n_active_flips
nonlinear2d,circle,random_graph_k25,delta_linear,7,256,40000,4.850546598434448,0.5112296173462978,0.56,0.5,0,0
nonlinear2d,circle,random_graph_k25,delta_linear,8,256,40000,5.161557912826538,0.49092610738423653,0.4625,0.4,0,0
nonlinear2d,circle,random_graph_k25,delta_linear,9,256,40000,4.838601350784302,0.5091957488505314,0.5,0.5,0,0
nonlinear2d,circle,random_graph_k25,delta_quad,0,256,40000,5.365019798278809,0.50897088012864,0.505,0.5,0,0
nonlinear2d,circle,random_graph_k25,delta_quad,1,256,40000,4.999330043792725,0.5094419738197533,0.475,0.495,0,0
nonlinear2d,circle,random_graph_k25,delta_quad,4,256,40000,5.269064903259277,0.4970113816235773,0.56,0.4,0,0
nonlinear2d,circle,random_graph_k25,delta_quad,5,256,40000,5.398400068283081,0.5069797241275344,0.485,0.5,0,0
nonlinear2d,circle,random_graph_k25,delta_quad,2,256,40000,5.266012191772461,0.50334288083214,0.5,0.5,0,0
nonlinear2d,circle,random_graph_k25,delta_quad,3,256,40000,5.578554153442383,0.4803258712092661,0.6,0.5,0,0
nonlinear2d,circle,random_graph_k25,delta_quad,6,256,40000,5.136718273162842,0.5143212482098439,0.5,0.5,0,0
nonlinear2d,circle,random_graph_k25,delta_quad,7,256,40000,5.5778725147247314,0.5145008919373886,0.565,0.495,0,0
nonlinear2d,circle,random_graph_k25,delta_quad,8,256,40000,4.970012664794922,0.508968367628954,0.47,0.5,0,0
nonlinear2d,circle,random_graph_k25,delta_quad,9,256,40000,5.808156251907349,0.5086404864199392,0.52,0.535,0,0
nonlinear2d,circle,random_graph_k25,rls_quad,0,256,40000,6.208941459655762,0.8696967412879074,0.9,0.9,0,0
nonlinear2d,circle,random_graph_k25,rls_quad,1,256,40000,7.279235601425171,0.8700195974975503,0.9,0.9,0,0
nonlinear2d,circle,random_graph_k25,rls_quad,2,256,40000,6.428865432739258,0.8625612421798448,0.9,0.9,0,0
nonlinear2d,circle,random_graph_k25,rls_quad,3,256,40000,6.955144882202148,0.8458229692721289,0.9,0.8,0,0
nonlinear2d,circle,random_graph_k25,rls_quad,4,256,40000,7.4297120571136475,0.863764729529409,0.8,0.9,0,0
nonlinear2d,circle,random_graph_k25,rls_quad,5,256,40000,6.423162460327148,0.8582610989673627,0.9,0.9,0,0
nonlinear2d,circle,random_graph_k25,rls_quad,6,256,40000,7.12238073348999,0.8830155021230625,0.9,0.9,0,0
nonlinear2d,circle,random_graph_k25,rls_quad,7,256,40000,6.730664491653442,0.8721803472274566,0.9,0.9,0,0
nonlinear2d,circle,random_graph_k25,rls_quad,8,256,40000,7.050901651382446,0.8749466093816738,0.9,0.9,0,0
nonlinear2d,circle,random_graph_k25,rls_quad,9,256,40000,5.934866189956665,0.867054847868144,0.9,0.805,0,0
nonlinear2d,circle,random_graph_k25,pop_quad,0,256,40000,7.926585912704468,0.5094733800658274,0.525,0.5,19,8
nonlinear2d,circle,random_graph_k25,pop_quad,1,256,40000,6.062223434448242,0.5119544735056909,0.495,0.495,19,20
nonlinear2d,circle,random_graph_k25,pop_quad,2,256,40000,7.973283529281616,0.5068603803924525,0.5,0.5,19,15
nonlinear2d,circle,random_graph_k25,pop_quad,3,256,40000,5.902398109436035,0.483869752016281,0.6,0.5,19,19
nonlinear2d,circle,random_graph_k25,pop_quad,4,256,40000,7.7934887409210205,0.5019120122609985,0.56,0.4,19,20
nonlinear2d,circle,random_graph_k25,pop_quad,5,256,40000,5.27849268913269,0.5126127484234064,0.485,0.5,19,14
nonlinear2d,circle,random_graph_k25,pop_quad,6,256,40000,6.913283824920654,0.5173387603326549,0.5,0.5,19,7
nonlinear2d,circle,random_graph_k25,pop_quad,7,256,40000,3.953848123550415,0.5185208914348886,0.585,0.495,19,16
nonlinear2d,circle,random_graph_k25,pop_quad,8,256,40000,7.0623414516448975,0.5112321298459838,0.47,0.5,19,7
nonlinear2d,circle,random_graph_k25,pop_quad,9,256,40000,3.2539772987365723,0.5143451169568604,0.53,0.535,19,15
