task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc
drift_binary,R1_full_swap,random_graph_k25,rmhl,6,256,40000,36.839444160461426,0.49929122383859703,0.93,0.055,0.05
drift_binary,R1_full_swap,random_graph_k25,rmhl,7,256,40000,42.62625074386597,0.5001964774754403,0.93,0.05,0.07
drift_binary,R2_partial_shift,parallel,rmhl,0,256,40000,10.382112979888916,0.7074514459435693,0.915,0.5,0.505
drift_binary,R2_partial_shift,parallel,rmhl,1,256,40000,14.900912523269653,0.7005369211828848,0.91,0.5,0.465
drift_binary,R1_full_swap,random_graph_k25,rmhl_norm,6,256,40000,37.04037356376648,0.9351184643601919,0.93,0.945,0.95
drift_binary,R1_full_swap,random_graph_k25,rmhl_norm,7,256,40000,34.04036998748779,0.932629079671365,0.93,0.95,0.93
drift_binary,R2_partial_shift,parallel,rmhl,2,256,40000,12.475342273712158,0.7154355418205574,0.895,0.5,0.535
drift_binary,R2_partial_shift,parallel,rmhl,3,256,40000,17.803338289260864,0.680875103640612,0.89,0.5,0.5
drift_binary,R1_full_swap,random_graph_k25,rmhl_norm,8,256,40000,31.95276141166687,0.9340455013693122,0.94,0.93,0.93
drift_binary,R1_full_swap,random_graph_k25,rmhl_norm,9,256,40000,41.22104835510254,0.9302503705937037,0.95,0.925,0.945
drift_binary,R1_full_swap,random_graph_k25,delta_derived,0,256,40000,31.58596920967102,0.9746569181678852,1.0,0.94,1.0
drift_binary,R1_full_swap,random_graph_k25,delta_derived,1,256,40000,41.222012758255005,0.9559217105097861,1.0,0.945,1.0
drift_binary,R1_full_swap,random_graph_k25,delta_derived,6,256,40000,31.27339005470276,0.9692277832215271,1.0,0.945,1.0
drift_binary,R1_full_swap,random_graph_k25,delta_derived,7,256,40000,40.84938931465149,0.9674720484409939,1.0,0.945,1.0
drift_binary,R1_full_swap,random_graph_k25,delta_derived,2,256,40000,31.497063398361206,0.9693922263259717,1.0,0.94,1.0
drift_binary,R1_full_swap,random_graph_k25,delta_derived,3,256,40000,41.166048765182495,0.9686231501721062,1.0,0.925,1.0
drift_binary,R1_full_swap,random_graph_k25,delta_derived,8,256,40000,31.602647066116333,0.9761170573603678,1.0,0.93,1.0
drift_binary,R1_full_swap,random_graph_k25,delta_derived,9,256,40000,40.910982847213745,0.9587882214014724,1.0,0.905,1.0
drift_binary,R1_full_swap,random_graph_k25,delta_derived,4,256,40000,31.140811681747437,0.9722636365920455,1.0,0.94,1.0
drift_binary,R1_full_swap,random_graph_k25,delta_derived,5,256,40000,41.42151498794556,0.9699454787568152,1.0,0.925,0.99
drift_binary,R2_partial_shift,parallel,rmhl,4,256,40000,17.658468008041382,0.7075300871837391,0.88,0.525,0.5
drift_binary,R2_partial_shift,parallel,rmhl,5,256,40000,16.73744010925293,0.7072420290947464,0.895,0.5,0.5
drift_binary,R2_partial_shift,parallel,rmhl,6,256,40000,16.709408283233643,0.6922099947237506,0.88,0.59,0.5
drift_binary,R2_partial_shift,parallel,rmhl,7,256,40000,17.223072052001953,0.6928070902741137,0.88,0.43,0.5
drift_binary,R2_partial_shift,parallel,rmhl_norm,0,256,40000,17.589378118515015,0.6879016858872893,0.915,0.5,0.495
drift_binary,R2_partial_shift,parallel,rmhl_norm,1,256,40000,14.150851726531982,0.7017981960252254,0.91,0.5,0.535
drift_binary,R2_partial_shift,parallel,rmhl_norm,6,256,40000,17.092833518981934,0.7039232682595914,0.88,0.41,0.5
