config_name,topology,coupling_mode,kappa,seed_idx,n_units,cv_tau,t_total,n_washout,k_max,ftle_per_pulse,mc_total,mc_total_test,mc_k0,mc_k0_test,inter_rms,alpha_clip_frac,g_abs_mean,mean_state,runtime_s
parallel,parallel,0,0.0,0,256,0.2,1200,200,50,-0.06561883509024621,11.91612799685647,8.916901719664576,0.6410117667234492,0.6413897553938912,0.024897480230022036,0.0,0.0,0.2210756185663168,1.8558549880981445
parallel,parallel,0,0.0,1,256,0.2,1200,200,50,-0.06505190410681362,9.37582486519331,9.33453393622812,0.6632934684022247,0.6686484770846138,0.02037977799598676,0.0,0.0,0.22078234414852693,0.5117578506469727
parallel,parallel,0,0.0,2,256,0.2,1200,200,50,-0.05421175516866145,10.631981354731538,9.380334353495304,0.6740817707503965,0.6586327292055151,0.02307134460416719,0.0,0.0,0.21459848636152515,0.5621263980865479
parallel,parallel,0,0.0,3,256,0.2,1200,200,50,-0.06176788201646552,9.400431522113681,5.774866527715385,0.6606619778322211,0.6523565696111859,0.022067701383559263,0.0,0.0,0.22230321859211108,0.5789437294006348
parallel,parallel,0,0.0,4,256,0.2,1200,200,50,-0.06589233948930179,10.102878850622067,10.268152348593594,0.6432937768941048,0.6542482812988928,0.020629550963469665,0.0,0.0,0.21832279794296458,2.0393431186676025
parallel,parallel,0,0.0,5,256,0.2,1200,200,50,-0.06547129847447664,10.565883157325482,10.7876840157449,0.6639158047601202,0.6497593988585891,0.024009983523360697,0.0,0.0,0.2182454347858601,0.5309929847717285
parallel,parallel,0,0.0,6,256,0.2,1200,200,50,-0.06425406852834427,11.794825575984708,9.479327898966012,0.6758183148684968,0.6952122972451049,0.02331067467239687,0.0,0.0,0.21687024407511765,0.4058101177215576
parallel,parallel,0,0.0,7,256,0.2,1200,200,50,-0.06762181028529661,11.317197363208786,11.37255906890023,0.6535587697611224,0.6529202618389958,0.023487274419455893,0.0,0.0,0.21500651444739455,0.5789968967437744
parallel,parallel,0,0.0,8,256,0.2,1200,200,50,-0.06390240894403601,10.85780917845126,7.795573378070855,0.6711394160996519,0.6700136443693472,0.02267704765890675,0.0,0.0,0.21807667726412217,2.086010217666626
parallel,parallel,0,0.0,9,256,0.2,1200,200,50,-0.06534015843828823,11.375615735672323,7.615504655551882,0.6516986575867443,0.6541248703710517,0.01995018927213385,0.0,0.0,0.22049891771696448,0.5401961803436279
ring_bidir,ring_bidir,1,0.1,0,256,0.2,1200,200,50,-0.0686214715272233,11.963226383627495,8.938753553564439,0.6541862202623782,0.6538949941770671,0.0249286775969654,0.0,0.14417800348964765,0.22114178771905443,0.7783505916595459
ring_bidir,ring_bidir,1,0.1,1,256,0.2,1200,200,50,-0.06787918161616034,9.490853851287678,9.408996365043794,0.6802369250723617,0.6840202643360144,0.020414674954750998,0.0,0.14051150893560513,0.22084984433928453,0.8466873168945312
ring_bidir,ring_bidir,1,0.1,2,256,0.2,1200,200,50,-0.05594169031046911,10.746138876592646,9.495250622944825,0.6893979345541466,0.677110130492067,0.02310904914324674,0.0,0.15371082768419367,0.21467023882601532,2.4817967414855957
ring_bidir,ring_bidir,1,0.1,3,256,0.2,1200,200,50,-0.06438355068151286,9.479091574750557,5.868290902267445,0.6732025482995616,0.6652538131189234,0.022101585081110545,0.0,0.1415818055379085,0.2223789702250007,0.7952582836151123
ring_bidir,ring_bidir,1,0.1,4,256,0.2,1200,200,50,-0.06892361694382168,10.158775278052511,10.233845931803108,0.6563001453095793,0.6680635380982027,0.020659275811030657,0.0,0.14282560705650849,0.21838755205509006,0.7630906105041504
ring_bidir,ring_bidir,1,0.1,5,256,0.2,1200,200,50,-0.06794504064643427,10.636279566338887,10.842392183616425,0.6778795679562591,0.662440438648185,0.024039416064251827,0.0,0.12753018992466422,0.21830379005203582,1.2804663181304932
ring_bidir,ring_bidir,1,0.1,6,256,0.2,1200,200,50,-0.0670539728644856,11.885296694678875,9.55341706567837,0.6878052761327628,0.7079062991794867,0.02334125534996732,0.0,0.13335099732078745,0.21692366402481703,2.843238353729248
ring_bidir,ring_bidir,1,0.1,7,256,0.2,1200,200,50,-0.07079027352608437,11.397272289315847,11.409538042507258,0.669812866773212,0.6674811986746501,0.023517835494706745,0.0,0.13856097223397057,0.21505783361635417,0.9145519733428955
ring_bidir,ring_bidir,1,0.1,8,256,0.2,1200,200,50,-0.06676172061597886,11.021562033061116,7.889228491312956,0.6853549414514571,0.6838125671737888,0.02271312457343888,0.0,0.1500271536755152,0.21814635438670887,1.3307733535766602
ring_bidir,ring_bidir,1,0.1,9,256,0.2,1200,200,50,-0.06774053693652979,11.441453445665772,7.636493967998023,0.6639269782152487,0.6669308357247725,0.01998320709744936,0.0,0.14402410288849146,0.22056671193170194,1.2708547115325928
ring_bidir,ring_bidir,1,0.3,0,256,0.2,1200,200,50,-0.07160646539722473,12.08917907119831,9.008367334960866,0.6838760506481297,0.6813669317316778,0.02495470578968851,0.0,0.11670270956388555,0.22106264227864414,3.0065581798553467
