task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,n_flips,n_prunes
drift_binary,R1_full_swap,parallel,pop5_norm,2,256,40000,2.4461915493011475,0.9009073892615763,0.895,0.915,0.895,0,38
drift_binary,R1_full_swap,parallel,pop5_norm,3,256,40000,2.4532065391540527,0.8850145724981784,0.89,0.88,0.9,0,38
drift_binary,R1_full_swap,parallel,pop5_norm,6,256,40000,2.624993085861206,0.8933322027084747,0.88,0.905,0.91,0,38
drift_binary,R1_full_swap,parallel,pop5_norm,7,256,40000,2.2971551418304443,0.8909685686289289,0.88,0.915,0.88,0,38
drift_binary,R1_full_swap,parallel,pop5_norm,4,256,40000,2.5533080101013184,0.9007212130348484,0.88,0.905,0.92,0,38
drift_binary,R1_full_swap,parallel,pop5_norm,5,256,40000,2.554069995880127,0.9044145875731765,0.895,0.915,0.92,0,38
drift_binary,R1_full_swap,parallel,pop5_norm,8,256,40000,2.2581682205200195,0.8954778774402652,0.905,0.885,0.9,0,38
drift_binary,R1_full_swap,parallel,pop5_norm,9,256,40000,2.284198760986328,0.8900526368684204,0.92,0.88,0.905,1,38
drift_binary,R1_full_swap,random_graph_k25,rmhl,0,256,40000,4.249973773956299,0.49463317504585314,0.95,0.05,0.055,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl,1,256,40000,4.07632303237915,0.5295595588050551,0.945,0.05,0.075,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl,2,256,40000,4.164976119995117,0.5020657772417779,0.935,0.05,0.065,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl,3,256,40000,3.987384557723999,0.5140138438732695,0.94,0.07,0.075,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl,4,256,40000,4.213014364242554,0.4995986281751714,0.93,0.055,0.05,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl,5,256,40000,4.052426815032959,0.4987718901535138,0.93,0.055,0.05,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl,6,256,40000,4.283257246017456,0.49929122383859703,0.93,0.055,0.05,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl,7,256,40000,4.048065662384033,0.5001964774754403,0.93,0.05,0.07,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl_norm,2,256,40000,4.108242988586426,0.9376734252908218,0.935,0.95,0.935,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl_norm,3,256,40000,3.8743460178375244,0.934041983869752,0.94,0.93,0.945,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl,8,256,40000,4.080776929855347,0.5225231778096027,0.94,0.07,0.075,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl,9,256,40000,4.295581579208374,0.5199591718801035,0.95,0.075,0.075,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl_norm,0,256,40000,4.2034337520599365,0.9402548930931384,0.95,0.95,0.945,0,0
drift_binary,R1_full_swap,random_graph_k25,rmhl_norm,1,256,40000,4.072786092758179,0.9380668827416396,0.945,0.95,0.945,0,0
