task,axis,env,m_regimes,seg_blocks,pop_k,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,steady_acc,n_snaps,active_mem_blocks,bt0_lin0,bt1_cir,bt2_lin1,bt3_lin2
memory_boundaries,S,S800,2,800,4,random_graph_k25,rls_single,3,256,40000,6.502366542816162,0.8529848496268938,0.8,0,0,0.8757787573467675,0.81875,,
memory_boundaries,S,S800,2,800,4,random_graph_k25,rls_single,8,256,40000,6.469834089279175,0.8865041079369865,0.895,0,0,0.8881654072208229,0.8838093750000001,,
memory_boundaries,S,S800,2,800,4,random_graph_k25,rls_single,9,256,40000,6.070037841796875,0.8851260018592498,0.86,0,0,0.8944584382871538,0.87125,,
memory_boundaries,S,S800,2,800,4,random_graph_k25,pop_mem,0,256,40000,7.105496168136597,0.8895429763071279,0.88,82,324,0.9120067170445004,0.8559937500000001,,
memory_boundaries,S,S800,2,800,4,random_graph_k25,pop_mem,1,256,40000,5.770381212234497,0.898915856385518,0.9,79,367,0.9248971452560873,0.86,,
memory_boundaries,S,S800,2,800,4,random_graph_k25,rls_single,6,256,40000,7.047697305679321,0.8832881083389864,0.9,0,0,0.8945382031905961,0.8663218750000001,,
memory_boundaries,S,S800,2,800,4,random_graph_k25,rls_single,7,256,40000,6.791809797286987,0.8691678601040175,0.8,0,0,0.8712762384550798,0.866065625,,
memory_boundaries,S,S800,2,800,4,random_graph_k25,pop_mem,2,256,40000,6.810538053512573,0.8676151352981082,0.9,69,287,0.9078085642317381,0.807815625,,
memory_boundaries,S,S800,2,800,4,random_graph_k25,pop_mem,3,256,40000,5.964602947235107,0.8866787266651591,0.9,69,537,0.9178043660789252,0.84,,
memory_boundaries,S,S800,2,800,4,random_graph_k25,pop_mem,4,256,40000,6.756652593612671,0.8849752518780936,0.9,63,600,0.9338413098236775,0.8121250000000001,,
memory_boundaries,S,S800,2,800,4,random_graph_k25,pop_mem,5,256,40000,6.098812103271484,0.9084633551920805,0.9,79,374,0.9273761544920236,0.8799406250000001,,
memory_boundaries,S,S800,2,800,4,random_graph_k25,pop_mem,8,256,40000,4.389655113220215,0.9040916057385493,0.9,82,334,0.9042422334172965,0.9036250000000001,,
memory_boundaries,S,S800,2,800,4,random_graph_k25,pop_mem,9,256,40000,2.5189201831817627,0.9032159995980001,0.895,85,288,0.9120906801007558,0.89,,
memory_boundaries,S,S800,2,800,4,random_graph_k25,pop_mem,6,256,40000,4.603023529052734,0.9008756061405492,0.9,85,219,0.9130100755667506,0.882571875,,
memory_boundaries,S,S800,2,800,4,random_graph_k25,pop_mem,7,256,40000,2.604071617126465,0.8932878570890178,0.855,75,379,0.901502938706969,0.8810656250000002,,
