arm,seed,stream_ppl,neg_frac,clip_frac,t_adapt_mean,forgetting_ppl,stream_ppl_unclipped,stream_n_unc_undefined,forget_neg_frac,forget_clip_frac,forgetting_ppl_unclipped,forget_n_unc_undefined,runtime_s
SSM-bare,0,16.05761789093918,0.012330510333933039,0.012330510333933039,20.0,12.988065841549668,11.773890301037994,281,0.0,0.0,12.988065841549668,0,8.069447040557861
SSM-bare,1,15.174207048021287,0.011818752944871997,0.011818752944871997,20.0,13.490369366167107,11.264473076470892,301,0.0,0.0,13.490369366167107,0,8.826366424560547
SSM-bare,2,15.18079463157138,0.011458642787420956,0.011458642787420956,20.0,13.159118732185544,11.373388028737718,270,0.0,0.0,13.159118732185544,0,8.191136598587036
SSM-bare,3,15.29388213707405,0.010900473933649289,0.010900473933649289,20.0,14.037879227765048,11.623170131312628,276,0.0,0.0,14.037879227765048,0,9.025298595428467
SSM-bare,4,15.267901658920005,0.011090573012939002,0.011090573012939002,20.0,13.2540091587382,11.547180242499477,270,0.0,0.0,13.2540091587382,0,9.276171922683716
SSM-bare,5,15.928874591810892,0.012999379010556821,0.012999379010556821,20.0,13.429245225593135,11.4807832134361,314,0.0,0.0,13.429245225593135,0,8.517729759216309
SSM-bare,6,15.112980608035574,0.011096097940465954,0.011096097940465954,20.0,13.113629725992638,11.427096903556372,271,0.0,0.0,13.113629725992638,0,13.581935405731201
SSM-bare,7,16.006894436976854,0.012923858757557171,0.012923858757557171,20.0,12.623859929767551,11.560012366308724,295,0.0,0.0,12.623859929767551,0,12.64749550819397
SSM-bare,8,15.227272334717403,0.010579806731089637,0.010579806731089637,20.0,14.382650833004055,11.666822389202956,254,0.0,0.0,14.382650833004055,0,10.416399955749512
SSM-bare,9,15.012649571958397,0.011055112989757762,0.011055112989757762,20.0,13.567092772362482,11.362248103453968,272,0.0,0.0,13.567092772362482,0,9.390221357345581
SSM-uniform,0,15.976837805150854,0.0015358286892799158,0.0015358286892799158,20.0,12.722301881447873,15.377429057829623,35,0.000286286859433152,0.000286286859433152,12.622654490398348,1,27.11301064491272
SSM-uniform,1,15.682417806006912,0.0018061881576880792,0.0018061881576880792,20.0,12.731379500914539,14.992104171116933,46,0.000286286859433152,0.000286286859433152,12.633263823158316,1,23.37472176551819
SSM-uniform,2,15.770212125123583,0.0022068497220218137,0.0022068497220218137,20.0,12.904816448593959,14.92609017098509,52,0.000286286859433152,0.000286286859433152,12.843883556319295,1,21.71835494041443
SSM-uniform,3,15.926708986166137,0.002014218009478673,0.002014218009478673,20.0,13.714739012127202,15.147218015281155,51,0.0008588605782994561,0.0008588605782994561,13.394473975415627,3,23.02752709388733
SSM-uniform,4,15.733652921413746,0.001807352639145615,0.001807352639145615,20.0,12.786247463772822,15.04073550879983,44,0.0,0.0,12.786247463772822,0,22.287429332733154
