exp,arm,tau_m,seed,stream_ppl,neg_frac,t_adapt_mean,forgetting_ppl,flips,norm_mean,norm_max,norm_final,recovery_tokens,dt_mean,dt_max,clip_frac,stream_ppl_unclipped,stream_n_unc_undefined,forget_neg_frac,forget_clip_frac,forgetting_ppl_unclipped,forget_n_unc_undefined,runtime_s
E1,A1,500.0,0,11.856420129224789,0.015556419801100061,20.0,7.8845055765761005,,,,,,,,0.015556419801100061,7.967049303229612,280,0.0004008016032064128,0.0004008016032064128,7.7964611550198555,1,4.304989814758301
E1,A1,500.0,1,11.632281831852639,0.01600088893827435,20.0,8.738496905700682,,,,,,,,0.01600088893827435,7.724329846736222,288,0.002404809619238477,0.002404809619238477,8.159118095104882,6,4.383603572845459
E1,A1,500.0,2,11.59204962945722,0.015500861158953275,20.0,8.506051721556897,,,,,,,,0.015500861158953275,7.797875530030144,279,0.0012024048096192384,0.0012024048096192384,8.237950413378572,3,4.304238796234131
E1,A1,500.0,3,11.912410680675343,0.015778654369687204,20.0,8.455264110853838,,,,,,,,0.015778654369687204,7.959216650484768,284,0.0012024048096192384,0.0012024048096192384,8.22853030231018,3,4.2799623012542725
E1,A1,500.0,4,11.850079151887456,0.016056447580421136,20.0,8.021205617527773,,,,,,,,0.016056447580421136,7.859974973041615,289,0.0,0.0,8.021205617527773,0,4.27374529838562
E1,A1,500.0,5,11.851402142669775,0.01677870992832935,20.0,7.932161063585663,,,,,,,,0.01677870992832935,7.714595974571708,302,0.0004008016032064128,0.0004008016032064128,7.849743895462753,1,4.549087762832642
E1,A1,500.0,6,11.725489023319781,0.015389743874659703,20.0,8.584143401603058,,,,,,,,0.015389743874659703,7.9118548490669625,277,0.0004008016032064128,0.0004008016032064128,8.487845910504285,1,4.294654130935669
E1,A1,500.0,7,11.518797695706334,0.015389743874659703,20.0,8.11830710388008,,,,,,,,0.015389743874659703,7.770228172584222,277,0.0008016032064128256,0.0008016032064128256,7.956728185882552,2,4.298441410064697
E1,A1,500.0,8,11.766794159922396,0.01572309572754042,20.0,9.19187403269118,,,,,,,,0.01572309572754042,7.871726602736756,283,0.0008016032064128256,0.0008016032064128256,8.974768340853203,2,4.300312280654907
E1,A1,500.0,9,11.835518385728989,0.01600088893827435,20.0,8.436094537093101,,,,,,,,0.01600088893827435,7.861501492763516,288,0.0008016032064128256,0.0008016032064128256,8.26811468915981,2,4.308313369750977
E1,A3-abrupt,500.0,0,9.578954543346441,0.014334129673870771,20.0,5.819488539374954,,,,,,,,0.014334129673870771,6.623354414588597,258,0.004008016032064128,0.004008016032064128,5.215669841132369,10,8.288094758987427
E1,A3-abrupt,500.0,1,10.401396075574308,0.015556419801100061,20.0,6.15679835737666,,,,,,,,0.015556419801100061,6.97488437396463,280,0.0028056112224448897,0.0028056112224448897,5.699478688795672,7,8.375388860702515
E1,A3-abrupt,500.0,2,9.816985856825342,0.014334129673870771,20.0,6.2600386860003345,,,,,,,,0.014334129673870771,6.7903642654819665,258,0.004008016032064128,0.004008016032064128,5.58871507597843,10,8.268112897872925
E1,A3-abrupt,500.0,3,10.083551063863416,0.014334129673870771,20.0,5.888179106417221,,,,,,,,0.014334129673870771,6.977464200150364,258,0.002004008016032064,0.002004008016032064,5.577118061007636,5,8.283062219619751
E1,A3-abrupt,500.0,4,10.008871594490305,0.014389688316017557,20.0,5.601934655738007,,,,,,,,0.014389688316017557,6.9150164972605985,259,0.0012024048096192384,0.0012024048096192384,5.425593793819149,3,8.312886714935303
E1,A3-abrupt,500.0,5,10.44318471303788,0.01544530251680649,20.0,5.6722923170578685,,,,,,,,0.01544530251680649,7.023680997908869,278,0.0032064128256513026,0.0032064128256513026,5.2201929543258885,8,8.35972809791565
E1,A3-abrupt,500.0,6,10.17372321604243,0.013945219178843268,20.0,6.919504447654115,,,,,,,,0.013945219178843268,7.112444294859764,251,0.007214428857715431,0.007214428857715431,5.663338124183211,18,8.553924322128296
E1,A3-abrupt,500.0,7,9.99546712548774,0.014556364242457914,20.0,5.7079273059306965,,,,,,,,0.014556364242457914,6.87566939417445,262,0.002404809619238477,0.002404809619238477,5.3612936382301095,6,8.357475519180298
E1,A3-abrupt,500.0,8,9.966551906482687,0.014445246958164343,20.0,6.346640784208203,,,,,,,,0.014445246958164343,6.8753835445146,260,0.002004008016032064,0.002004008016032064,5.975520856188344,5,8.389187335968018
E1,A3-abrupt,500.0,9,9.859071686945802,0.014778598811045058,20.0,5.780045243671066,,,,,,,,0.014778598811045058,6.741250438089167,266,0.002004008016032064,0.002004008016032064,5.486285326163456,5,8.294805526733398
E1,A3-soft,500.0,0,8.33487918942251,0.003389077170953942,20.0,6.021552908927994,,,,,,,,0.003389077170953942,7.642293216440879,61,0.0004008016032064128,0.0004008016032064128,5.957972615783815,1,8.374669551849365
E1,A3-soft,500.0,1,8.294285885515698,0.0035001944552475136,20.0,6.696402180040046,,,,,,,,0.0035001944552475136,7.58326678831801,63,0.002004008016032064,0.002004008016032064,6.352675506317945,5,8.361194610595703
E1,A3-soft,500.0,2,8.09124984668891,0.0029446080337796545,20.0,6.478204968996121,,,,,,,,0.0029446080337796545,7.503391482781686,53,0.0008016032064128256,0.0008016032064128256,6.344610642935354,2,8.361062049865723
E1,A3-soft,500.0,3,8.335302381943201,0.002277904328018223,20.0,6.56479840481388,,,,,,,,0.002277904328018223,7.863694976395218,41,0.0008016032064128256,0.0008016032064128256,6.432446274501761,2,8.38541054725647
