task,regime,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc,n_flips
drift_binary,R1_full_swap,random_graph_k25,single_flip,7,256,40000,7.01313591003418,0.9188118388985203,0.93,0.95,0.93,1
drift_binary,R1_full_swap,random_graph_k25,rmhl,2,256,40000,10.165232419967651,0.5020921584884801,0.935,0.05,0.065,0
drift_binary,R1_full_swap,random_graph_k25,rmhl,3,256,40000,7.184738874435425,0.5225145096856862,0.94,0.07,0.075,0
drift_binary,R1_full_swap,random_graph_k25,single_flip,0,256,40000,7.17725682258606,0.9245658400542701,0.95,0.95,0.945,1
drift_binary,R1_full_swap,random_graph_k25,single_flip,1,256,40000,9.083887100219727,0.9209810055023743,0.945,0.95,0.945,1
drift_binary,R1_full_swap,random_graph_k25,single_flip,8,256,40000,7.189642667770386,0.9182162508479688,0.94,0.93,0.93,1
drift_binary,R1_full_swap,random_graph_k25,single_flip,9,256,40000,8.621914148330688,0.9179391221326099,0.95,0.925,0.945,1
drift_binary,R1_full_swap,random_graph_k25,rmhl,6,256,40000,9.08381724357605,0.4996409637948795,0.93,0.055,0.05,0
drift_binary,R1_full_swap,random_graph_k25,rmhl,7,256,40000,9.705167293548584,0.500190824351147,0.93,0.05,0.07,0
drift_binary,R2_partial_shift,parallel,rmhl,4,256,40000,2.724212169647217,0.7075037059370367,0.88,0.525,0.5,0
drift_binary,R2_partial_shift,parallel,rmhl,5,256,40000,2.7530384063720703,0.7071789653526294,0.895,0.5,0.5,0
drift_binary,R1_full_swap,random_graph_k25,single_flip,2,256,40000,9.531175374984741,0.9212680585914926,0.935,0.95,0.935,1
drift_binary,R1_full_swap,random_graph_k25,single_flip,3,256,40000,10.011057376861572,0.9194140850732393,0.94,0.93,0.945,1
drift_binary,R2_partial_shift,parallel,rmhl,8,256,40000,2.710951566696167,0.6809635436295571,0.905,0.5,0.485,0
drift_binary,R2_partial_shift,parallel,rmhl,9,256,40000,2.720435380935669,0.7060311298711087,0.92,0.5,0.48,0
drift_binary,R2_partial_shift,parallel,single_flip,0,256,40000,2.7488672733306885,0.7041623326047084,0.915,0.4525,0.505,2
drift_binary,R2_partial_shift,parallel,single_flip,1,256,40000,2.7496819496154785,0.7106955855380517,0.91,0.5,0.535,5
drift_binary,R2_partial_shift,parallel,single_flip,2,256,40000,2.8607542514801025,0.7124440340694957,0.895,0.4,0.535,2
drift_binary,R2_partial_shift,parallel,single_flip,3,256,40000,2.702791213989258,0.6798648275168966,0.89,0.42,0.5,2
drift_binary,R2_partial_shift,parallel,single_flip,4,256,40000,2.818398952484131,0.7044887063139116,0.88,0.585,0.5,4
drift_binary,R2_partial_shift,parallel,single_flip,5,256,40000,2.832718849182129,0.7041639657295042,0.895,0.5,0.5,2
drift_binary,R2_partial_shift,parallel,single_flip,6,256,40000,2.7428035736083984,0.7106898067887741,0.88,0.59,0.5,3
drift_binary,R2_partial_shift,parallel,single_flip,7,256,40000,2.8603515625,0.6897929700258788,0.88,0.4,0.5,2
drift_binary,R2_partial_shift,parallel,rmhl,6,256,40000,3.72455096244812,0.6919415341323082,0.88,0.59,0.5,0
drift_binary,R2_partial_shift,parallel,rmhl,7,256,40000,4.464977025985718,0.6928079696490038,0.88,0.43,0.5,0
