arm,seed_idx,n_edges,degree_mean,mc_initial,mc_final,runtime_s
fixed_ring,0,256,2.0,11.556275892830573,11.556275892830573,1.4740023612976074
fixed_ring,6,256,2.0,12.539578581273847,12.539578581273847,0.5088076591491699
fixed_ring,1,256,2.0,11.828283044384584,11.828283044384584,1.9133777618408203
fixed_random_sp,6,254,1.984375,14.291842009868287,14.291842009868287,0.6209945678710938
fixed_random_sp,9,242,1.890625,13.973703297171612,13.973703297171612,0.5750362873077393
fixed_random_sp,8,256,2.0,11.557478335808227,11.557478335808227,0.639777421951294
fixed_ring,3,256,2.0,12.05052045492554,12.05052045492554,2.3051559925079346
fixed_ring,2,256,2.0,9.245893129476578,9.245893129476578,2.4112601280212402
fixed_ring,4,256,2.0,12.276864181495851,12.276864181495851,2.344470500946045
fixed_ring,5,256,2.0,12.536341573593791,12.536341573593791,2.539057970046997
fixed_ring,7,256,2.0,12.644502023133757,12.644502023133757,2.8435239791870117
fixed_ring,8,256,2.0,11.359359195820929,11.359359195820929,3.036139488220215
fixed_ring,9,256,2.0,9.355175739757499,9.355175739757499,3.2774617671966553
fixed_random_sp,1,253,1.9765625,13.521485144489374,13.521485144489374,3.3717734813690186
fixed_random_sp,2,246,1.921875,12.58945487073677,12.58945487073677,3.2960453033447266
fixed_random_sp,0,220,1.71875,12.401965109729348,12.401965109729348,3.4589507579803467
fixed_random_sp,4,257,2.0078125,15.248930509968238,15.248930509968238,3.521484136581421
fixed_random_sp,3,253,1.9765625,13.727538758289663,13.727538758289663,3.5503416061401367
fixed_random_sp,5,280,2.1875,14.167405139944048,14.167405139944048,3.8294498920440674
fixed_random_sp,7,261,2.0390625,13.692503411369938,13.692503411369938,3.7711191177368164
evolve_ring,1,256,2.0,11.934388017889543,7.67469234975898,7.235583066940308
evolve_ring,0,256,2.0,11.594528524124469,9.77515267042215,7.426885366439819
evolve_ring,2,256,2.0,8.904291757788354,9.031203099279088,7.220797538757324
evolve_ring,3,256,2.0,12.047987717304819,10.067988358578292,7.782485246658325
evolve_ring,4,256,2.0,12.334106616835156,9.674944032926227,7.82845401763916
evolve_ring,6,256,2.0,12.542698278168967,10.029141796977367,7.140176296234131
evolve_ring,5,256,2.0,12.43003369855579,10.334418632028683,8.350288391113281
evolve_ring_gentle,0,256,2.0,11.594528524124469,13.413672419745811,7.889852523803711
evolve_ring,7,256,2.0,12.507369016278338,7.369584932540488,9.211350917816162
evolve_ring,8,256,2.0,11.489770086245292,6.457314371942993,8.880627870559692
evolve_ring,9,256,2.0,9.489499596579908,8.342558663690383,9.16962718963623
fixed_random,0,1062,8.296875,4.399995842391668,4.399995842391668,2.9281296730041504
evolve_ring_gentle,1,256,2.0,11.934388017889543,13.277884935831354,9.272190809249878
fixed_random,1,1062,8.296875,10.044240221376853,10.044240221376853,3.100116491317749
evolve_ring_gentle,5,256,2.0,12.43003369855579,12.852928071117438,8.794652700424194
fixed_random,2,1062,8.296875,10.578707330161222,10.578707330161222,2.818281412124634
evolve_ring_gentle,4,256,2.0,12.334106616835156,11.686117565023276,9.183884859085083
evolve_ring_gentle,2,256,2.0,8.904291757788354,12.831392656199185,9.55495834350586
fixed_random,3,1062,8.296875,10.695987735049576,10.695987735049576,2.4338321685791016
evolve_ring_gentle,3,256,2.0,12.047987717304819,14.275371778290797,10.281187534332275
fixed_random,5,1062,8.296875,11.580412755068146,11.580412755068146,2.004957675933838
fixed_random,7,1062,8.296875,11.894419126021619,11.894419126021619,1.9195945262908936
fixed_random,8,1062,8.296875,9.77335854092892,9.77335854092892,2.2144365310668945
fixed_random,6,1062,8.296875,11.449865517369686,11.449865517369686,2.476137161254883
damaged_frozen,2,618,4.828125,13.959602457002227,13.959602457002227,1.8466227054595947
fixed_random,9,1062,8.296875,11.445785201437186,11.445785201437186,2.3013455867767334
damaged_frozen,1,637,4.9765625,13.026148954531937,13.026148954531937,1.9783978462219238
damaged_frozen,0,648,5.0625,13.879233733914191,13.879233733914191,2.290199041366577
fixed_random,4,1062,8.296875,11.811624930838825,11.811624930838825,3.319981098175049
damaged_frozen,3,648,5.0625,12.88961441316881,12.88961441316881,2.4448304176330566
damaged_frozen,4,650,5.078125,11.543762887520243,11.543762887520243,2.043900728225708
damaged_frozen,5,659,5.1484375,13.398835067244798,13.398835067244798,2.4133636951446533
damaged_frozen,7,629,4.9140625,14.114037459665752,14.114037459665752,2.061870813369751
damaged_frozen,6,669,5.2265625,7.14743480689845,7.14743480689845,2.57403564453125
damaged_frozen,8,644,5.03125,13.020510416007522,13.020510416007522,1.931276798248291
damaged_frozen,9,638,4.984375,13.793055284861063,13.793055284861063,2.6323113441467285
evolve_ring_gentle,8,256,2.0,11.489770086245292,9.281727702329539,11.216896533966064
