topo_seed,config_name,topology,coupling_mode,kappa,seed_idx,n_units,cv_tau,t_total,n_washout,k_max,ftle_per_pulse,mc_total,mc_total_test,mc_k0,mc_k0_test,inter_rms,alpha_clip_frac,g_abs_mean,mean_state,runtime_s
777,random_graph,random_graph,1,0.1,0,256,0.2,1200,200,50,-0.06907101079756289,11.94202465375709,8.921955943662757,0.653835299586816,0.6537714660661789,0.024928422767454987,0.0,0.1295390011820309,0.22112598395599475,2.3966450691223145
777,random_graph,random_graph,1,0.1,2,256,0.2,1200,200,50,-0.05599136417128188,10.700815326408438,9.459868502610487,0.6856513933497943,0.6717551761364975,0.02310341754790917,0.0,0.12575637653461938,0.2146434443047102,1.4177744388580322
777,random_graph,random_graph,1,0.1,4,256,0.2,1200,200,50,-0.06934602544812665,10.14580293570073,10.229396658769693,0.6564240321011949,0.6680950629345203,0.020652835276772714,0.0,0.12496749424611381,0.21830037460305216,1.86897611618042
777,random_graph,random_graph,1,0.1,1,256,0.2,1200,200,50,-0.06813588429633906,9.447503417395495,9.385145780349697,0.6780408286990265,0.6822406912746153,0.02041108857677552,0.0,0.12886091980056927,0.22080340766778167,4.12767481803894
777,random_graph,random_graph,1,0.1,7,256,0.2,1200,200,50,-0.07098990601088448,11.352789823080926,11.381458454589023,0.6665828748247837,0.6644459901203021,0.02351415408515201,0.0,0.12253366692337102,0.21501542143855445,0.8989331722259521
777,random_graph,random_graph,1,0.1,3,256,0.2,1200,200,50,-0.06473573299207178,9.463484433118554,5.879855167003003,0.6733177633410296,0.6653600771260826,0.02210725967586013,0.0,0.12968250947686966,0.22242150581237968,5.255423545837402
777,random_graph,random_graph,1,0.1,8,256,0.2,1200,200,50,-0.067045326206251,10.95321357816714,7.8426672714546575,0.6830186246486706,0.6815580728501784,0.02271520697987875,0.0,0.13150310628490722,0.21817518667768387,1.9835851192474365
777,random_graph,random_graph,1,0.1,9,256,0.2,1200,200,50,-0.0687093022625511,11.424959678037009,7.636821648080843,0.6651691069599426,0.6680750058345711,0.01998346576150005,0.0,0.1301781970527612,0.22056446703251778,2.0952930450439453
777,random_graph,random_graph,1,0.3,0,256,0.2,1200,200,50,-0.07550634129052369,11.968703206653801,8.906398701796817,0.679265833870874,0.6778956962492965,0.02495580505786386,0.0,0.10997601365018209,0.22101889411729583,1.407721996307373
777,random_graph,random_graph,1,0.1,5,256,0.2,1200,200,50,-0.06877625811814761,10.60555186838748,10.811289567724346,0.6761807324636291,0.6610252385360503,0.024057232020225423,0.0,0.12504238502158188,0.21845794471673086,6.862913131713867
777,random_graph,random_graph,1,0.3,1,256,0.2,1200,200,50,-0.07470548947246118,9.572183923262953,9.468951712488083,0.7045807535053521,0.707362421752075,0.020444066643760774,0.0,0.10934056339625585,0.2206530535492655,3.0510494709014893
777,random_graph,random_graph,1,0.3,2,256,0.2,1200,200,50,-0.06062803757046459,10.826451123258023,9.599281570316663,0.7075176188914382,0.6972261085977779,0.023136049812599143,0.0,0.10743383636764675,0.21453785543137263,3.0470621585845947
777,random_graph,random_graph,1,0.3,3,256,0.2,1200,200,50,-0.0709886337209234,9.571353496119551,6.0611239112760105,0.697574897529926,0.6903224651803144,0.02215118269400116,0.0,0.11031674584696798,0.22242346792074938,3.289290428161621
777,random_graph,random_graph,1,0.3,5,256,0.2,1200,200,50,-0.07511858477298956,10.660999355114033,10.826945159413613,0.6991617789515252,0.6823588021597972,0.024112401724931003,0.0,0.10664331754435595,0.2186470111340217,3.186391592025757
777,random_graph,random_graph,1,0.3,7,256,0.2,1200,200,50,-0.0779384020101014,11.386997622501593,11.363752869136693,0.6919421921772261,0.6870124199611534,0.023542376158921883,0.0,0.10477249844248433,0.21488993290835162,2.4658846855163574
777,random_graph,random_graph,1,0.1,6,256,0.2,1200,200,50,-0.06732865713423913,11.861445656488378,9.542200986174715,0.6877011956951978,0.7078449532059286,0.023339182690878833,0.0,0.12245716718089385,0.21688647093575855,10.512331247329712
777,random_graph,random_graph,1,0.3,8,256,0.2,1200,200,50,-0.07301835846104895,11.089501979243122,7.893267317797921,0.7053774684002952,0.7042494974450195,0.022756281552965493,0.0,0.11234143089326509,0.21814715513739943,2.4313700199127197
777,random_graph,random_graph,1,0.3,6,256,0.2,1200,200,50,-0.07392239788458577,11.94967155737723,9.632736160948557,0.7096867581544579,0.7300369070343778,0.023370752216330587,0.0,0.10468580807267405,0.21676951916265202,4.291002988815308
777,random_graph,random_graph,1,1.0,0,256,0.2,1200,200,50,-0.08406054475053482,11.91757967871175,8.683390079569545,0.7618239183418001,0.7571814524069277,0.024946840022819532,0.0,0.07291111102120997,0.22011149199601157,1.0757226943969727
777,random_graph,random_graph,1,0.3,9,256,0.2,1200,200,50,-0.07502150368912225,11.514216043858822,7.6792702097919525,0.6908858431444042,0.6940975968329838,0.02002130353711668,0.0,0.11154523868356386,0.22049399187987867,1.5653223991394043
777,random_graph,random_graph,1,1.0,2,256,0.2,1200,200,50,-0.0823855987895933,10.952602120566866,9.638802006240903,0.7778809798228694,0.7787471699841919,0.023143621957162925,0.0,0.07199021133627051,0.21363059294729203,0.764056921005249
777,random_graph,random_graph,1,1.0,1,256,0.2,1200,200,50,-0.08500509273779483,9.762073507661825,9.560734148116191,0.7817054031084567,0.7841568747765093,0.020458166029902,0.0,0.07206619358336581,0.21968086089073813,0.9272713661193848
777,random_graph,random_graph,1,1.0,4,256,0.2,1200,200,50,-0.08548246191503682,10.293203308484038,9.616687200630361,0.7633637790806784,0.7753529990703929,0.020673515253170953,0.0,0.07142586125487528,0.2170461758462385,0.5921540260314941
777,random_graph,random_graph,1,1.0,6,256,0.2,1200,200,50,-0.08619910894941982,11.887532608336967,9.63280920180136,0.7801921384185753,0.7932726473227082,0.02339556318511111,0.0,0.07023559008669111,0.21601682821779009,0.8905887603759766
777,random_graph,random_graph,1,1.0,5,256,0.2,1200,200,50,-0.08486580342810426,10.621170532875805,10.596443142829989,0.7706455395951403,0.754523659989403,0.024161454607118188,0.0,0.07109769515580609,0.2184838279589462,1.2563273906707764
777,random_graph,random_graph,1,0.3,4,256,0.2,1200,200,50,-0.07604467036181616,10.205421461587928,10.12201912886416,0.6815793901927044,0.6946267791896278,0.020674799305433977,0.0,0.10668269886104847,0.2180960842253984,6.2433154582977295
777,random_graph,random_graph,1,1.0,7,256,0.2,1200,200,50,-0.08700053089437831,11.287315744706401,10.914541650577261,0.7704239472800564,0.7605410968686097,0.023555325616021246,0.0,0.0700312176549671,0.21411208800664389,1.9975249767303467
777,random_graph,random_graph,1,1.0,9,256,0.2,1200,200,50,-0.08435373672784562,11.619363134446981,7.634498114385284,0.7723768407520702,0.7731064397564794,0.020048110566504185,0.0,0.07513041463865641,0.2196876596420253,1.9672038555145264
777,random_graph,random_graph,1,1.0,3,256,0.2,1200,200,50,-0.08283791193549629,9.761364818987175,6.336811775644579,0.776166455182784,0.7709960589507457,0.022179389999565365,0.0,0.07327091114027992,0.22173547769928595,2.9138665199279785
777,random_graph,random_graph,1,3.0,1,256,0.2,1200,200,50,-0.08847410416990083,9.498760382449301,8.770712426346043,0.9170950846832624,0.917343497416441,0.02042818617094855,3.2552083333333335e-06,0.03714787390963278,0.21779555562146904,1.6706748008728027
777,random_graph,random_graph,1,3.0,2,256,0.2,1200,200,50,-0.09019363027692258,10.3006957984377,8.13573950727686,0.9118395852337225,0.9160885840263588,0.023107011483393954,3.90625e-05,0.03837798760512224,0.21170248564498076,1.8722105026245117
777,random_graph,random_graph,1,3.0,0,256,0.2,1200,200,50,-0.08767162654902019,11.232841342124129,7.648250162098891,0.9060673434766539,0.9041148764762021,0.02489370639900667,0.0,0.037967712092716224,0.2182261907988023,2.3227500915527344
777,random_graph,random_graph,1,3.0,3,256,0.2,1200,200,50,-0.08665917728546317,9.35783127026199,6.12462271260461,0.9200334761786902,0.9203128032755168,0.02215124220758567,0.0,0.03811475454217254,0.22006608633672034,1.4915812015533447
