arm,seed,feat,stream_ppl,floor_frac,forgetting_ppl,forgetting_ppl_med,forget_floor_frac,oracle_ppl,gate_mean,gate_frac_gt_half,n_params_gate,runtime_s
B-noise-softmax,0,noise,10.387125458307082,0.0,9.096728619038315,10.448598490264525,0.0,10.629636078938452,nan,nan,0.0,26.095330715179443
B-noise-softmax,1,noise,10.066439148816476,0.0,9.489123799317815,11.096344066123645,0.0,10.47290174136556,nan,nan,0.0,27.1613028049469
B-noise-softmax,2,noise,10.20391618982151,0.0,9.466592047693926,10.393234889774792,0.0,10.396722697588306,nan,nan,0.0,28.32160782814026
B-noise-softmax,3,noise,10.440872304516303,0.0,9.664333059210382,10.848922223655002,0.0,10.912779524033928,nan,nan,0.0,34.18300771713257
B-noise-softmax,4,noise,10.162051974106678,0.0,9.498503667651303,10.957707114686956,0.0,10.917100856334839,nan,nan,0.0,33.15225052833557
B-noise-softmax,5,noise,10.261581417753694,0.0,9.085357157530444,9.879844963756767,0.0,10.781315396737963,nan,nan,0.0,26.72204899787903
B-noise-softmax,6,noise,10.331055249146061,0.0,10.155998887499901,12.013511829840125,0.0,10.883573845818255,nan,nan,0.0,22.15457320213318
B-noise-softmax,7,noise,10.283519538615284,0.0,9.312002271358093,10.18615349277696,0.0,10.562211121095471,nan,nan,0.0,28.850358247756958
B-noise-softmax,8,noise,10.305240622795676,0.0,10.301605230396722,10.374492322996485,0.0,10.95974374595259,nan,nan,0.0,23.856657028198242
B-noise-softmax,9,noise,10.269567429205384,0.0,9.471640592656769,10.440683567818557,0.0,10.848966746725328,nan,nan,0.0,30.959352016448975
B-softmax-sgd,0,proj,8.752514555332136,0.0,8.404154013506803,9.671229516352803,0.0,7.344013092223381,nan,nan,0.0,21.988887548446655
B-softmax-sgd,1,proj,8.47493320102483,0.0,8.859163714933507,10.468357618018894,0.0,7.152388668797903,nan,nan,0.0,19.91120934486389
B-softmax-sgd,2,proj,8.592802646699006,0.0,8.881384997785005,9.806551992705387,0.0,7.185695874900826,nan,nan,0.0,25.71600341796875
B-softmax-sgd,3,proj,8.76620100525086,0.0,8.902327074634005,9.957046800061484,0.0,7.361639746876128,nan,nan,0.0,20.64728808403015
B-softmax-sgd,4,proj,8.576693523192654,0.0,8.691387152160836,10.117423191948324,0.0,7.2545617397491755,nan,nan,0.0,28.37210988998413
B-softmax-sgd,5,proj,8.618399749088358,0.0,8.471259441655686,9.144534442917976,0.0,7.186052996483156,nan,nan,0.0,18.372629642486572
B-softmax-sgd,6,proj,8.735415393989804,0.0,9.368754904507735,11.188690593841498,0.0,7.290880561240637,nan,nan,0.0,27.58164119720459
B-softmax-sgd,7,proj,8.604345575245915,0.0,8.704965943273482,9.761644297525526,0.0,7.182753544109646,nan,nan,0.0,28.38306951522827
B-softmax-sgd,8,proj,8.694733455281384,0.0,9.713668103800766,9.936618284863787,0.0,7.258389212524579,nan,nan,0.0,17.898218870162964
B-softmax-sgd,9,proj,8.66734238227523,0.0,8.907933171829704,9.938695401593481,0.0,7.261724518487203,nan,nan,0.0,23.685258150100708
Gate-C-L1-softmax,0,gate_c_l1,7.000862717393844,0.0,12.048457844810514,15.017753243465432,0.0,31.676561386488686,0.3642367402911332,0.03125,16512,100.25859570503235
Gate-C-L1-softmax,1,gate_c_l1,6.630921439585547,0.0,9.608145887585621,10.448405095043132,0.0,28.529812519136513,0.3623954930778216,0.046875,16512,188.80529975891113
Gate-C-L1-softmax,2,gate_c_l1,7.178310455288102,0.0,11.708082429706005,12.470953614664609,0.0,32.137852843063634,0.410621468954027,0.1015625,16512,93.00633549690247
Gate-C-L1-softmax,3,gate_c_l1,6.90676480332017,0.0,10.409032702451771,10.996294926333707,0.0,29.857431779769538,0.355428587381455,0.03125,16512,154.06277227401733
Gate-C-L1-softmax,4,gate_c_l1,7.052821319192074,0.0,10.429312416702725,11.71152900496167,0.0,30.786158511232262,0.391864336309943,0.0703125,16512,188.8922016620636
Gate-C-L1-softmax,5,gate_c_l1,7.006277365526747,0.0,11.315933971230214,12.389917535038226,0.0,29.11134305499133,0.37109853882329946,0.0234375,16512,111.6086847782135
Gate-C-L1-softmax,6,gate_c_l1,6.923749783021645,0.0,10.778847685103514,12.61112820708383,0.0,31.278711522836993,0.361498135751788,0.0234375,16512,126.84275317192078
Gate-C-L1-softmax,7,gate_c_l1,7.108081422525389,0.0,10.95672138253553,10.901892295182975,0.0,29.37235167659185,0.4090125250979373,0.1328125,16512,120.52986288070679
Gate-C-L1-softmax,8,gate_c_l1,6.9880382808102794,0.0,12.871523711969678,12.588413772012954,0.0,32.768161121490074,0.375974348888607,0.0546875,16512,118.36037635803223
Gate-C-L1-softmax,9,gate_c_l1,7.144376651937309,0.0,15.61671860155067,16.704007296571813,0.0,30.139540423216488,0.39151843246837026,0.0859375,16512,99.39526700973511
Gate-C-softmax,0,gate_c,7.682539749263638,0.0,26.776016331433617,30.972591792908062,0.0,29.562490698927718,0.7181136367207118,1.0,16512.0,50.43413686752319
Gate-C-softmax,1,gate_c,7.2149095487178085,0.0,15.159103602950301,17.8462195330164,0.0,24.321525742007793,0.7108704077648645,1.0,16512.0,49.60322690010071
Gate-C-softmax,2,gate_c,8.138791563857637,0.0,27.095198355753524,32.835591823125945,0.0,28.21964908893773,0.7380437070689772,1.0,16512.0,44.02891230583191
Gate-C-softmax,3,gate_c,7.605982158758922,0.0,31.770359962767532,34.85564115897328,0.0,26.166965440881526,0.7261567133396292,1.0,16512.0,49.75038290023804
Gate-C-softmax,4,gate_c,7.7853719084584565,0.0,19.262384145857357,18.666391349766293,0.0,28.96229253962846,0.729052988099649,1.0,16512.0,54.30771493911743
Gate-C-softmax,5,gate_c,7.792253620433064,0.0,25.534621088774266,20.111795796593395,0.0,27.606091139486626,0.717612774648134,1.0,16512.0,46.766714572906494
Gate-C-softmax,6,gate_c,7.581842658556775,0.0,19.404461804103097,19.34144318737861,0.0,26.51577305410429,0.7227607663016726,1.0,16512.0,51.2219820022583
Gate-C-softmax,7,gate_c,7.9698452003598845,0.0,21.346946310148343,17.81600819841831,0.0,26.691153823233357,0.7402134124163267,1.0,16512.0,41.496652364730835
Gate-C-softmax,8,gate_c,7.749587127308669,0.0,31.32467299649495,21.156110756129152,0.0,27.003484513500467,0.7221971745780781,1.0,16512.0,52.088141202926636
Gate-C-softmax,9,gate_c,7.88431773171049,0.0,93.07620982639712,62.27948170021871,0.0,25.971263632610874,0.7253106208800454,1.0,16512.0,49.49944996833801
Gate-C-topk-softmax,0,gate_c_topk,7.027171972921536,0.0,8.031876433708527,8.78624132733153,0.0,35.84699283211618,0.5789838364234888,0.25,16512,131.53728652000427
Gate-C-topk-softmax,1,gate_c_topk,6.697460716376093,0.0,7.873640222844666,8.414678706762203,0.0,33.184806936603636,0.5809465115786938,0.25,16512,167.6095826625824
Gate-C-topk-softmax,2,gate_c_topk,7.065744747131393,0.0,9.930753405469762,11.201701179690552,0.0,29.963916739325388,0.570325592822645,0.25,16512,171.35775184631348
Gate-C-topk-softmax,3,gate_c_topk,7.070544084507493,0.0,7.778197996866552,7.722785750543266,0.0,33.771875851341896,0.5696990048485626,0.25,16512,149.99053359031677
Gate-C-topk-softmax,4,gate_c_topk,6.939523544998787,0.0,8.906029088930723,10.592534325152759,0.0,31.97440613130065,0.5742282384009703,0.25,16512,175.25245332717896
Gate-C-topk-softmax,5,gate_c_topk,7.015801911697075,0.0,8.824873637748325,10.09148060860742,0.0,31.173288689259138,0.5808627732590701,0.25,16512,191.99321818351746
Gate-C-topk-softmax,6,gate_c_topk,7.425087001684912,0.0,9.753984391600044,10.950619542942718,0.0,34.6402781917019,0.5789930840494293,0.25,16512,195.70511555671692
