spectral_radius,hetero,arm,seed_idx,overall_acc,steady_acc,runtime_s
0.7,True,esn_fast,6,0.988,1.0,2.5653152465820312
0.7,True,esn_fast,7,0.9892222222222222,1.0,1.8910884857177734
0.7,True,esn_fast,4,0.9862222222222222,1.0,3.1135499477386475
0.7,True,esn_fast,5,0.986,1.0,1.850477695465088
0.7,True,esn_fast,0,0.9905555555555555,1.0,3.07403826713562
0.7,True,esn_fast,1,0.9866666666666667,1.0,2.0402991771698
0.7,True,esn_fast,2,0.9878888888888889,1.0,3.070659875869751
0.7,True,esn_fast,3,0.9863333333333333,1.0,2.031507968902588
0.7,True,esn_fast,8,0.9925555555555555,1.0,2.977482557296753
0.7,True,esn_fast,9,0.9873333333333333,1.0,1.899622917175293
0.7,False,esn_fast,0,0.9895555555555555,1.0,2.6571104526519775
0.7,False,esn_fast,1,0.9866666666666667,1.0,2.1856844425201416
0.7,False,esn_fast,6,0.9876666666666667,1.0,3.017300844192505
0.7,False,esn_fast,7,0.9886666666666667,1.0,1.9704105854034424
0.7,False,esn_fast,2,0.9873333333333333,1.0,3.124699354171753
0.7,False,esn_fast,3,0.9854444444444445,1.0,1.9437534809112549
0.7,False,esn_fast,4,0.9851111111111112,1.0,3.1443729400634766
0.7,False,esn_fast,5,0.9852222222222222,1.0,1.9946033954620361
0.7,False,esn_fast,8,0.9914444444444445,1.0,3.0442581176757812
0.7,False,esn_fast,9,0.987,1.0,2.1507866382598877
0.9,True,esn_fast,0,0.9972222222222222,1.0,1.6134047508239746
0.9,True,esn_fast,1,0.9952222222222222,1.0,2.0541927814483643
0.9,True,esn_fast,4,0.9955555555555555,1.0,1.9340250492095947
0.9,True,esn_fast,5,0.9922222222222222,1.0,2.299753427505493
0.9,True,esn_fast,8,0.9977777777777778,1.0,2.5433592796325684
0.9,True,esn_fast,9,0.997,1.0,2.668553590774536
0.9,True,esn_fast,2,0.9953333333333333,1.0,2.540457248687744
0.9,True,esn_fast,3,0.9947777777777778,1.0,3.1343462467193604
0.9,True,esn_fast,6,0.9946666666666667,1.0,2.728053092956543
0.9,True,esn_fast,7,0.9953333333333333,1.0,2.890446424484253
0.9,False,esn_fast,0,0.9972222222222222,1.0,3.4167349338531494
0.9,False,esn_fast,1,0.9953333333333333,1.0,4.591439485549927
0.9,False,esn_fast,2,0.995,1.0,4.948344469070435
0.9,False,esn_fast,3,0.9945555555555555,1.0,4.529533386230469
0.9,False,esn_fast,4,0.9953333333333333,1.0,2.708688259124756
0.9,False,esn_fast,5,0.9921111111111112,1.0,4.212448358535767
0.9,False,esn_fast,6,0.9943333333333333,1.0,3.646448850631714
0.9,False,esn_fast,7,0.9954444444444445,1.0,5.908005952835083
0.9,False,esn_fast,8,0.9976666666666667,1.0,4.567502975463867
0.9,False,esn_fast,9,0.9967777777777778,1.0,5.444222688674927
0.7,True,esn_dual,8,0.9972222222222222,1.0,33.566089391708374
0.7,True,esn_dual,9,0.997,1.0,45.865421533584595
0.7,True,esn_dual,6,0.9974444444444445,1.0,35.08061337471008
0.7,True,esn_dual,7,0.9966666666666667,1.0,46.65834832191467
0.7,False,esn_dual,0,0.9975555555555555,1.0,34.74701428413391
0.7,False,esn_dual,1,0.9968888888888889,1.0,46.942877531051636
0.7,True,esn_dual,2,0.9972222222222222,1.0,35.49143052101135
0.7,True,esn_dual,3,0.9973333333333333,1.0,47.511974811553955
0.7,True,esn_dual,0,0.9975555555555555,1.0,35.7608962059021
0.7,True,esn_dual,1,0.997,1.0,47.66223621368408
0.7,True,esn_dual,4,0.9961111111111111,1.0,35.829344749450684
0.7,True,esn_dual,5,0.9968888888888889,1.0,47.62131476402283
0.9,True,esn_dual,0,0.9981111111111111,1.0,42.893675565719604
0.9,True,esn_dual,1,0.9976666666666667,1.0,43.78655767440796
0.7,False,esn_dual,8,0.9972222222222222,1.0,42.02179312705994
0.7,False,esn_dual,9,0.997,1.0,45.937225341796875
0.7,False,esn_dual,6,0.9972222222222222,1.0,41.18826627731323
0.7,False,esn_dual,7,0.9966666666666667,1.0,47.12885904312134
0.7,False,esn_dual,2,0.9972222222222222,1.0,41.5065758228302
0.7,False,esn_dual,3,0.9972222222222222,1.0,47.253661155700684
0.99,True,esn_fast,2,0.9965555555555555,1.0,5.027191638946533
0.99,True,esn_fast,3,0.9961111111111111,1.0,4.965391397476196
0.99,True,esn_fast,0,0.9976666666666667,1.0,5.008209943771362
0.99,True,esn_fast,1,0.9976666666666667,1.0,5.058576822280884
0.7,False,esn_dual,4,0.9962222222222222,1.0,44.10644268989563
0.7,False,esn_dual,5,0.9965555555555555,1.0,45.074105978012085
0.9,True,esn_dual,2,0.9978888888888889,1.0,41.84166955947876
0.9,True,esn_dual,3,0.9977777777777778,1.0,45.907857179641724
0.9,True,esn_dual,4,0.9981111111111111,1.0,46.22589039802551
0.9,True,esn_dual,5,0.9978888888888889,1.0,45.20684218406677
0.99,True,esn_fast,4,0.998,1.0,4.289257049560547
0.99,True,esn_fast,5,0.9962222222222222,1.0,4.84464955329895
0.99,True,esn_fast,6,0.9958888888888889,1.0,4.516308307647705
0.99,True,esn_fast,7,0.9973333333333333,1.0,4.503314971923828
0.9,True,esn_dual,8,0.998,1.0,46.76586103439331
0.9,True,esn_dual,9,0.998,1.0,45.40401911735535
0.99,True,esn_fast,8,0.998,1.0,4.719305515289307
0.99,True,esn_fast,9,0.9978888888888889,1.0,5.297407150268555
0.9,True,esn_dual,6,0.9978888888888889,1.0,44.924400091171265
0.9,True,esn_dual,7,0.9977777777777778,1.0,47.80539846420288
0.99,False,esn_fast,2,0.9966666666666667,1.0,4.526228904724121
0.99,False,esn_fast,3,0.9953333333333333,1.0,4.373039484024048
0.99,False,esn_fast,4,0.9982222222222222,1.0,4.2287187576293945
0.99,False,esn_fast,5,0.9958888888888889,1.0,4.314060926437378
0.99,False,esn_fast,0,0.9976666666666667,1.0,5.255602598190308
0.99,False,esn_fast,1,0.9973333333333333,1.0,4.750471591949463
0.99,False,esn_fast,8,0.998,1.0,5.441233396530151
0.99,False,esn_fast,9,0.9978888888888889,1.0,4.349902629852295
0.99,False,esn_fast,6,0.9955555555555555,1.0,5.317267179489136
0.99,False,esn_fast,7,0.9972222222222222,1.0,5.08063006401062
0.9,False,esn_dual,0,0.9981111111111111,1.0,41.64605522155762
0.9,False,esn_dual,1,0.9976666666666667,1.0,37.36496138572693
0.9,False,esn_dual,4,0.998,1.0,29.917948246002197
0.9,False,esn_dual,5,0.9978888888888889,1.0,41.28311085700989
0.9,False,esn_dual,2,0.9978888888888889,1.0,37.253713846206665
0.9,False,esn_dual,3,0.9977777777777778,1.0,40.18384385108948
0.9,False,esn_dual,6,0.9978888888888889,1.0,37.94702386856079
0.9,False,esn_dual,7,0.9977777777777778,1.0,38.43115758895874
0.9,False,esn_dual,8,0.998,1.0,38.66960906982422
0.9,False,esn_dual,9,0.998,1.0,38.025938272476196
0.99,True,esn_dual,4,0.9984444444444445,1.0,37.172945499420166
0.99,True,esn_dual,5,0.998,1.0,34.704668283462524
0.99,True,esn_dual,6,0.9981111111111111,1.0,38.33695316314697
0.99,True,esn_dual,7,0.9978888888888889,1.0,34.18887233734131
0.99,True,esn_dual,2,0.998,1.0,40.70005226135254
0.99,True,esn_dual,3,0.9977777777777778,1.0,33.71962928771973
0.99,True,esn_dual,0,0.9982222222222222,1.0,42.13781690597534
0.99,True,esn_dual,1,0.998,1.0,32.63347315788269
0.99,True,esn_dual,8,0.998,1.0,40.01404356956482
0.99,True,esn_dual,9,0.9984444444444445,1.0,32.0037796497345
0.99,False,esn_dual,0,0.9982222222222222,1.0,36.71371364593506
0.99,False,esn_dual,1,0.998,1.0,29.1081063747406
0.99,False,esn_dual,2,0.998,1.0,40.72347044944763
0.99,False,esn_dual,3,0.9976666666666667,1.0,20.113981008529663
0.99,False,esn_dual,8,0.998,1.0,41.25973629951477
0.99,False,esn_dual,9,0.9984444444444445,1.0,16.844881057739258
0.99,False,esn_dual,6,0.9981111111111111,1.0,41.531009674072266
0.99,False,esn_dual,7,0.9978888888888889,1.0,18.811812162399292
0.99,False,esn_dual,4,0.9984444444444445,1.0,40.858272314071655
0.99,False,esn_dual,5,0.998,1.0,20.05045747756958
