arm,seed_idx,r0_nmse,r1_nmse,r2_nmse,r3_nmse,r1_kappa,r2_kappa,r3_kappa,r0_mc,r1_mc,r2_mc,r3_mc,n_edges,runtime_s
normal,2,0.09014142613492236,0.021821651292714125,0.024126715369717052,0.07267527147455262,25.812747804772922,26.65637803682227,27.38087607977852,2.0036963021985708,5.786015076045927,6.3646372269397125,6.878660142021302,1062,169.5030689239502
normal,1,0.07272101389014025,0.0228235867883391,0.03273537046830726,0.09211089964901703,25.341196514629186,25.833372439562968,26.699836756636923,11.279011518192528,4.975716400575994,4.913857490850769,5.651959460373009,1062,173.57037615776062
normal,7,0.09020981881106922,0.024105341382071606,0.02334207660130101,0.07455195139640736,25.710891385998217,26.512010100867077,27.217878877201272,11.011729164930104,5.794240234760789,5.3825014728908585,6.309888808544062,1062,173.55651259422302
normal,0,0.08932408827654537,0.016937432056305008,0.026067658427839372,0.06493339444319501,25.49529565892845,26.319378398432693,26.981784219430615,10.015411149960917,5.45080758012309,6.148709584870104,5.283013261404473,1062,175.3854784965515
normal,3,0.06640059293855163,0.0358220961689963,0.019547280305002527,0.070906527776132,25.707444663828774,26.42588453428619,27.128044228541267,11.014032449545763,5.606361902068062,6.100498806351038,4.640479646847256,1062,175.5310034751892
leak_rls,3,0.06589623206534946,0.03577511628308906,0.019513701886856402,0.07010359871350844,25.707444663828774,26.42588453428619,27.128044228541267,11.014032449545763,5.606361902068062,6.100498806351038,4.640479646847256,1062,175.30133438110352
normal,5,0.08143351016490695,0.028235915574331923,0.024530290568693332,0.06375279448039789,25.53185867453109,26.27704236903579,27.226101898458364,11.338746487297865,5.999483891496919,6.7482593759586065,6.848261969283559,1062,176.81402707099915
normal,4,0.09260582458852291,0.01500906448027441,0.021217429188199993,0.04969755100983833,25.63110048354364,26.31668110112744,26.973894381778237,11.385030386367657,5.125373463997901,5.857410501908594,6.107149875026249,1062,176.92915081977844
normal,6,0.09290592140901038,0.01301696798815296,0.03048733019687436,0.06525032981313873,25.599403533348806,26.412607206347253,27.23298443366799,11.731134407901376,6.223738567068041,4.25496494099728,7.139716955460239,1062,176.98217463493347
leak_rls,1,0.07239384713469461,0.02260421242038947,0.03266387745361628,0.09159143204951896,25.341196514629186,25.833372439562968,26.699836756636923,11.279011518192528,4.975716400575994,4.913857490850769,5.651959460373009,1062,176.62268996238708
leak_rls,5,0.08094066558764432,0.028195529153225336,0.024434379657896563,0.06326186569105402,25.53185867453109,26.27704236903579,27.226101898458364,11.338746487297865,5.999483891496919,6.7482593759586065,6.848261969283559,1062,177.5001962184906
normal,9,0.07984850161729977,0.020676578811552465,0.022492277030622423,0.04300887692357284,25.457850293559023,26.093353653641206,26.914853883758138,11.276506299467771,5.693371481365842,6.245805723196872,6.2826574309131935,1062,178.49058175086975
normal,8,0.08954568296306746,0.021561099371465345,0.02518025524664876,0.044998726901525316,25.579730490384968,26.401726367284926,27.17074651876459,10.841818126655863,5.7610731772261,5.93140366604716,6.550367885705005,1062,179.16698789596558
leak_rls,4,0.09208069446033161,0.01490506925101204,0.021301593546220587,0.04939400117232369,25.63110048354364,26.31668110112744,26.973894381778237,11.385030386367657,5.125373463997901,5.857410501908594,6.107149875026249,1062,179.21192836761475
leak_rls,2,0.08955702504516859,0.021835629798697766,0.024302751961408065,0.0722158005052307,25.812747804772922,26.65637803682227,27.38087607977852,2.0036963021985708,5.786015076045927,6.3646372269397125,6.878660142021302,1062,180.1822898387909
leak_rls,0,0.08880842597489914,0.016713782331997277,0.025691696011260052,0.0647249775282078,25.49529565892845,26.319378398432693,26.981784219430615,10.015411149960917,5.45080758012309,6.148709584870104,5.283013261404473,1062,180.37698006629944
leak_rls,6,0.09228998565911331,0.012978392684877636,0.030194447812739958,0.06523833570953023,25.599403533348806,26.412607206347253,27.23298443366799,11.731134407901376,6.223738567068041,4.25496494099728,7.139716955460239,1062,169.30967664718628
leak_rls,7,0.08967997565087199,0.02410852913428695,0.023592117038969046,0.07392827904467582,25.710891385998217,26.512010100867077,27.217878877201272,11.011729164930104,5.794240234760789,5.3825014728908585,6.309888808544062,1062,168.45837903022766
leak_rls,8,0.0889991838162851,0.021524065277301805,0.02507858890589565,0.044719642583435554,25.579730490384968,26.401726367284926,27.17074651876459,10.841818126655863,5.7610731772261,5.93140366604716,6.550367885705005,1062,168.78311777114868
leak_rls,9,0.07931592603348815,0.020773202329900445,0.022516879896161874,0.04285331630929378,25.457850293559023,26.093353653641206,26.914853883758138,11.276506299467771,5.693371481365842,6.245805723196872,6.2826574309131935,1062,167.5507915019989
leak_metadata,0,0.08865433278880887,0.01690050464187238,0.025926083963329828,0.06426300914606389,25.49529565892845,26.319378398432693,26.981784219430615,10.015411149960917,5.45080758012309,6.148709584870104,5.283013261404473,1062,170.43928956985474
leak_metadata,5,0.08078666171167515,0.02800657438162692,0.024403427427431686,0.06317135902814511,25.53185867453109,26.27704236903579,27.226101898458364,11.338746487297865,5.999483891496919,6.7482593759586065,6.848261969283559,1062,170.30345940589905
leak_metadata,7,0.08945929553510265,0.023616027741302066,0.022883802306621848,0.07382470820625786,25.710891385998217,26.512010100867077,27.217878877201272,11.011729164930104,5.794240234760789,5.3825014728908585,6.309888808544062,1062,169.09440422058105
leak_metadata,6,0.09213945241153165,0.012940787831628994,0.030163660770780143,0.06421593855983408,25.599403533348806,26.412607206347253,27.23298443366799,11.731134407901376,6.223738567068041,4.25496494099728,7.139716955460239,1062,169.59093713760376
leak_metadata,1,0.07222028329871905,0.022652213268607526,0.032447437916514624,0.09124373361470171,25.341196514629186,25.833372439562968,26.699836756636923,11.279011518192528,4.975716400575994,4.913857490850769,5.651959460373009,1062,172.753098487854
leak_metadata,4,0.09182338107076339,0.014770165821548399,0.02097218650810357,0.04913106173505606,25.63110048354364,26.31668110112744,26.973894381778237,11.385030386367657,5.125373463997901,5.857410501908594,6.107149875026249,1062,171.78932929039001
leak_metadata,2,0.08938712861754204,0.02131299372044004,0.02365726681296411,0.07190664422073102,25.812747804772922,26.65637803682227,27.38087607977852,2.0036963021985708,5.786015076045927,6.3646372269397125,6.878660142021302,1062,172.3822774887085
leak_metadata,3,0.06594246199668673,0.03559298773225517,0.01924266253662589,0.07012523093593291,25.707444663828774,26.42588453428619,27.128044228541267,11.014032449545763,5.606361902068062,6.100498806351038,4.640479646847256,1062,173.10189032554626
leak_metadata,9,0.07914653801511701,0.02020344269030498,0.022048710227956157,0.042380498065048865,25.457850293559023,26.093353653641206,26.914853883758138,11.276506299467771,5.693371481365842,6.245805723196872,6.2826574309131935,1062,170.69038558006287
leak_ftle,1,0.07271963936947325,0.020947113004987222,0.029247039720047278,0.06240156154183637,25.476409998301296,26.456457373106144,27.437475598896775,11.279011518192528,5.641910673580528,5.827252003402969,6.9736293119612425,1062,170.78378057479858
leak_metadata,8,0.08885678409674658,0.021271874093574627,0.024858817505513615,0.044486333615360425,25.579730490384968,26.401726367284926,27.17074651876459,10.841818126655863,5.7610731772261,5.93140366604716,6.550367885705005,1062,172.47142100334167
leak_ftle,0,0.08933008239228382,0.01692640726998061,0.03156237862914673,0.057194997758566166,25.484801263920353,26.228097607603942,27.138542285897508,10.015411149960917,5.6155989812945455,6.006647027134371,7.059296978678194,1062,172.76595759391785
leak_ftle,3,0.06638802534779495,0.019260291709125077,0.019326804042942406,0.05990231186813276,25.731443455941424,26.42210699727848,27.183092374772986,11.014032449545763,6.045003848105543,6.568631834694575,6.762995174966565,1062,163.45764994621277
leak_ftle,2,0.09016616496211612,0.021821051676280012,0.01983504816518883,0.064005701968952,25.808812738654073,26.413942237887486,27.394679839659542,2.0036963021985708,5.988035519655811,6.203911829666875,6.491884136544422,1062,166.59287238121033
leak_ftle,4,0.09261491934856934,0.027358876940781113,0.028906021565207003,0.06348593441488826,25.675720051243474,26.34913091513129,26.965983183300967,11.385030386367657,5.376502934378862,5.826800307299728,6.3912441697547715,1062,164.63823103904724
leak_ftle,6,0.0933595141931648,0.028333241265687675,0.020737131734480184,0.06972456890745295,25.342354129015526,26.012688502025682,26.915621443844312,11.731134407901376,5.854905061110245,5.67937580639273,6.369461502776185,1062,164.38778710365295
leak_ftle,5,0.08142728413275473,0.038267771270520154,0.02053532917167443,0.05316235831083299,25.455609493044342,26.055388930223355,26.881816396477117,11.338746487297865,5.719476177898416,5.2543239171542595,6.375058099228732,1062,168.81347632408142
leak_ftle,9,0.07983579886254263,0.026175606324885334,0.022603378917568348,0.03296040019246328,25.458737428244607,26.070611681097322,26.981662545185756,11.276506299467771,5.530726923687094,5.962747273603013,5.611092436947098,1062,167.3217363357544
leak_ftle,7,0.09020999263881167,0.024100218061294223,0.021309517784698574,0.0813406013175055,25.71778081987507,26.556559003875698,27.42523547986349,11.011729164930104,3.6137991775678766,6.20814211574397,6.026674201756898,1062,168.58929777145386
leak_plasticity,0,0.08992409367547326,0.024479184985925106,0.020946205111425423,0.07939287056509699,25.716658450576176,26.367359258799222,27.00245002069659,10.015411149960917,5.649020988067081,5.765291370793507,6.3945753268911165,1062,168.9334433078766
leak_ftle,8,0.08919618458263272,0.021078947310499543,0.021866553407151382,0.07271102054021422,25.44257051852272,26.215484443801547,26.90327206898849,10.841818126655863,5.491256153792184,6.010866765914121,6.4272784270002585,1062,170.23204731941223
leak_plasticity,3,0.06562131364466862,0.02051410520627702,0.040923718248186594,0.0638504323268038,25.638421592531188,26.416011822717227,27.05887376738568,11.014032449545763,5.566608735338077,6.515671447345109,6.633910005374142,1062,169.47818207740784
leak_plasticity,5,0.0827172175627759,0.02220973307456961,0.019632649392149912,0.049455750467715366,25.557941714712847,26.30326786316421,27.053195921617995,11.338746487297865,5.876662341355434,6.879525856847215,5.048364176934526,1062,169.1205976009369
leak_plasticity,2,0.08940500532013795,0.025732156887919876,0.019842948789694236,0.04710193254319599,25.34846829783516,26.29568600665026,27.0085790421711,2.0036963021985708,5.407359511216872,6.197637674243358,6.79364770508879,1062,173.62676882743835
leak_plasticity,1,0.09182614115526581,0.020198041521633025,0.026233941795463442,0.04998242733381854,25.40434901812707,26.340271938486985,27.2528271113738,11.279011518192528,3.932920483918645,6.120822204580996,6.53924209334879,1062,174.66854763031006
leak_plasticity,6,0.09498445140499072,0.014882580298415016,0.021738041400920408,0.0671718805979334,25.593025209792366,26.217965105357326,27.17001694843275,11.731134407901376,6.273658397969057,6.161110159259066,7.002250992010377,1062,176.0060613155365
leak_plasticity,4,0.09368944448664017,0.016896098340454347,0.028719423601701082,0.07535873882633942,25.523293153459583,26.298786091846765,27.121388280637717,11.385030386367657,5.00094418412542,5.7320987811666155,6.622482357865449,1062,180.03642344474792
leak_plasticity,7,0.09156609247621679,0.024198452496676022,0.02683675765912892,0.056741765728287694,25.585269225745336,26.402772378096763,27.237089857595294,11.011729164930104,5.4809426084292685,6.150443558536157,7.022057028925052,1062,177.77934789657593
no_plasticity,0,0.07088220555685601,0.003117718974633879,0.0041836411969615505,0.028465984507157406,26.306881942922193,27.715857548124017,28.92764597782739,10.015411149960917,7.250966449597023,8.14503499899866,9.174802212911834,1062,120.66788625717163
no_plasticity,1,0.05843813807382195,0.0037439215925873094,0.005143147623434282,0.029423410449556233,26.098196979969593,27.684820023389165,29.09503713765858,11.279011518192528,7.227614091103801,8.135410183131956,9.08509322900965,1062,119.85574460029602
no_plasticity,2,0.06304797304378115,0.0033362292004210773,0.0050592422011935655,0.02873737599160556,26.22425063284437,27.73527134508839,29.03001757599878,2.0036963021985708,7.0505244458689385,7.895833224752376,8.458173624099802,1062,119.48276376724243
leak_plasticity,8,0.09035686252292542,0.030636055257266905,0.02466561265170584,0.04645828146566621,25.385299541577464,26.042834699540265,26.800596522175645,10.841818126655863,5.580153520473877,5.541536368240931,5.452249954494525,1062,128.8980951309204
leak_plasticity,9,0.07371315063718108,0.022595187992729606,0.026120191433062323,0.06462332992697864,25.5575634574021,26.354135871490104,27.075092092528813,11.276506299467771,5.462533920797949,6.401542616067522,6.592658874114688,1062,129.48111701011658
no_plasticity,3,0.05887429889293839,0.0033776687677693693,0.004400205320660652,0.024245782266586715,26.26065523346164,27.242958931130577,28.141305990979,11.014032449545763,7.00641848698033,7.304045289463064,8.534165391305875,1062,118.73241901397705
no_plasticity,6,0.06252964093478026,0.004109612869313141,0.003646179389256349,0.025534114796155718,26.053442749983947,27.141069618087702,28.250170250282594,11.731134407901376,7.486812218403115,3.442960538435354,8.151799101584022,1062,116.61065816879272
no_plasticity,4,0.07198212729774961,0.0033955775507017887,0.0028300328051175535,0.023699132222935314,26.402267470624743,27.304061173389645,27.915184371140676,11.385030386367657,6.991243795570273,7.850386380262703,8.502961456313143,1062,118.23203349113464
no_plasticity,8,0.06779684511469379,0.003755988034361606,0.004557643243886094,0.02289077159229159,26.193244489202595,27.38332678325167,28.271140977563167,10.841818126655863,7.271240749395274,7.956450341374053,8.198500559743197,1062,113.82813954353333
no_plasticity,7,0.07298836495873225,0.003736369666122094,0.004321967595900949,0.028259130294338887,26.048002872489615,27.237491650624627,28.339878077843096,11.011729164930104,6.7135132328398495,7.911824766651584,8.596644810994112,1062,115.18474435806274
no_plasticity,5,0.05774416469963636,0.0027839613130885344,0.004669515242508233,0.026059825054488846,25.893811617753187,27.371475623137794,28.797587292348922,11.338746487297865,7.13908056389285,8.080496579087972,7.924613320192639,1062,118.36430406570435
no_plasticity,9,0.05367649223752842,0.0033589649382758293,0.004077205915965706,0.02549183824664871,26.051123611423897,27.2142736252182,28.29924135511101,11.276506299467771,7.556946542814509,8.421407448736131,8.1227351294054,1062,113.40343713760376
