task,scenario,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,acc_first,acc_mid,acc_last,sel_good_frac,n_switches
multi_source_weak,all_weak,random_graph_k25,worker_emasel,0,256,40000,9.929380416870117,0.7084947614381549,0.715,0.665,0.7,0.691,215
multi_source_weak,all_weak,random_graph_k25,worker_true,8,256,40000,5.2026495933532715,0.9387641014044873,0.93,1.0,1.0,0.0,0
multi_source_weak,all_weak,random_graph_k25,vote_pure,8,256,40000,5.273773431777954,0.8422150197231225,0.805,0.9,0.9,0.0,0
multi_source_weak,all_weak,random_graph_k25,worker_majority,8,256,40000,6.1981470584869385,0.8583641114544861,0.9,0.9,0.87,0.0,0
multi_source_weak,all_weak,random_graph_k25,emasel_pure,8,256,40000,6.333604097366333,0.6965377754327781,0.7,0.7,0.7,0.698,217
multi_source_weak,all_weak,random_graph_k25,worker_emasel,8,256,40000,7.596532344818115,0.719269616341298,0.795,0.685,0.7,0.698,217
multi_source_weak,majority_weak,random_graph_k25,worker_true,2,256,40000,5.10199236869812,0.9302241149719855,0.9,0.905,0.925,0.0,0
multi_source_weak,majority_weak,random_graph_k25,vote_pure,2,256,40000,5.1540656089782715,0.7136943795382026,0.72,0.635,0.7375,0.0,0
multi_source_weak,majority_weak,random_graph_k25,worker_majority,2,256,40000,6.332953691482544,0.7328346021456748,0.8,0.675,0.705,0.0,0
multi_source_weak,majority_weak,random_graph_k25,emasel_pure,2,256,40000,6.366835355758667,0.7170322353709705,0.7,0.7,0.8,0.716,102
multi_source_weak,majority_weak,random_graph_k25,worker_emasel,2,256,40000,7.266575574874878,0.7207482224064722,0.78,0.7,0.8,0.716,102
multi_source_weak,all_weak,random_graph_k25,worker_true,9,256,40000,5.7162864208221436,0.9338182457727191,1.0,0.9,1.0,0.0,0
multi_source_weak,all_weak,random_graph_k25,vote_pure,9,256,40000,5.785882234573364,0.8361033642370794,0.805,0.83,0.9,0.0,0
multi_source_weak,all_weak,random_graph_k25,worker_majority,9,256,40000,6.884348154067993,0.8405278761840156,0.9,0.8,0.8,0.0,0
multi_source_weak,all_weak,random_graph_k25,emasel_pure,9,256,40000,6.921193838119507,0.6946998819125147,0.7,0.7,0.7,0.695,215
multi_source_weak,all_weak,random_graph_k25,worker_emasel,9,256,40000,8.067431926727295,0.7286713901660762,0.8,0.7,0.735,0.695,215
multi_source_weak,majority_weak,random_graph_k25,worker_true,0,256,40000,5.782128572463989,0.9386397326700335,1.0,1.0,1.0,0.0,0
multi_source_weak,majority_weak,random_graph_k25,vote_pure,0,256,40000,5.809911727905273,0.713919248260094,0.7,0.7,0.7,0.0,0
multi_source_weak,majority_weak,random_graph_k25,worker_majority,0,256,40000,6.952253818511963,0.7278623652672044,0.7,0.7,0.7,0.0,0
multi_source_weak,majority_weak,random_graph_k25,emasel_pure,0,256,40000,7.030205488204956,0.695657144292857,0.7,0.7,0.7,0.6965,141
multi_source_weak,majority_weak,random_graph_k25,worker_emasel,0,256,40000,7.912222385406494,0.7318346272706716,0.78,0.71,0.7,0.6965,141
multi_source_weak,majority_weak,random_graph_k25,worker_true,5,256,40000,5.575363636016846,0.947309112836361,1.0,0.965,1.0,0.0,0
multi_source_weak,majority_weak,random_graph_k25,vote_pure,5,256,40000,5.642899036407471,0.7156516167935478,0.735,0.7,0.7,0.0,0
multi_source_weak,majority_weak,random_graph_k25,worker_majority,5,256,40000,6.62749981880188,0.7533868495766438,0.8,0.755,0.7,0.0,0
multi_source_weak,majority_weak,random_graph_k25,emasel_pure,5,256,40000,6.748515844345093,0.6965830004271251,0.7,0.7,0.7,0.6965,162
multi_source_weak,majority_weak,random_graph_k25,worker_emasel,5,256,40000,7.606995105743408,0.7436408632948921,0.85,0.71,0.7,0.6965,162
multi_source_weak,majority_weak,random_graph_k25,worker_true,1,256,40000,5.505075454711914,0.9392954950880632,1.0,1.0,1.0,0.0,0
multi_source_weak,majority_weak,random_graph_k25,vote_pure,1,256,40000,5.549064636230469,0.7206288786713901,0.72,0.7,0.71,0.0,0
multi_source_weak,majority_weak,random_graph_k25,worker_majority,1,256,40000,6.845498323440552,0.7682922539634683,0.9,0.8,0.76,0.0,0
multi_source_weak,majority_weak,random_graph_k25,emasel_pure,1,256,40000,6.978161573410034,0.6980879877390015,0.705,0.7,0.7,0.698,148
multi_source_weak,majority_weak,random_graph_k25,worker_emasel,1,256,40000,8.218375205993652,0.7410567573679054,0.9,0.8,0.7,0.698,148
multi_source_weak,majority_weak,random_graph_k25,worker_true,4,256,40000,6.090200185775757,0.932059495992563,0.9,0.9,1.0,0.0,0
multi_source_weak,majority_weak,random_graph_k25,vote_pure,4,256,40000,6.148014783859253,0.7222318534710183,0.7,0.705,0.8,0.0,0
multi_source_weak,majority_weak,random_graph_k25,worker_majority,4,256,40000,7.207432985305786,0.7380367327454084,0.8,0.7,0.8,0.0,0
