part,disturb,kappa,arm,seed_idx,mc_heldout,proxy_mean,pre_nmse,post_nmse,final_nmse,recovery_pulses,kappa_settled,mc_at_nominal,mc_at_settled,runtime_s
1,none,15.0,,0,7.703935939479286,0.019989368435768814,,,,,,,,2.190741539001465
1,none,15.0,,1,8.07500896676338,0.019849418697158394,,,,,,,,1.5464389324188232
1,none,15.0,,6,9.657243346843304,0.02064854806343458,,,,,,,,2.117969036102295
1,none,15.0,,7,9.02944518050723,0.018421103747480478,,,,,,,,1.5683400630950928
1,none,15.0,,2,8.489570955207874,0.020094904401895135,,,,,,,,2.3260574340820312
1,none,15.0,,3,7.377451443715943,0.01949013078897414,,,,,,,,1.5209550857543945
1,none,25.0,,0,15.907945571066135,0.028827155628274093,,,,,,,,2.245046854019165
1,none,25.0,,1,11.848613793565178,0.028696059120421183,,,,,,,,1.5785102844238281
1,none,15.0,,4,8.398613417152635,0.019187563507662098,,,,,,,,2.3684983253479004
1,none,15.0,,5,8.220585134114103,0.01801056732771954,,,,,,,,1.5719380378723145
1,none,15.0,,8,7.611386626032351,0.018458121249751158,,,,,,,,2.336360216140747
1,none,15.0,,9,8.396899759115211,0.020041420128169642,,,,,,,,1.6732306480407715
1,none,40.0,,0,5.810023877466739,0.061798573392374295,,,,,,,,2.5374956130981445
1,none,40.0,,1,7.427880246018039,0.062153109949746335,,,,,,,,1.6011178493499756
1,none,25.0,,2,14.911444878775251,0.02963424274781562,,,,,,,,2.878994941711426
1,none,25.0,,3,10.754696926638044,0.028865381220907163,,,,,,,,1.588304042816162
1,none,25.0,,4,15.336231791725062,0.028209453093859825,,,,,,,,2.8333919048309326
1,none,25.0,,5,15.151293735742764,0.02704048811139998,,,,,,,,1.865983247756958
1,none,25.0,,8,14.98524505921724,0.027585082158456002,,,,,,,,3.248061418533325
1,none,25.0,,9,13.813802796575985,0.02883808341818409,,,,,,,,1.7005655765533447
1,none,25.0,,6,16.201701134015916,0.0300205187428389,,,,,,,,3.3206655979156494
1,none,25.0,,7,10.935260915486548,0.027080060500327272,,,,,,,,1.6619789600372314
1,none,40.0,,6,7.761903929104674,0.06528310374951853,,,,,,,,3.0683481693267822
1,none,40.0,,7,5.930876717601038,0.05739371816311198,,,,,,,,1.5898590087890625
1,none,40.0,,4,6.137246814376787,0.059885098946162146,,,,,,,,3.276306390762329
1,none,40.0,,5,7.885907183444467,0.058269962355194514,,,,,,,,1.7430024147033691
1,none,40.0,,2,6.639616594909672,0.06263273160751862,,,,,,,,3.3645269870758057
1,none,40.0,,3,8.46726852905301,0.0616152429701719,,,,,,,,1.820382833480835
1,tau_drift,15.0,,0,7.87293987641163,0.029445108722119973,,,,,,,,3.6700034141540527
1,tau_drift,15.0,,1,8.609902800590769,0.02917847614903711,,,,,,,,1.4365334510803223
1,none,40.0,,8,6.9237039954682995,0.057157495846943164,,,,,,,,3.747687816619873
1,none,40.0,,9,6.47462921705441,0.061799741292325204,,,,,,,,1.5865859985351562
1,tau_drift,15.0,,2,8.698849691683975,0.029620477721791914,,,,,,,,1.2980237007141113
1,tau_drift,15.0,,3,7.6043196345719455,0.028168702525518046,,,,,,,,1.543015718460083
1,tau_drift,15.0,,4,8.604268964327956,0.0281377438526464,,,,,,,,1.6521673202514648
1,tau_drift,15.0,,5,8.352789087416214,0.02612598855496311,,,,,,,,1.7297399044036865
1,tau_drift,15.0,,6,9.910971682767665,0.0302091779626598,,,,,,,,1.6026151180267334
1,tau_drift,15.0,,7,8.78705509585294,0.02668399906617081,,,,,,,,2.31602144241333
1,tau_drift,15.0,,8,8.026784250490874,0.026748299419724578,,,,,,,,1.5469601154327393
1,tau_drift,15.0,,9,8.678006410773714,0.02972575363528648,,,,,,,,2.5387794971466064
1,tau_drift,25.0,,2,14.361468795583942,0.03578321597141613,,,,,,,,1.7031488418579102
1,tau_drift,25.0,,3,12.517298934377928,0.034626385380369884,,,,,,,,3.1132864952087402
1,tau_drift,25.0,,0,14.965339000085157,0.035103830929967904,,,,,,,,1.905858039855957
1,tau_drift,25.0,,1,7.599031974664975,0.03486502256021221,,,,,,,,4.210867643356323
1,tau_drift,25.0,,4,13.562165451139577,0.03405937389015714,,,,,,,,1.680737018585205
1,tau_drift,25.0,,5,15.449382648110111,0.03203247493503678,,,,,,,,6.574706315994263
1,tau_drift,40.0,,0,12.119734327317364,0.0733971857866182,,,,,,,,2.8183999061584473
1,tau_drift,40.0,,1,11.805630585731727,0.07228225412415205,,,,,,,,5.1908204555511475
1,tau_drift,40.0,,4,10.853160983360496,0.07110868819995504,,,,,,,,2.833104372024536
1,tau_drift,40.0,,5,10.495929874848986,0.06904288432930152,,,,,,,,5.203973770141602
1,tau_drift,25.0,,8,6.6583087241555825,0.0328677978234228,,,,,,,,1.589294195175171
1,tau_drift,25.0,,9,14.255922872300665,0.03556573648254327,,,,,,,,6.852867126464844
1,tau_drift,25.0,,6,11.844553746793403,0.03619026480773866,,,,,,,,1.8663222789764404
1,tau_drift,25.0,,7,15.195762176466253,0.03284456909874005,,,,,,,,7.1837217807769775
1,tau_drift,40.0,,2,10.220837337813865,0.0748018033004726,,,,,,,,2.6052870750427246
1,tau_drift,40.0,,3,12.004017183008402,0.07242722097163874,,,,,,,,6.162128686904907
1,edge_prune,15.0,,0,12.21349919844797,0.019995812677043402,,,,,,,,3.4721662998199463
1,edge_prune,15.0,,1,12.52168248523421,0.01989315567554589,,,,,,,,4.916259765625
1,tau_drift,40.0,,8,6.480302366601663,0.06870547012980151,,,,,,,,3.174136161804199
1,tau_drift,40.0,,9,11.712141599542338,0.07297362310977425,,,,,,,,5.825105667114258
1,edge_prune,15.0,,2,12.226301511065149,0.02020387474021144,,,,,,,,5.386338233947754
1,edge_prune,15.0,,3,11.338382394476785,0.01953154974166673,,,,,,,,3.3867380619049072
1,tau_drift,40.0,,6,12.40846383452828,0.07554924905960372,,,,,,,,3.6457574367523193
1,tau_drift,40.0,,7,12.03227596451215,0.07037518809306215,,,,,,,,5.747920036315918
1,edge_prune,15.0,,4,11.094443985216818,0.019227603317513952,,,,,,,,6.366954326629639
1,edge_prune,15.0,,5,13.103459214198695,0.018050867279829245,,,,,,,,2.3924739360809326
1,edge_prune,15.0,,8,11.86460094821055,0.01860074481409511,,,,,,,,5.467576026916504
1,edge_prune,15.0,,9,11.886061323693244,0.020114918091457063,,,,,,,,2.109074354171753
1,edge_prune,25.0,,0,17.74894933141918,0.03383464188802004,,,,,,,,5.401453971862793
1,edge_prune,25.0,,1,16.936714926878302,0.03378944242999434,,,,,,,,2.009503126144409
1,edge_prune,15.0,,6,12.88296048101267,0.020549756373635025,,,,,,,,6.082276105880737
1,edge_prune,15.0,,7,13.745106804754753,0.01849170333510973,,,,,,,,2.278862953186035
1,edge_prune,25.0,,4,17.322051917698527,0.03302520034659158,,,,,,,,4.750852584838867
1,edge_prune,25.0,,5,18.014107486561254,0.03186973396182965,,,,,,,,2.386713743209839
1,edge_prune,25.0,,2,17.93882580296709,0.03431751078038881,,,,,,,,5.617803573608398
1,edge_prune,25.0,,3,17.086406942606903,0.033746242435791884,,,,,,,,2.49660325050354
1,edge_prune,25.0,,6,18.07516463647533,0.03565050262022255,,,,,,,,2.4940950870513916
1,edge_prune,25.0,,7,11.234551239365231,0.03201138410742399,,,,,,,,2.4844932556152344
1,edge_prune,40.0,,4,6.455022414410668,0.06468048017644523,,,,,,,,1.9243478775024414
1,edge_prune,40.0,,5,7.949442200219698,0.06337252893489342,,,,,,,,2.3087143898010254
1,edge_prune,25.0,,8,17.055889545394304,0.03218975334974151,,,,,,,,2.0134875774383545
1,edge_prune,25.0,,9,13.92444393023378,0.0339208848388049,,,,,,,,2.8974761962890625
1,edge_prune,40.0,,0,8.485056098504277,0.06741447240656322,,,,,,,,2.0755393505096436
1,edge_prune,40.0,,1,7.589645846872553,0.06696415596011415,,,,,,,,2.938908100128174
1,edge_prune,40.0,,2,7.922397936301129,0.06876839099806441,,,,,,,,3.0305702686309814
1,edge_prune,40.0,,3,6.6772276249578715,0.06724805223669902,,,,,,,,1.9665932655334473
1,edge_prune,40.0,,8,8.053893855166704,0.061765114286293964,,,,,,,,2.005159616470337
1,edge_prune,40.0,,9,6.8946446036364435,0.06810269013212705,,,,,,,,2.349501848220825
1,edge_prune,40.0,,6,8.116260670395633,0.07172064395977931,,,,,,,,3.0586202144622803
