task,substrate,readout,margin,seed_idx,n_units,t_total,runtime_s,pre_steady_acc,post_swap_acc,post_swap_late_acc,mean_acc_all,n_flips,first_flip_block,flip_latency_blocks
drift_binary,parallel,passive_flip,0.3,8,256,40000,3.106076240539551,0.915,0.915,0.915,0.872335870958016,1,1059,59
drift_binary,parallel,passive_flip,0.3,9,256,40000,2.8639519214630127,0.92,0.885,0.915,0.8701873068515865,1,1059,59
drift_binary,parallel,passive_flip,0.3,4,256,40000,3.08840012550354,0.885,0.885,0.895,0.8801552724805909,1,1059,59
drift_binary,parallel,passive_flip,0.3,5,256,40000,3.098668098449707,0.895,0.895,0.9,0.8817892766513404,1,1059,59
drift_binary,parallel,passive_flip,0.3,2,256,40000,3.198575496673584,0.88,0.89,0.925,0.8789967588754051,1,1059,59
drift_binary,parallel,passive_flip,0.3,3,256,40000,3.141873598098755,0.87,0.9,0.87,0.8656067686741539,1,1059,59
drift_binary,parallel,passive_flip,0.3,6,256,40000,3.333962917327881,0.88,0.9,0.905,0.8725114946860633,1,1059,59
drift_binary,parallel,passive_flip,0.3,7,256,40000,3.261385440826416,0.9,0.885,0.8825000000000001,0.8712463254692093,1,1059,59
drift_binary,random_graph_k25,rmhl_oracle,,0,256,40000,7.7469868659973145,0.945,0.04,0.06,0.49432062008492256,0,-1,-1
drift_binary,random_graph_k25,rmhl_oracle,,1,256,40000,7.3572447299957275,0.93,0.055,0.075,0.529558679430165,0,-1,-1
drift_binary,random_graph_k25,rmhl_oracle,,2,256,40000,7.795585632324219,0.93,0.0675,0.05,0.5020921584884801,0,-1,-1
drift_binary,random_graph_k25,rmhl_oracle,,3,256,40000,7.295163154602051,0.93,0.055,0.07,0.5225145096856862,0,-1,-1
drift_binary,random_graph_k25,probe_directed,0.2,2,256,40000,7.224981069564819,0.93,0.9325000000000001,0.95,0.895188311851461,1,1099,99
drift_binary,random_graph_k25,probe_directed,0.2,3,256,40000,7.159801006317139,0.93,0.945,0.93,0.8940378382452702,1,1099,99
drift_binary,random_graph_k25,rmhl_oracle,,4,256,40000,7.685607671737671,0.93,0.07,0.075,0.4995722469284691,0,-1,-1
drift_binary,random_graph_k25,rmhl_oracle,,5,256,40000,7.195119619369507,0.93,0.075,0.07,0.49869299766337527,0,-1,-1
drift_binary,random_graph_k25,rmhl_oracle,,6,256,40000,7.6366071701049805,0.93,0.055,0.055,0.4996409637948795,0,-1,-1
drift_binary,random_graph_k25,rmhl_oracle,,7,256,40000,7.527740240097046,0.945,0.07,0.07,0.500190824351147,0,-1,-1
drift_binary,random_graph_k25,probe_directed,0.2,0,256,40000,7.78308367729187,0.945,0.96,0.94,0.8978437727695284,1,1099,99
drift_binary,random_graph_k25,probe_directed,0.2,1,256,40000,7.657756328582764,0.93,0.945,0.925,0.8951022587372176,1,1099,99
drift_binary,random_graph_k25,rmhl_oracle,,8,256,40000,7.881647825241089,0.945,0.055,0.055,0.5225226753096656,0,-1,-1
drift_binary,random_graph_k25,rmhl_oracle,,9,256,40000,7.912103652954102,0.95,0.07,0.055,0.520260671842416,0,-1,-1
drift_binary,random_graph_k25,probe_directed,0.2,6,256,40000,7.5422608852386475,0.93,0.945,0.945,0.8945556644305419,1,1099,99
drift_binary,random_graph_k25,probe_directed,0.2,7,256,40000,6.863548755645752,0.945,0.93,0.93,0.8938878420140198,1,1099,99
drift_binary,random_graph_k25,probe_directed,0.2,4,256,40000,7.328481674194336,0.93,0.93,0.925,0.8940653501168312,1,1099,99
drift_binary,random_graph_k25,probe_directed,0.2,5,256,40000,7.313006162643433,0.93,0.925,0.93,0.8945186050601743,1,1099,99
drift_binary,random_graph_k25,probe_directed,0.2,8,256,40000,7.598588943481445,0.945,0.945,0.945,0.8904548880681389,1,1099,99
drift_binary,random_graph_k25,probe_directed,0.2,9,256,40000,7.172330379486084,0.95,0.93,0.945,0.8921106253611719,1,1099,99
drift_binary,random_graph_k25,passive_flip,0.1,0,256,40000,7.609534978866577,0.945,0.96,0.94,0.9250180899977388,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.1,1,256,40000,7.0250585079193115,0.93,0.945,0.925,0.9214835054395617,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.1,2,256,40000,7.524839401245117,0.93,0.9325000000000001,0.95,0.9215695585538052,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.1,3,256,40000,6.994024276733398,0.93,0.945,0.93,0.9199165850104268,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.1,6,256,40000,7.596945762634277,0.93,0.945,0.945,0.9204846611894173,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.1,7,256,40000,7.013654947280884,0.945,0.93,0.93,0.9193143388357078,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.2,0,256,40000,7.2126784324646,0.945,0.96,0.94,0.9250180899977388,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.2,1,256,40000,7.068022966384888,0.93,0.945,0.925,0.9214835054395617,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.1,8,256,40000,7.553383111953735,0.945,0.945,0.945,0.9187187507851562,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.1,9,256,40000,7.186731815338135,0.95,0.93,0.945,0.9184416220697973,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.1,4,256,40000,7.89080286026001,0.93,0.93,0.925,0.9199943468757066,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.1,5,256,40000,6.990346431732178,0.93,0.925,0.93,0.9210864048641993,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.2,4,256,40000,6.639390707015991,0.93,0.93,0.925,0.9199943468757066,1,1039,39
drift_binary,random_graph_k25,passive_flip,0.2,5,256,40000,4.463857412338257,0.93,0.925,0.93,0.9210864048641993,1,1039,39
