arm,seed,stream_ppl,neg_frac,t_adapt_mean,forgetting_ppl,clip_frac,stream_ppl_unclipped,stream_n_unc_undefined,forget_neg_frac,forget_clip_frac,forgetting_ppl_unclipped,forget_n_unc_undefined,runtime_s
SSM-bare,0,13.247122109003223,0.0037779876659814436,20.0,11.805222717813603,0.0037779876659814436,12.046730591892556,68,0.0008016032064128256,0.0008016032064128256,11.57276770657439,2,3.624206781387329
SSM-bare,1,13.158304212713102,0.00505583643535752,20.0,12.930752008969577,0.00505583643535752,11.58534135807579,91,0.0012024048096192384,0.0012024048096192384,12.50365774560494,3,3.6526968479156494
SSM-bare,2,13.325012051743826,0.0036668703816878714,20.0,11.676388861627128,0.0036668703816878714,12.151850251678654,66,0.002404809619238477,0.002404809619238477,10.942071843915294,6,3.83347749710083
SSM-bare,3,13.686373961010847,0.004333574087449303,20.0,15.58779281005655,0.004333574087449303,12.274527867318833,78,0.0008016032064128256,0.0008016032064128256,15.334712260666066,2,3.7006893157958984
SSM-bare,4,13.325948840118334,0.004222456803155731,20.0,11.779636575726341,0.004222456803155731,11.983479294359986,76,0.0012024048096192384,0.0012024048096192384,11.433928292138884,3,3.660771131515503
SSM-bare,5,12.993307982787794,0.004611367298183232,20.0,11.537320786055052,0.004611367298183232,11.568752498420391,83,0.0004008016032064128,0.0004008016032064128,11.415118132256177,1,3.645068883895874
SSM-bare,6,13.298963081357861,0.004055780876715373,20.0,11.428111152119687,0.004055780876715373,12.009549976284074,73,0.0,0.0,11.428111152119687,0,3.780909299850464
SSM-bare,7,13.40484808368547,0.004555808656036446,20.0,11.984957099383255,0.004555808656036446,11.953665021383516,82,0.0008016032064128256,0.0008016032064128256,11.725161974757802,2,3.769299268722534
SSM-bare,8,13.421079215368081,0.004000222234568587,20.0,11.994435540185671,0.004000222234568587,12.137283600886027,72,0.0008016032064128256,0.0008016032064128256,11.753116696346208,2,3.7427690029144287
SSM-bare,9,13.495218916034048,0.0037224290238346575,20.0,12.405328821942545,0.0037224290238346575,12.290417051796368,67,0.0004008016032064128,0.0004008016032064128,12.290381730440057,1,3.7149417400360107
SSM-REDEM,0,11.951250538480439,0.0002777932107339297,20.0,11.676711065657088,0.0002777932107339297,11.868020484111033,5,0.0008016032064128256,0.0008016032064128256,11.445645783037392,2,8.429574251174927
SSM-REDEM,1,11.764682549086109,0.0006111450636146452,20.0,12.10318390729743,0.0006111450636146452,11.585016785369271,11,0.0,0.0,12.10318390729743,0,8.230862379074097
SSM-REDEM,2,12.207806062422737,0.0005000277793210734,20.0,11.339562653420547,0.0005000277793210734,12.05529679498854,9,0.0012024048096192384,0.0012024048096192384,10.972242747067616,3,8.299905776977539
SSM-REDEM,3,12.468036170867526,0.0006111450636146452,20.0,13.727183160744826,0.0006111450636146452,12.278065026768637,11,0.0004008016032064128,0.0004008016032064128,13.597313211754273,1,8.27961778640747
SSM-REDEM,4,12.005292070679044,0.00022223456858714373,20.0,11.359101519451572,0.00022223456858714373,11.938375917140164,4,0.0,0.0,11.359101519451572,0,8.375553846359253
SSM-REDEM,5,11.677665079541033,0.0003333518528807156,20.0,11.266165592022922,0.0003333518528807156,11.580048622918104,6,0.0,0.0,11.266165592022922,0,8.31869101524353
SSM-REDEM,6,12.05628162744215,0.0005000277793210734,20.0,11.383811698063392,0.0005000277793210734,11.905590928763097,9,0.0004008016032064128,0.0004008016032064128,11.281685564379535,1,8.402599573135376
SSM-REDEM,7,12.180840931433794,0.0005000277793210734,20.0,11.620962171152877,0.0005000277793210734,12.028655226276646,9,0.0,0.0,11.620962171152877,0,8.313759326934814
SSM-REDEM,8,12.112601649148779,0.00022223456858714373,20.0,11.581913400727242,0.00022223456858714373,12.045111190001913,4,0.0,0.0,11.581913400727242,0,8.265260934829712
SSM-REDEM,9,12.2854851194187,0.0002777932107339297,20.0,12.424866519849983,0.0002777932107339297,12.200020917449347,5,0.0016032064128256513,0.0016032064128256513,11.920049831473666,4,8.27567172050476
TF-A1,0,17.397924787367735,nan,nan,13.515024492999544,nan,nan,nan,nan,nan,nan,nan,1.6717753410339355
TF-A1,1,17.425674309762808,nan,nan,13.911379457658432,nan,nan,nan,nan,nan,nan,nan,0.8088600635528564
TF-A1,2,17.105230196837375,nan,nan,13.037202646172663,nan,nan,nan,nan,nan,nan,nan,0.7206919193267822
TF-A1,3,18.477285851505947,nan,nan,16.39401717361779,nan,nan,nan,nan,nan,nan,nan,0.7199966907501221
TF-A1,4,17.007280866464647,nan,nan,13.23844402915623,nan,nan,nan,nan,nan,nan,nan,0.748403787612915
TF-A1,5,17.164132598003196,nan,nan,13.37953334226386,nan,nan,nan,nan,nan,nan,nan,0.7845034599304199
TF-A1,6,16.97928895123417,nan,nan,13.745998042422684,nan,nan,nan,nan,nan,nan,nan,0.7255032062530518
TF-A1,7,16.62970845083311,nan,nan,13.830536917161837,nan,nan,nan,nan,nan,nan,nan,0.7232789993286133
TF-A1,8,17.487240467868137,nan,nan,13.694486935985584,nan,nan,nan,nan,nan,nan,nan,0.7202155590057373
TF-A1,9,17.37709621142204,nan,nan,13.806797349455726,nan,nan,nan,nan,nan,nan,nan,0.7320022583007812
