arm,seed,host_policy,use_topk,readout_map,stream_ppl,clip_frac,neg_frac,floor_frac,forgetting_ppl,forgetting_ppl_med,oracle_ppl,n_params_readout,n_params_gate,n_params_host,pretrain_end_tokens,runtime_s
F-B-softmax-sgd,0,none,0,softmax_sgd,8.752514555332136,0.0,0.0,0.0,8.404154013506803,9.671229516352803,7.34308167466476,4128,0,0,0,33.88247489929199
F-B-softmax-sgd,1,none,0,softmax_sgd,8.47493320102483,0.0,0.0,0.0,8.859163714933507,10.468357618018894,7.151435029097891,4128,0,0,0,35.71440315246582
F-B-softmax-sgd,2,none,0,softmax_sgd,8.592802646699006,0.0,0.0,0.0,8.881384997785005,9.806551992705387,7.184784816597748,4128,0,0,0,38.43169617652893
F-B-softmax-sgd,3,none,0,softmax_sgd,8.76620100525086,0.0,0.0,0.0,8.902327074634005,9.957046800061484,7.360726259904336,4128,0,0,0,37.35564827919006
F-B-softmax-sgd,4,none,0,softmax_sgd,8.576693523192654,0.0,0.0,0.0,8.691387152160836,10.117423191948324,7.253690207592049,4128,0,0,0,38.85308790206909
F-B-softmax-sgd,5,none,0,softmax_sgd,8.618399749088358,0.0,0.0,0.0,8.471259441655686,9.144534442917976,7.184818994989207,4128,0,0,0,27.56376624107361
F-B-softmax-sgd,6,none,0,softmax_sgd,8.735415393989804,0.0,0.0,0.0,9.368754904507735,11.188690593841498,7.29012644628676,4128,0,0,0,44.11938738822937
F-B-softmax-sgd,7,none,0,softmax_sgd,8.604345575245915,0.0,0.0,0.0,8.704965943273482,9.761644297525526,7.181750766099217,4128,0,0,0,40.626176834106445
F-B-softmax-sgd,8,none,0,softmax_sgd,8.694733455281384,0.0,0.0,0.0,9.713668103800766,9.936618284863787,7.25721512365728,4128,0,0,0,38.214478969573975
F-B-softmax-sgd,9,none,0,softmax_sgd,8.66734238227523,0.0,0.0,0.0,8.907933171829704,9.938695401593481,7.261046716262373,4128,0,0,0,39.7516725063324
F-Gate-C-topk-softmax,0,none,1,softmax_sgd,7.027171972921536,0.0,0.0,0.0,8.031876433708527,8.78624132733153,36.011837255278415,8224,16512,0,0,59.275800704956055
F-Gate-C-topk-softmax,1,none,1,softmax_sgd,6.697460716376093,0.0,0.0,0.0,7.873640222844666,8.414678706762203,33.17798827944165,8224,16512,0,0,89.7203414440155
F-Gate-C-topk-softmax,2,none,1,softmax_sgd,7.065744747131393,0.0,0.0,0.0,9.930753405469762,11.201701179690552,29.985457013428665,8224,16512,0,0,85.63682556152344
F-Gate-C-topk-softmax,3,none,1,softmax_sgd,7.070544084507493,0.0,0.0,0.0,7.778197996866552,7.722785750543266,33.97123992512676,8224,16512,0,0,85.82174563407898
F-Gate-C-topk-softmax,4,none,1,softmax_sgd,6.939523544998787,0.0,0.0,0.0,8.906029088930723,10.592534325152759,31.96015973081586,8224,16512,0,0,72.78788948059082
F-Gate-C-topk-softmax,5,none,1,softmax_sgd,7.015801911697075,0.0,0.0,0.0,8.824873637748325,10.09148060860742,31.03637310976595,8224,16512,0,0,65.80005812644958
F-Gate-C-topk-softmax,6,none,1,softmax_sgd,7.425087001684912,0.0,0.0,0.0,9.753984391600044,10.950619542942718,34.62225387348211,8224,16512,0,0,65.6170265674591
F-Gate-C-topk-softmax,7,none,1,softmax_sgd,6.990706099899891,0.0,0.0,0.0,9.788246832282654,10.992916644501229,33.80608279148153,8224,16512,0,0,65.59334087371826
F-Gate-C-topk-softmax,8,none,1,softmax_sgd,7.1183989717830265,0.0,0.0,0.0,11.284658518033734,13.685475313877008,31.25037702865052,8224,16512,0,0,63.19497632980347
F-Gate-C-topk-softmax,9,none,1,softmax_sgd,6.976118862973836,0.0,0.0,0.0,9.833783109758539,11.70087956768831,32.98447537668556,8224,16512,0,0,63.78677248954773
X67-online,0,online,0,softmax_sgd,11.506163293944603,0.0,0.0,0.0003333518528807156,95.65144389918494,146.41304204347492,26.536664803734528,8224,0,24864,0,138.5235230922699
X67-online,1,online,0,softmax_sgd,10.672335403411934,0.0,0.0,5.555864214678593e-05,81.43897214025519,101.780591145824,28.841716431877835,8224,0,24864,0,157.8282814025879
X67-online,2,online,0,softmax_sgd,9.845455349126949,0.0,0.0,0.00022223456858714373,79.52664205866935,117.02564824674914,26.080776158948616,8224,0,24864,0,134.53059434890747
X67-online,3,online,0,softmax_sgd,10.072888589652493,0.0,0.0,0.0,139.0566936219759,139.96536075770555,26.622892236395526,8224,0,24864,0,182.3682599067688
X67-online,4,online,0,softmax_sgd,9.388528923930824,0.0,0.0,0.0,140.32876177578777,157.43387480216413,26.200124874264464,8224,0,24864,0,159.67460751533508
X67-online,5,online,0,softmax_sgd,10.614278639533989,0.0,0.0,0.0002777932107339297,123.56726116211874,131.04508400179503,25.712581115954713,8224,0,24864,0,139.76258969306946
X67-online,6,online,0,softmax_sgd,10.328153815149653,0.0,0.0,0.0,105.01035112779701,129.47410629376702,29.3714099030012,8224,0,24864,0,129.38945126533508
X67-online,7,online,0,softmax_sgd,9.265510852923038,0.0,0.0,0.0,116.26233861882852,122.45819593797545,26.767879416395488,8224,0,24864,0,154.8963017463684
X67-online,8,online,0,softmax_sgd,10.621076266482826,0.0,0.0,0.0,149.95567975903288,183.1124291553393,25.98996251055066,8224,0,24864,0,184.54234147071838
X67-online,9,online,0,softmax_sgd,9.59389677529858,0.0,0.0,5.555864214678593e-05,121.57669352350824,103.7088790520513,29.324467494494737,8224,0,24864,0,171.54831433296204
X67-pretrained-frozen,0,pretrained_frozen,0,softmax_sgd,10.438002198199438,0.0,0.0,0.0003333518528807156,66.68875551600411,96.41229321596181,25.125689235158628,8224,0,24864,3000,97.39360499382019
X67-pretrained-frozen,1,pretrained_frozen,0,softmax_sgd,9.283729294828158,0.0,0.0,5.555864214678593e-05,50.96391820944008,67.38187607369817,22.969665715929885,8224,0,24864,3000,121.26313328742981
