task,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,seg1_acc,seg2_acc,seg3_acc,seg4_acc,seg3_early,seg4_early,switch_block,detect_cap,detect_delta,n_expansions,n_snaps,seg1_cap,seg2_cap,seg1_delta,seg2_delta
joint_self_evo,random_graph_k25,rls_single,0,256,40000,7.972295045852661,0.8305545086806863,1.0,0.8,0.9,0.735,0.8,0.695,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,1,256,40000,6.910653591156006,0.8424612446923445,1.0,0.9,0.9,0.7,0.8,0.665,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,2,256,40000,7.759344816207886,0.841958744755157,0.92,0.865,0.9,0.74,0.9,0.6,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,3,256,40000,7.112443447113037,0.8319853772518279,0.98,0.8,0.9,0.7625,0.83,0.65,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,4,256,40000,8.10990834236145,0.8561794929775635,0.9,0.9,0.9,0.8,0.84,0.735,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,5,256,40000,6.945185899734497,0.8425642571794679,1.0,0.875,0.9,0.8,0.9,0.61,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,8,256,40000,8.39527678489685,0.8470365066204365,1.0,0.8,0.9,0.8,0.9,0.605,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,9,256,40000,6.886687517166138,0.8403482324564708,1.0,0.8,0.9,0.8,0.8,0.7,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,6,256,40000,8.329862594604492,0.8500012562498428,0.965,0.9,0.9,0.8,0.84,0.7,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_single,7,256,40000,7.091277360916138,0.8369601266299841,0.92,0.8,0.9,0.72,0.8,0.685,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_quad_start,0,256,40000,10.095657110214233,0.833389864576267,1.0,0.805,0.9,0.71,0.8,0.7,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_quad_start,1,256,40000,7.892660617828369,0.8397452325318461,1.0,0.895,0.9,0.7,0.8,0.6,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_quad_start,4,256,40000,10.562543153762817,0.8435164945604382,0.915,0.9,0.9,0.7,0.8,0.6,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_quad_start,5,256,40000,7.830712556838989,0.8383143639607045,1.0,0.845,0.9,0.7,0.8,0.68,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_quad_start,2,256,40000,10.657796621322632,0.8320092459988443,0.9,0.9,0.9,0.73,0.8,0.675,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,rls_quad_start,3,256,40000,8.158435583114624,0.8201527599809051,0.9,0.8,0.87,0.72,0.8,0.685,-1,nan,nan,0,0,nan,nan,nan,nan
joint_self_evo,random_graph_k25,pop_mem,0,256,40000,6.3539650440216064,0.8788208838973894,1.0,0.83,0.9,0.9,0.9,0.895,-1,nan,nan,0,66,nan,nan,nan,nan
