noise_std,seed_idx,r0_nmse,r1_nmse,r2_nmse,r3_nmse,r1_kappa,r2_kappa,r3_kappa,r0_mc,r1_mc,r2_mc,r3_mc,runtime_s
0.0,0,0.07351291035196003,0.0037106506810837313,0.002923397989563158,0.11154891649717144,26.306881942922193,27.715857548124017,28.92764597782739,10.015411149960917,7.250966449597023,8.14503499899866,9.174802212911834,506.17093324661255
0.0,2,0.06474661349832518,0.0041641880906938674,0.004169154037611925,0.11144028487731653,26.22425063284437,27.73527134508839,29.03001757599878,2.0036963021985708,7.0505244458689385,7.895833224752376,8.458173624099802,471.3365240097046
0.0,3,0.060565989890039515,0.0038661696287053612,0.0038497622565592336,0.10886136049970392,26.26065523346164,27.242958931130577,28.141305990979,11.014032449545763,7.00641848698033,7.304045289463064,8.534165391305875,465.9149081707001
0.0,1,0.059744923413084856,0.004253408454675626,0.0038941169104113778,0.11009466841699177,26.098196979969593,27.684820023389165,29.09503713765858,11.279011518192528,7.227614091103801,8.135410183131956,9.08509322900965,472.7982089519501
0.0,5,0.05952789581786015,0.0030469873059502084,0.003960375671869748,0.1075528850977571,25.893811617753187,27.371475623137794,28.797587292348922,11.338746487297865,7.13908056389285,8.080496579087972,7.924613320192639,448.046040058136
0.0,4,0.07424652317041457,0.004175632602707908,0.0020554791741117335,0.11215774807254864,26.402267470624743,27.304061173389645,27.915184371140676,11.385030386367657,6.991243795570273,7.850386380262703,8.502961456313143,450.628130197525
0.0,6,0.06414775764884942,0.005076234862293014,0.002703738707614525,0.10401299003659902,26.053442749983947,27.141069618087702,28.250170250282594,11.731134407901376,7.486812218403115,3.442960538435354,8.151799101584022,428.01265501976013
0.0,8,0.0699687248537732,0.0045385681992408155,0.002810225603514901,0.09862929695286855,26.193244489202595,27.38332678325167,28.271140977563167,10.841818126655863,7.271240749395274,7.956450341374053,8.198500559743197,417.37660551071167
0.01,0,0.0745212010063129,0.005171738179834854,0.0026412069100719858,0.11162573778229988,26.530770323343756,27.97772135509527,29.120963263976755,10.015411149960917,7.375610177008234,8.310623406222549,9.362449591725776,406.9909644126892
0.0,9,0.05490572387548221,0.004188127921392258,0.002659989704267586,0.10050531964587836,26.051123611423897,27.2142736252182,28.29924135511101,11.276506299467771,7.556946542814509,8.421407448736131,8.1227351294054,417.3427896499634
0.01,1,0.059696241428243584,0.0041221994648284735,0.003569736379742686,0.11013481099582402,26.009360640956565,27.565191942769683,28.98966184774239,11.279011518192528,7.172380278945509,8.054602360840205,9.020166020916493,402.36810326576233
0.01,2,0.06483539755859126,0.004253493659364009,0.004346943667267074,0.11221744058587292,26.326594442139893,27.82980293099873,29.15114690797677,2.0036963021985708,7.081242250351844,7.570126790445028,8.479463924116002,391.3074312210083
0.01,3,0.06063485163830635,0.0036957934303356037,0.003994452846930636,0.10884804894401062,26.254772497006304,27.260296469974097,28.091669417263,11.014032449545763,7.0029916146878515,7.311000792476603,8.51011845208846,390.25410771369934
0.0,7,0.07529521283112779,0.004226401457741688,0.002984154598595922,0.09795168161555604,26.048002872489615,27.237491650624627,28.339878077843096,11.011729164930104,6.7135132328398495,7.911824766651584,8.596644810994112,423.88191390037537
0.01,4,0.07436584060642312,0.004444065190965113,0.0023822733645455837,0.11246710947845266,26.509008747281513,27.51864650735237,28.204988838115824,11.385030386367657,7.043425577201825,7.937509804704925,8.640830822575387,371.9283878803253
0.01,5,0.05949207016158399,0.0031453307202360943,0.00407284910424757,0.10752691281848041,25.92274117339657,27.388713654399965,28.802009411018016,11.338746487297865,7.153966531277361,8.090459447493165,7.94899836948587,361.5763235092163
0.01,6,0.06350663103856694,0.004782657241914803,0.0026731443818780974,0.104028868615607,26.08338510229795,27.12409693879169,28.296620523287334,11.731134407901376,7.44617846542763,3.4100266211156383,8.158805707048748,36.28750228881836
0.01,7,0.07493930667112383,0.004338465096239361,0.0027823408849492978,0.09841421203959193,26.16584548739221,27.19192470572984,28.250203556446678,11.011729164930104,7.4125603385162515,7.882474840438176,8.541800883936588,35.572354555130005
0.01,9,0.05566408000768294,0.004018350846734775,0.0025226580977152227,0.10057684454677487,26.035753965479337,27.179194173374377,28.324634815967823,11.276506299467771,7.546437674677994,8.399787103334072,8.133362260532797,36.40381574630737
0.03,3,0.06097698653792519,0.0036444902158695087,0.004247132529310355,0.10900478138948144,26.271322342116207,27.25916729365493,27.977187139556694,11.014032449545763,7.011599027638444,7.310562764626094,8.451923756466359,35.644989252090454
0.01,8,0.06892827417053687,0.004450142361953395,0.00266163841072269,0.09907674211448636,26.242915543238524,27.41957689407341,28.42609108463861,10.841818126655863,7.291713256198194,7.975711201961712,7.79541811941755,36.99113154411316
0.03,0,0.0762960461431438,0.0057887534458957056,0.0027406699685090076,0.11160777239927,26.495963279723288,28.02988821405891,29.227409197969493,10.015411149960917,7.355928111060603,8.17963440010108,9.457870099462431,36.726036071777344
0.03,1,0.05999060552944414,0.004035812526507815,0.0034091149844615513,0.1102746362262265,25.939615364729,27.446189670419557,28.839430875136294,11.279011518192528,7.129923099458434,7.976526418798714,8.931706470214968,37.360634565353394
0.03,2,0.06481874503913411,0.0042136981295302954,0.0045112392892250035,0.11344738135597321,26.52515889485175,28.00758703777854,29.362240479262994,2.0036963021985708,7.412161094509858,8.224419233019029,8.901182679532194,36.795695304870605
0.03,5,0.05940550653635515,0.003280434301473007,0.004734653168709802,0.10722166691910635,26.02282092187594,27.525611563271106,28.906014320397116,11.338746487297865,7.206151220576055,8.200995520153832,8.526216668606677,36.670305013656616
0.03,6,0.062424980549131884,0.004123257323083923,0.002922152192789326,0.11739944384917285,25.90364647022342,26.806781067321435,28.214423676023785,11.731134407901376,7.413408919601565,3.6804353352968064,8.143743215158224,37.1753716468811
0.03,7,0.0740571518979843,0.004322774123870218,0.002303720492226304,0.1007926782946038,26.27215462311592,26.927503320991157,27.851165096404134,11.011729164930104,7.4681187070315,7.723743826757293,8.3133992256173,37.134201526641846
0.05,0,0.07789208999108028,0.006450104148194645,0.0030875766454824386,0.11152853038483071,26.428507319016372,28.01239819270913,29.28077927228952,10.015411149960917,7.318390846795878,8.17241175077395,9.47774705787569,36.20399737358093
0.03,9,0.057303145185512855,0.0036713757473434846,0.002639188460760615,0.10125281714677052,25.990299633070794,27.297286728093276,28.49830253590784,11.276506299467771,7.514818858983867,8.486999856517773,8.226106168827496,37.14187717437744
0.03,4,0.0746738882928569,0.004765020875536896,0.0036293309635361975,0.11210615011927387,26.66361096563163,27.885908750477906,28.57229424916859,11.385030386367657,7.122493763732709,8.001954193301607,8.847663610718195,37.68423414230347
0.03,8,0.06675219028653506,0.004374903421605845,0.0027505204827196436,0.10021708185166049,26.40202641948818,27.5575758121796,28.7686222970363,10.841818126655863,6.960468294441447,8.204418713521484,7.90320699000781,38.11724495887756
0.05,1,0.06032194072262808,0.00424106559323904,0.0033451490095835726,0.11058014214269621,25.86748117943465,27.281963766123642,28.687942024066803,11.279011518192528,7.088968613644658,7.88453961069472,8.846839749045397,37.34839868545532
0.05,2,0.06489401471295136,0.0042196560230533696,0.004891091729705538,0.1148373355694369,26.711958051588,28.201793923319464,29.588156704959495,2.0036963021985708,7.492955096021398,8.251644197017745,9.007885277140133,40.63658618927002
0.05,3,0.06132059477675754,0.0035865094684347605,0.004369148163472358,0.10930816305070018,26.255200715295647,27.22660558550053,27.826453764837847,11.014032449545763,7.003409850989199,7.296715968935374,8.050791012963677,39.61899995803833
0.05,4,0.07509720278066477,0.005247956589997673,0.004631734276219162,0.1119622165563458,26.792943154471217,28.164419518164294,28.907128874348555,11.385030386367657,7.193487723566908,8.159310974461274,9.026508967934841,40.840306758880615
0.05,5,0.05935585243398779,0.0034220618528795887,0.005193031330690312,0.10757320668569194,26.00145494853984,27.45221551909032,28.82584558820259,11.338746487297865,7.19355577711343,8.162227765625353,8.435945725736401,40.53703331947327
