substrate,arm,tau_slow,seed_idx,n_units,t_total,runtime_s,overall_acc,steady_acc,adapt_time
random_graph_k25,slow,200.0,2,256,9000,33.263672828674316,0.9927777777777778,1.0,9.0
random_graph_k25,slow,200.0,3,256,9000,32.74436020851135,0.9954444444444445,1.0,4.0
random_graph_k25,slow,200.0,8,256,9000,32.09960055351257,0.9935555555555555,1.0,7.6
random_graph_k25,slow,200.0,9,256,9000,30.25245213508606,0.995,1.0,4.8
random_graph_k25,slow,200.0,6,256,9000,31.886064529418945,0.9947777777777778,1.0,5.4
random_graph_k25,slow,200.0,7,256,9000,31.055919647216797,0.9943333333333333,1.0,6.2
random_graph_k25,slow,200.0,4,256,9000,32.75362014770508,0.9948888888888889,1.0,5.0
random_graph_k25,slow,200.0,5,256,9000,32.05631875991821,0.9936666666666667,1.0,20.0
random_graph_k25,slow,1000.0,0,256,9000,32.224730253219604,0.9933333333333333,1.0,8.2
random_graph_k25,slow,1000.0,1,256,9000,29.082387447357178,0.994,1.0,6.8
random_graph_k25,slow,1000.0,2,256,9000,18.295066118240356,0.9911111111111112,1.0,12.2
random_graph_k25,slow,1000.0,3,256,9000,15.38877558708191,0.9945555555555555,1.0,5.6
random_graph_k25,slow,1000.0,6,256,9000,15.832634210586548,0.9925555555555555,1.0,9.2
random_graph_k25,slow,1000.0,7,256,9000,15.234182834625244,0.9924444444444445,1.0,9.8
random_graph_k25,slow,1000.0,4,256,9000,17.060860633850098,0.9926666666666667,1.0,9.0
random_graph_k25,slow,1000.0,5,256,9000,16.185237884521484,0.9938888888888889,1.0,6.8
random_graph_k25,slow,1000.0,8,256,9000,16.859230279922485,0.9921111111111112,1.0,10.4
random_graph_k25,slow,1000.0,9,256,9000,15.64274787902832,0.9936666666666667,1.0,7.2
random_graph_k25,dual,200.0,2,256,9000,236.99396276474,0.9947777777777778,1.0,13.0
random_graph_k25,dual,200.0,3,256,9000,209.92105650901794,0.995,1.0,5.6
random_graph_k25,dual,200.0,0,256,9000,236.42195796966553,0.9953333333333333,1.0,4.4
random_graph_k25,dual,200.0,1,256,9000,211.24059104919434,0.9947777777777778,1.0,7.2
random_graph_k25,dual,200.0,4,256,9000,237.4503936767578,0.9944444444444445,1.0,6.6
random_graph_k25,dual,200.0,5,256,9000,204.51513481140137,0.9931111111111111,1.0,32.8
random_graph_k25,dual,200.0,6,256,9000,240.37545204162598,0.9946666666666667,1.0,18.4
random_graph_k25,dual,200.0,7,256,9000,201.18583583831787,0.9941111111111111,1.0,9.4
random_graph_k25,dual,1000.0,0,256,9000,245.49477195739746,0.9947777777777778,1.0,12.4
random_graph_k25,dual,1000.0,1,256,9000,183.4853618144989,0.995,1.0,6.8
random_graph_k25,dual,200.0,8,256,9000,249.44212913513184,0.9952222222222222,1.0,7.4
random_graph_k25,dual,200.0,9,256,9000,182.7719211578369,0.9941111111111111,1.0,17.2
random_graph_k25,dual,1000.0,2,256,9000,156.61029839515686,0.994,1.0,18.4
random_graph_k25,dual,1000.0,3,256,9000,54.720717430114746,0.9942222222222222,1.0,8.6
random_graph_k25,dual,1000.0,8,256,9000,152.7998504638672,0.9933333333333333,1.0,11.2
random_graph_k25,dual,1000.0,9,256,9000,54.747718334198,0.9938888888888889,1.0,13.4
random_graph_k25,dual,1000.0,6,256,9000,153.37145805358887,0.9951111111111111,1.0,8.8
random_graph_k25,dual,1000.0,7,256,9000,55.0857253074646,0.9935555555555555,1.0,14.0
random_graph_k25,dual,1000.0,4,256,9000,154.56556797027588,0.9932222222222222,1.0,10.4
random_graph_k25,dual,1000.0,5,256,9000,54.65359950065613,0.9945555555555555,1.0,12.8
