task,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,n_expansions,n_snaps,best_delta_l0,best_delta_l1,exp1_block,exp1_delta,exp1_cq,exp2_block,exp2_delta,exp2_cq,w_norm_end,max_abs_pred,seg1_acc,seg2_acc,seg3_acc,seg4_acc,seg5_acc,seg6_acc
multi_level_expansion,parallel,rls_auto_multi,9,256,60000,159.80746483802795,0.6185194227521279,2,0,0.9083333333333333,0.9833333333333333,879,0.25,0.7583333333333333,2219,0.18333333333333324,0.7333333333333333,16.401882904083315,19.15882853933072,0.795,0.555,0.49,0.815,0.565,0.515
multi_level_expansion,parallel,pop_auto_multi,0,256,60000,229.6166970729828,0.7201016705406265,2,45,0.925,0.95,779,0.1333333333333333,0.6916666666666667,2279,0.11666666666666659,0.7583333333333333,8.352698765780012,2.457716373986057,0.925,0.61,0.6,0.9,0.65,0.6
multi_level_expansion,parallel,pop_auto_multi,1,256,60000,187.6650414466858,0.7081921706994867,1,44,0.9333333333333333,0.95,759,0.1333333333333333,0.6916666666666667,-1,nan,nan,101.21939341420347,2.1780165225542243,0.99,0.6,0.535,0.99,0.7,0.54
multi_level_expansion,parallel,pop_auto_multi,8,256,60000,259.3414680957794,0.7055325161786593,1,43,0.9416666666666667,0.9583333333333334,739,0.17500000000000004,0.8,-1,nan,nan,198.8385855580815,2.022384447169202,0.91,0.6,0.505,1.0,0.7,0.58
multi_level_expansion,parallel,pop_auto_multi,9,256,60000,109.8276777267456,0.7068192839584623,2,43,0.9083333333333333,0.9833333333333333,879,0.25,0.7583333333333333,2219,0.18333333333333324,0.7333333333333333,16.401882904083315,7.421469932619713,0.9,0.6,0.575,1.0,0.645,0.575
multi_level_expansion,parallel,rls_quad_start,4,256,60000,78.95353102684021,0.6923889232621528,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,2.6752920599318486,0.9,0.6,0.5,0.9,0.665,0.515
multi_level_expansion,parallel,rls_quad_start,5,256,60000,10.053401470184326,0.6901356164612632,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,2.2782168066325204,0.9,0.6,0.5,0.9,0.68,0.52
multi_level_expansion,parallel,rls_quad_start,6,256,60000,72.85703945159912,0.6680114044915637,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,2.158975585655012,0.9,0.625,0.5,0.9,0.62,0.495
multi_level_expansion,parallel,rls_quad_start,7,256,60000,9.957756519317627,0.672609153693082,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,2.879131474780946,0.9,0.54,0.52,0.9,0.63,0.5
multi_level_expansion,parallel,rls_quad_start,8,256,60000,10.067380905151367,0.6829066403571846,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,2.5336244991008727,0.9,0.65,0.5,0.9,0.675,0.5
multi_level_expansion,parallel,rls_quad_start,9,256,60000,7.5490992069244385,0.6799493319509707,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,2.7203009936608065,0.9,0.7,0.5,0.9,0.63,0.5
multi_level_expansion,parallel,rls_cubic_start,2,256,60000,18.018447399139404,0.6583761141118042,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,4.261570617001622,0.9,0.6,0.5,0.9,0.6,0.5
multi_level_expansion,parallel,rls_cubic_start,3,256,60000,13.352831363677979,0.6539631444290229,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,4.611735524006628,0.9,0.515,0.575,0.9,0.6,0.5
multi_level_expansion,parallel,rls_cubic_start,0,256,60000,19.432547330856323,0.6859885286199228,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,3.405382815488543,0.9,0.64,0.505,0.9,0.6,0.54
multi_level_expansion,parallel,rls_cubic_start,1,256,60000,13.840375423431396,0.6792277721108343,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,4.046345498614725,0.9,0.6,0.55,0.9,0.675,0.5
multi_level_expansion,parallel,rls_cubic_start,4,256,60000,18.717453479766846,0.6803331047975787,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,6.697691525843905,0.9,0.605,0.585,0.9,0.6,0.5
multi_level_expansion,parallel,rls_cubic_start,5,256,60000,14.066784858703613,0.6867577465259779,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,6.038946516099083,0.9,0.6,0.545,0.9,0.675,0.505
multi_level_expansion,parallel,rls_cubic_start,6,256,60000,18.087754487991333,0.6675749569405193,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,3.684811745642338,0.9,0.6,0.515,0.9,0.6,0.5
multi_level_expansion,parallel,rls_cubic_start,7,256,60000,13.75752067565918,0.6668567415260613,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,6.105944682245352,0.9,0.5,0.585,0.9,0.625,0.515
multi_level_expansion,parallel,rls_cubic_start,8,256,60000,16.133797645568848,0.6912150298489992,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,12.132327415012014,0.9,0.69,0.6,0.9,0.605,0.5
multi_level_expansion,parallel,rls_cubic_start,9,256,60000,12.014824867248535,0.6718207053393757,0,0,nan,nan,-1,nan,nan,-1,nan,nan,nan,6.416983940435095,0.9,0.625,0.595,0.9,0.6,0.435
