arm,seed_idx,overall_acc,mean_seg_acc,min_seg_acc,kappa_settled,n_edges,runtime_s
normal,0,0.9961176470588236,1.0,1.0,25.4191423050134,1062,79.8137948513031
normal,1,0.9965882352941177,1.0,1.0,25.434975671065136,1062,80.00255417823792
normal,2,0.9967058823529412,1.0,1.0,25.716057986403456,1062,80.72893929481506
leak_rls,0,0.9963529411764706,1.0,1.0,25.4191423050134,1062,75.83601546287537
leak_rls,1,0.9967058823529412,1.0,1.0,25.434975671065136,1062,73.61618971824646
leak_rls,2,0.9967058823529412,1.0,1.0,25.716057986403456,1062,73.55465769767761
leak_metadata,0,0.9961176470588236,1.0,1.0,25.4191423050134,1062,83.3281762599945
leak_metadata,1,0.9965882352941177,1.0,1.0,25.434975671065136,1062,76.76340889930725
leak_metadata,2,0.9967058823529412,1.0,1.0,25.716057986403456,1062,73.8150155544281
leak_ftle,0,0.9961176470588236,1.0,1.0,25.349437825213638,1062,80.90356254577637
leak_ftle,1,0.9965882352941177,1.0,1.0,25.436369530562857,1062,85.0513391494751
leak_ftle,2,0.9967058823529412,1.0,1.0,25.750354375790756,1062,78.96446657180786
leak_plasticity,0,0.9961176470588236,1.0,1.0,25.4191423050134,1062,74.47960638999939
leak_plasticity,1,0.9965882352941177,1.0,1.0,25.434975671065136,1062,74.39973211288452
leak_plasticity,2,0.9967058823529412,1.0,1.0,25.716057986403456,1062,72.91455173492432
no_plasticity,0,0.9958823529411764,1.0,1.0,25.730217210003538,1062,70.14536833763123
no_plasticity,1,0.9958823529411764,1.0,1.0,25.54454316755268,1062,69.27302169799805
no_plasticity,2,0.9958823529411764,1.0,1.0,25.781509835822074,1062,68.830970287323
causal_split,0,0.9961176470588236,1.0,1.0,25.460220157394883,1062,73.89672517776489
causal_split,1,0.9965882352941177,1.0,1.0,25.240100370865772,1062,79.57286071777344
causal_split,2,0.9965882352941177,1.0,1.0,25.61201574228825,1062,76.34719634056091
