topology,alpha_max,kappa,seed_idx,ftle_per_pulse,mc_total,mc_total_test,mc_k0_test,inter_rms,alpha_clip_frac,g_abs_mean,runtime_s
ring_bidir,0.1,15.0,0,-0.016222648884888922,22.953448135544704,9.35183344749377,0.9885664171960282,0.02770608060082953,0.19480794270833335,0.05591121057198903,1.888045072555542
ring_bidir,0.1,15.0,1,-0.011905684364804225,23.428116574771654,10.005762203040861,0.9830472717871521,0.023518294632011917,0.21348958333333334,0.05716325508680818,1.9873192310333252
ring_bidir,0.1,15.0,2,-0.018843088580110533,22.550266765235236,8.74764445519008,0.9866881214803412,0.02392363620323284,0.23738606770833334,0.0593210387502847,1.8816614151000977
ring_bidir,0.1,20.0,6,-0.100566168897382,26.125904887714093,12.611075194480193,0.9912525190364854,0.029208135708709986,0.4406640625,0.08274777447158846,0.537100076675415
ring_bidir,0.1,15.0,3,-0.019959232448587442,22.553608075304666,6.533424487505793,0.988245795402471,0.025727593803748394,0.20742513020833334,0.05697852884487089,1.985478162765503
ring_bidir,0.1,20.0,7,-0.0841331382131864,26.55192122434236,12.590240594833247,0.9905745842920217,0.031185229015567344,0.4590592447916667,0.08697689682024123,0.6563453674316406
ring_bidir,0.1,20.0,8,-0.05269680443257096,27.252338346871042,12.083482081938973,0.9906091252833721,0.032648891429628325,0.4347330729166667,0.0815515426505316,0.6707775592803955
ring_bidir,0.1,15.0,5,-0.016913253017154087,24.331433022236144,10.643841781466236,0.984981868354798,0.02641318178729735,0.216630859375,0.05739179856881213,2.305861711502075
ring_bidir,0.1,15.0,7,-0.025744235025363753,25.13807641040646,5.456614485228308,0.9832112884814461,0.026015894727655725,0.21468424479166667,0.056967900318739446,2.488327980041504
ring_bidir,0.1,15.0,4,-0.007145225873210652,22.81472613170135,8.802229563522221,0.9829007762422101,0.024414082377481786,0.22480794270833335,0.05835036211094828,2.560166358947754
ring_bidir,0.1,20.0,9,-0.045106092572854695,25.45937835289604,11.342899582277147,0.9872005896453835,0.028901904526459073,0.4442936197916667,0.0834437893290019,0.8429815769195557
ring_bidir,0.1,21.0,0,-0.10332043510513049,26.669169970531026,11.71610750909773,0.9920160713911741,0.029988197051039167,0.4577018229166667,0.0880873935186169,0.8758759498596191
ring_bidir,0.1,15.0,6,-0.010599490349305237,24.013746917157285,9.122057314925097,0.9777938456482226,0.026043210195030142,0.22666015625000002,0.0579127409606699,2.730017900466919
ring_bidir,0.1,21.0,1,-0.07869720022929934,27.429783235339755,11.765909557868016,0.9819646068493887,0.02723859384382447,0.45262044270833335,0.08644755198991518,1.1012039184570312
ring_bidir,0.1,21.0,2,-0.07483786930493827,27.85324188131691,11.728973714459975,0.9900300456660598,0.032350364216694176,0.445537109375,0.08694035840049376,1.0403883457183838
ring_bidir,0.1,21.0,3,-0.06221409910142878,27.384357075250684,13.834921535173022,0.9917351832961937,0.03053980470917826,0.43665039062500005,0.08313378906033791,0.843883752822876
ring_bidir,0.1,15.0,8,-0.018618358831899048,24.156441260889135,10.899579427060392,0.9878113230070342,0.023253141746305796,0.222978515625,0.05758465925430944,2.907663345336914
ring_bidir,0.1,20.0,0,-0.056484027412139086,25.721591730412097,12.855336779944505,0.9917978249406708,0.029496118435644383,0.4448958333333334,0.08297065544083868,3.1599063873291016
ring_bidir,0.1,21.0,5,-0.07271251812961681,27.536121505491074,12.855956981900476,0.9906983447052851,0.02953370557511438,0.4511263020833334,0.0869390354305432,1.1885666847229004
ring_bidir,0.1,15.0,9,-0.00968282067787212,23.809018391945983,7.945327675653801,0.9914146166886105,0.024122973523459167,0.19777669270833334,0.055541665678150186,3.292994737625122
