arm,leak_frac,leak_k,leak_frac_plasticity,seed_idx,r0_nmse,r1_nmse,r2_nmse,r3_nmse,r1_kappa,r2_kappa,r3_kappa,r0_mc,r1_mc,r2_mc,r3_mc,n_edges,runtime_s
leak_ftle,0.1,50,0.1,3,0.06641231626130811,0.034906826554939346,0.023809070875353347,0.08218416052518213,25.62813564852435,26.32272136299333,27.177007535888833,11.014032449545763,5.842282396839186,6.149040232435269,6.680271254267955,1062,572.8751811981201
leak_ftle,0.01,50,0.1,1,0.07271963936947325,0.020947113004987222,0.029247039720047278,0.06240156154183637,25.476409998301296,26.456457373106144,27.437475598896775,11.279011518192528,5.641910673580528,5.827252003402969,6.9736293119612425,1062,724.1318109035492
leak_ftle,0.01,50,0.1,3,0.06638802534779495,0.019260291709125077,0.019326804042942406,0.05990231186813276,25.731443455941424,26.42210699727848,27.183092374772986,11.014032449545763,6.045003848105543,6.568631834694575,6.762995174966565,1062,710.6826746463776
leak_ftle,0.01,50,0.1,0,0.08933008239228382,0.01692640726998061,0.03156237862914673,0.057194997758566166,25.484801263920353,26.228097607603942,27.138542285897508,10.015411149960917,5.6155989812945455,6.006647027134371,7.059296978678194,1062,726.1045470237732
leak_ftle,0.01,50,0.1,4,0.09261491934856934,0.027358876940781113,0.028906021565207003,0.06348593441488826,25.675720051243474,26.34913091513129,26.965983183300967,11.385030386367657,5.376502934378862,5.826800307299728,6.3912441697547715,1062,695.1759917736053
leak_ftle,0.01,50,0.1,5,0.08142728413275473,0.038267771270520154,0.02053532917167443,0.05316235831083299,25.455609493044342,26.055388930223355,26.881816396477117,11.338746487297865,5.719476177898416,5.2543239171542595,6.375058099228732,1062,690.5586128234863
leak_ftle,0.01,50,0.1,7,0.09020999263881167,0.024100218061294223,0.021309517784698574,0.0813406013175055,25.71778081987507,26.556559003875698,27.42523547986349,11.011729164930104,3.6137991775678766,6.20814211574397,6.026674201756898,1062,679.3447897434235
leak_ftle,0.01,50,0.1,6,0.0933595141931648,0.028333241265687675,0.020737131734480184,0.06972456890745295,25.342354129015526,26.012688502025682,26.915621443844312,11.731134407901376,5.854905061110245,5.67937580639273,6.369461502776185,1062,679.9101800918579
leak_ftle,0.01,50,0.1,2,0.09016616496211612,0.021821051676280012,0.01983504816518883,0.064005701968952,25.808812738654073,26.413942237887486,27.394679839659542,2.0036963021985708,5.988035519655811,6.203911829666875,6.491884136544422,1062,720.2014918327332
leak_ftle,0.1,50,0.1,1,0.07272468723753514,0.01823629861224641,0.02360068131048283,0.06582165727652994,25.413973949047907,26.07579826081482,26.871800479124747,11.279011518192528,5.74911745503434,5.662148731096078,5.968208305875387,1062,617.2163689136505
leak_ftle,0.01,50,0.1,8,0.08919618458263272,0.021078947310499543,0.021866553407151382,0.07271102054021422,25.44257051852272,26.215484443801547,26.90327206898849,10.841818126655863,5.491256153792184,6.010866765914121,6.4272784270002585,1062,641.6436395645142
leak_ftle,0.1,50,0.1,0,0.08965277681057786,0.017548069829423998,0.0246348537010486,0.07644774463828909,25.574175485471706,26.27391668126836,27.22452043971145,10.015411149960917,4.878535927401791,5.623682036413344,6.979763409876907,1062,629.0522847175598
leak_ftle,0.01,50,0.1,9,0.07983579886254263,0.026175606324885334,0.022603378917568348,0.03296040019246328,25.458737428244607,26.070611681097322,26.981662545185756,11.276506299467771,5.530726923687094,5.962747273603013,5.611092436947098,1062,633.1889991760254
leak_ftle,0.1,50,0.1,5,0.08284982481318859,0.03292057959470921,0.016868898695438356,0.04813288031606316,25.24066445431508,26.041909776495217,26.91098457317875,11.338746487297865,5.861220599865677,6.739009785002095,7.121104540728546,1062,601.0069868564606
leak_ftle,0.1,50,0.1,4,0.092627125277615,0.02544764541721769,0.032101750531116975,0.057201221486207585,25.682359207352206,26.43873251965453,27.283702984150004,11.385030386367657,5.7863883807827445,6.149258998670186,6.493246907250961,1062,601.1620717048645
leak_ftle,0.1,50,0.1,2,0.09070581560270377,0.014855033127537312,0.025486860778274358,0.053771850015525334,25.51048074266575,26.173082355034893,26.96421142152114,2.0036963021985708,5.332476941292827,6.212762376202428,6.441773764125074,1062,608.9305078983307
leak_ftle,0.1,50,0.1,8,0.08920229376757027,0.01844356924697186,0.027275668472279063,0.05901149203324465,25.344461135023547,25.95885146425072,26.70880603019442,10.841818126655863,5.405418829844608,3.6499556692005974,6.498743826715849,1062,194.08808016777039
leak_ftle,0.1,200,0.1,3,0.06641231626130811,0.034906826554939346,0.023809070875353347,0.08218416052518213,25.62813564852435,26.32272136299333,27.177007535888833,11.014032449545763,5.842282396839186,6.149040232435269,6.680271254267955,1062,250.3829071521759
leak_ftle,0.1,200,0.1,5,0.08284982481318859,0.03292057959470921,0.016868898695438356,0.04813288031606316,25.24066445431508,26.041909776495217,26.91098457317875,11.338746487297865,5.861220599865677,6.739009785002095,7.121104540728546,1062,250.71557784080505
leak_ftle,0.1,50,0.1,6,0.09248821521936143,0.02804009732248595,0.02188972781240018,0.056730116389999447,25.627895340211005,26.465266426214647,27.098271406759824,11.731134407901376,6.042382579482192,4.287359554055056,6.767589756521206,1062,385.3099045753479
leak_ftle,0.1,200,0.1,9,0.07793331080742802,0.020816061441732564,0.01978240402871909,0.03134419803639831,25.471465229100577,26.040399850938105,26.88385800011147,11.276506299467771,5.353874752244482,5.79685802547301,5.460421164478774,1062,369.3535497188568
leak_ftle,0.1,200,0.1,2,0.09070581560270377,0.014855033127537312,0.025486860778274358,0.053771850015525334,25.51048074266575,26.173082355034893,26.96421142152114,2.0036963021985708,5.332476941292827,6.212762376202428,6.441773764125074,1062,390.80121421813965
leak_ftle,0.1,200,0.1,6,0.09248821521936143,0.02804009732248595,0.02188972781240018,0.056730116389999447,25.627895340211005,26.465266426214647,27.098271406759824,11.731134407901376,6.042382579482192,4.287359554055056,6.767589756521206,1062,390.8242642879486
leak_plasticity,0.01,50,0.1,1,0.09182614115526581,0.020198041521633025,0.026233941795463442,0.04998242733381854,25.40434901812707,26.340271938486985,27.2528271113738,11.279011518192528,3.932920483918645,6.120822204580996,6.53924209334879,1062,403.0919044017792
leak_ftle,0.1,200,0.1,1,0.07272468723753514,0.01823629861224641,0.02360068131048283,0.06582165727652994,25.413973949047907,26.07579826081482,26.871800479124747,11.279011518192528,5.74911745503434,5.662148731096078,5.968208305875387,1062,476.78016924858093
leak_ftle,0.1,50,0.1,7,0.09025155671699481,0.02462613883660686,0.03237586288702003,0.06316228936164915,25.627373169293666,26.42598166603115,27.189791214640348,11.011729164930104,5.426823048671062,5.7749766002473875,5.361664143068607,1062,487.5365242958069
leak_ftle,0.1,200,0.1,0,0.08965277681057786,0.017548069829423998,0.0246348537010486,0.07644774463828909,25.574175485471706,26.27391668126836,27.22452043971145,10.015411149960917,4.878535927401791,5.623682036413344,6.979763409876907,1062,496.5405478477478
leak_ftle,0.1,50,0.1,9,0.07793331080742802,0.020816061441732564,0.01978240402871909,0.03134419803639831,25.471465229100577,26.040399850938105,26.88385800011147,11.276506299467771,5.353874752244482,5.79685802547301,5.460421164478774,1062,496.81642055511475
leak_ftle,0.1,200,0.1,4,0.092627125277615,0.02544764541721769,0.032101750531116975,0.057201221486207585,25.682359207352206,26.43873251965453,27.283702984150004,11.385030386367657,5.7863883807827445,6.149258998670186,6.493246907250961,1062,510.5632255077362
leak_ftle,0.1,200,0.1,8,0.08920229376757027,0.01844356924697186,0.027275668472279063,0.05901149203324465,25.344461135023547,25.95885146425072,26.70880603019442,10.841818126655863,5.405418829844608,3.6499556692005974,6.498743826715849,1062,526.5455596446991
leak_ftle,0.1,200,0.1,7,0.09025155671699481,0.02462613883660686,0.03237586288702003,0.06316228936164915,25.627373169293666,26.42598166603115,27.189791214640348,11.011729164930104,5.426823048671062,5.7749766002473875,5.361664143068607,1062,527.7555000782013
leak_plasticity,0.01,50,0.1,0,0.08992409367547326,0.024479184985925106,0.020946205111425423,0.07939287056509699,25.716658450576176,26.367359258799222,27.00245002069659,10.015411149960917,5.649020988067081,5.765291370793507,6.3945753268911165,1062,553.0331172943115
leak_plasticity,0.01,50,0.1,3,0.06562131364466862,0.02051410520627702,0.040923718248186594,0.0638504323268038,25.638421592531188,26.416011822717227,27.05887376738568,11.014032449545763,5.566608735338077,6.515671447345109,6.633910005374142,1062,637.9367535114288
leak_plasticity,0.01,50,0.1,4,0.09368944448664017,0.016896098340454347,0.028719423601701082,0.07535873882633942,25.523293153459583,26.298786091846765,27.121388280637717,11.385030386367657,5.00094418412542,5.7320987811666155,6.622482357865449,1062,640.9029748439789
leak_plasticity,0.01,50,0.1,2,0.08940500532013795,0.025732156887919876,0.019842948789694236,0.04710193254319599,25.34846829783516,26.29568600665026,27.0085790421711,2.0036963021985708,5.407359511216872,6.197637674243358,6.79364770508879,1062,705.5573651790619
leak_plasticity,0.01,50,0.1,5,0.0827172175627759,0.02220973307456961,0.019632649392149912,0.049455750467715366,25.557941714712847,26.30326786316421,27.053195921617995,11.338746487297865,5.876662341355434,6.879525856847215,5.048364176934526,1062,545.0391008853912
