task,substrate,readout,ratio,swap_every,seed_idx,n_units,t_total,runtime_s,mean_acc_all,n_flips,v_final,recovery,post_mean,success_rate
d2_timescale,random_graph_k25,rmhl_oracle,0.25,12,2,256,40000,4.198969841003418,0.49722984347126953,0,nan,-0.004618917744147327,0.49495682730923696,0.4759036144578313
d2_timescale,random_graph_k25,rmhl_oracle,0.25,12,3,256,40000,3.643650770187378,0.5126288284213965,0,nan,-0.010276288079145853,0.5047085843373493,0.1144578313253012
d2_timescale,random_graph_k25,rmhl_oracle,0.25,12,0,256,40000,4.317750692367554,0.485875480515565,0,nan,-0.005172568322068765,0.48215537148594373,0.43373493975903615
d2_timescale,random_graph_k25,rmhl_oracle,0.25,12,1,256,40000,3.6317062377929688,0.5005023743122032,0,nan,-0.005797452003134486,0.4962073293172691,0.13855421686746988
d2_timescale,random_graph_k25,rmhl_oracle,0.25,12,6,256,40000,4.116631031036377,0.48797015150373096,0,nan,-0.00579393182486043,0.4832996987951808,0.3433734939759036
d2_timescale,random_graph_k25,rmhl_oracle,0.25,12,7,256,40000,3.7373993396759033,0.48996218687972665,0,nan,-0.008383209667940065,0.4840005020080322,0.42168674698795183
d2_timescale,random_graph_k25,rmhl_oracle,0.25,12,4,256,40000,4.347351551055908,0.4780328383708952,0,nan,-0.003135450337937109,0.4761932730923694,0.05421686746987952
d2_timescale,random_graph_k25,rmhl_oracle,0.25,12,5,256,40000,3.6846227645874023,0.4781367302329087,0,nan,-0.008382107699089047,0.47113805220883537,0.3192771084337349
d2_timescale,random_graph_k25,rmhl_oracle,0.25,12,8,256,40000,4.220640182495117,0.4930269339966333,0,nan,-0.011079243804486253,0.48313077309236957,0.3795180722891566
d2_timescale,random_graph_k25,rmhl_oracle,0.25,12,9,256,40000,3.7974295616149902,0.501363407954574,0,nan,-0.006194252620237048,0.49728689759036154,0.463855421686747
d2_timescale,random_graph_k25,rmhl_oracle,0.5,25,0,256,40000,4.326153993606567,0.48938745257656835,0,nan,-0.0037921698201710146,0.49074148003894846,0.4810126582278481
d2_timescale,random_graph_k25,rmhl_oracle,0.5,25,1,256,40000,3.6624865531921387,0.4981406246074219,0,nan,0.009316727720322061,0.5088293573515094,0.22784810126582278
d2_timescale,random_graph_k25,rmhl_oracle,0.5,25,4,256,40000,3.9035024642944336,0.4950748724906409,0,nan,-0.00831522419588064,0.49224464459591044,0.4810126582278481
d2_timescale,random_graph_k25,rmhl_oracle,0.5,25,5,256,40000,3.845501661300659,0.49821562272304715,0,nan,-0.011471166284407416,0.4920447906523856,0.4936708860759494
d2_timescale,random_graph_k25,rmhl_oracle,0.5,25,2,256,40000,3.9274606704711914,0.49704203411974573,0,nan,-0.008236957431735161,0.49435929892891906,0.45569620253164556
d2_timescale,random_graph_k25,rmhl_oracle,0.5,25,3,256,40000,3.8528661727905273,0.510794703650662,0,nan,0.0068763975971041095,0.5193578383641674,0.1518987341772152
d2_timescale,random_graph_k25,rmhl_oracle,0.5,25,6,256,40000,3.9136955738067627,0.48847265144091867,0,nan,0.0021729806519650624,0.49335175267770204,0.189873417721519
d2_timescale,random_graph_k25,rmhl_oracle,0.5,25,7,256,40000,3.773601770401001,0.49461106504861685,0,nan,0.005319776370229737,0.5022796981499512,0.2911392405063291
d2_timescale,random_graph_k25,rmhl_oracle,0.75,37,2,256,40000,3.919586181640625,0.4759071380116078,0,nan,0.03104951588071688,0.5092810327706057,0.2037037037037037
d2_timescale,random_graph_k25,rmhl_oracle,0.75,37,3,256,40000,3.7219390869140625,0.5093374538328183,0,nan,0.0478281330407386,0.5589734359483615,0.42592592592592593
d2_timescale,random_graph_k25,rmhl_oracle,0.75,37,4,256,40000,4.043912649154663,0.49791047963619,0,nan,-0.017395145655487766,0.4893614697120159,0.48148148148148145
d2_timescale,random_graph_k25,rmhl_oracle,0.75,37,5,256,40000,3.6324057579040527,0.5038247782719028,0,nan,0.016658125188922103,0.5163413604766633,0.5
d2_timescale,random_graph_k25,rmhl_oracle,0.75,37,0,256,40000,4.035966396331787,0.4992775307153086,0,nan,0.010621186973693993,0.5056842105263157,0.48148148148148145
d2_timescale,random_graph_k25,rmhl_oracle,0.75,37,1,256,40000,3.8472726345062256,0.5027932715258411,0,nan,0.048480994741857686,0.5464689672293943,0.4444444444444444
d2_timescale,random_graph_k25,rmhl_oracle,0.75,37,6,256,40000,4.028645038604736,0.4856837767895279,0,nan,0.018064384399377718,0.5050461767626614,0.42592592592592593
d2_timescale,random_graph_k25,rmhl_oracle,0.75,37,7,256,40000,3.6309285163879395,0.4959207055099118,0,nan,0.025132187342843972,0.5227522343594837,0.2222222222222222
d2_timescale,random_graph_k25,rmhl_oracle,0.75,37,8,256,40000,3.957371950149536,0.49122107484736566,0,nan,0.06610864316721057,0.5606611221449853,0.3148148148148148
d2_timescale,random_graph_k25,rmhl_oracle,0.75,37,9,256,40000,3.5753095149993896,0.49699693475038315,0,nan,0.02141611621184556,0.5270700099304867,0.46296296296296297
d2_timescale,random_graph_k25,rmhl_oracle,0.5,25,8,256,40000,4.1324145793914795,0.5000358031205246,0,nan,0.0034869107518915783,0.5065900681596884,0.4430379746835443
d2_timescale,random_graph_k25,rmhl_oracle,0.5,25,9,256,40000,3.866220235824585,0.4995325494334312,0,nan,0.004324350574359461,0.5026942551119766,0.46835443037974683
d2_timescale,random_graph_k25,rmhl_oracle,1.0,50,0,256,40000,4.065920114517212,0.49880932639883424,0,nan,-0.020373580140209357,0.4890102564102564,0.48717948717948717
d2_timescale,random_graph_k25,rmhl_oracle,1.0,50,1,256,40000,3.6730830669403076,0.5018822391397201,0,nan,0.04143512180287459,0.5432343589743589,0.358974358974359
