arm,seed_idx,r0_nmse,r1_nmse,r2_nmse,r3_nmse,r0_kappa,r1_kappa,r2_kappa,r3_kappa,r0_mc,r1_mc,r2_mc,r3_mc,kappa_drift_r2_r1,kappa_drift_r3_r1,runtime_s
esn_fast,1,0.0059083288539296215,0.0021478694787776275,0.0008039046340818028,0.02846858427461323,nan,nan,nan,nan,5.875851892528247,1.9832278168685673,1.7071675315594885,1.6881105050823197,nan,nan,16.588902711868286
esn_fast,0,0.006847250859773453,0.0022240815341746673,0.0008018647072178777,0.02682294658237363,nan,nan,nan,nan,5.174347197205765,1.667291159417869,1.5875630650480916,2.1233159217041697,nan,nan,17.148481845855713
esn_fast,5,0.00800217243282634,0.0026022951243215454,0.0009959300883897273,0.02769763804665462,nan,nan,nan,nan,6.367080094744789,1.3618312366250578,2.2397801326670654,2.1440838380257623,nan,nan,16.683693170547485
esn_fast,9,0.007059780010215809,0.0019688274137254443,0.0007342272737161504,0.02825500764798799,nan,nan,nan,nan,6.255895487015282,1.5678106106641307,1.5503573404031625,1.4923063142786055,nan,nan,16.70421028137207
esn_fast,2,0.006454684254443297,0.002125731597356732,0.0008252173944788839,0.028064793507601722,nan,nan,nan,nan,6.330412895475369,1.9780784708940835,1.9752721845911905,2.011090792912678,nan,nan,23.1130428314209
esn_fast,3,0.006801988428844521,0.002133262366755314,0.0009256793247516971,0.02901839133467789,nan,nan,nan,nan,5.694185961645217,1.85300781262915,2.358141641503425,1.3169413527647111,nan,nan,23.28775191307068
esn_fast,6,0.007839134595410472,0.0024007436141134184,0.0009324698154402212,0.026019298743275642,nan,nan,nan,nan,7.369202698165983,1.7942195920592388,1.281539838037955,1.9804046496139376,nan,nan,23.383745193481445
esn_fast,8,0.007550181767501524,0.0025308476716592765,0.0008523012091905236,0.026396639915426547,nan,nan,nan,nan,6.314125765409781,1.8995083294063704,1.5550421069787173,1.7335904290358606,nan,nan,23.65312886238098
esn_fast,7,0.006847319735672167,0.0021999145585077443,0.0008139098599635097,0.0299092699396273,nan,nan,nan,nan,6.248819345800277,2.2448328401366155,1.8908394880663142,1.3859180125948758,nan,nan,23.890764713287354
esn_fast,4,0.006003770762091032,0.0019428136702117336,0.0008994709059587245,0.026705282439100555,nan,nan,nan,nan,6.03168823157963,1.8781991563111815,1.4471551373677936,1.5109189332926316,nan,nan,23.857850790023804
redem_reg,0,0.07351291035196003,0.0037106506810837313,0.002923397989563158,0.11154891649717144,25.39640901972837,26.306881942922193,27.715857548124017,28.92764597782739,10.015411149960917,7.250966449597023,8.14503499899866,9.174802212911834,1.4089756052018245,2.6207640349051964,14.136012315750122
redem_reg,1,0.059744923413084856,0.004253408454675626,0.0038941169104113778,0.11009466841699177,25.31221895992395,26.098196979969593,27.684820023389165,29.09503713765858,11.279011518192528,7.227614091103801,8.135410183131956,9.08509322900965,1.5866230434195714,2.996840157688986,13.905770778656006
redem_reg,2,0.06474661349832518,0.0041641880906938674,0.004169154037611925,0.11144028487731653,25.224956981796275,26.22425063284437,27.73527134508839,29.03001757599878,2.0036963021985708,7.0505244458689385,7.895833224752376,8.458173624099802,1.5110207122440187,2.80576694315441,13.917489767074585
redem_reg,5,0.05952789581786015,0.0030469873059502084,0.003960375671869748,0.1075528850977571,25.346415678888846,25.893811617753187,27.371475623137794,28.797587292348922,11.338746487297865,7.13908056389285,8.080496579087972,7.924613320192639,1.4776640053846073,2.9037756745957353,14.157590389251709
redem_reg,3,0.060565989890039515,0.0038661696287053612,0.0038497622565592336,0.10886136049970392,25.348345946971463,26.26065523346164,27.242958931130577,28.141305990979,11.014032449545763,7.00641848698033,7.304045289463064,8.534165391305875,0.9823036976689359,1.8806507575173583,14.430030345916748
redem_reg,4,0.07424652317041457,0.004175632602707908,0.0020554791741117335,0.11215774807254864,25.431162321811406,26.402267470624743,27.304061173389645,27.915184371140676,11.385030386367657,6.991243795570273,7.850386380262703,8.502961456313143,0.9017937027649019,1.5129169005159326,14.399760246276855
redem_reg,6,0.06414775764884942,0.005076234862293014,0.002703738707614525,0.10401299003659902,25.284782969752023,26.053442749983947,27.141069618087702,28.250170250282594,11.731134407901376,7.486812218403115,3.442960538435354,8.151799101584022,1.0876268681037544,2.196727500298646,13.231027364730835
redem_reg,7,0.07529521283112779,0.004226401457741688,0.002984154598595922,0.09795168161555604,25.401599525160623,26.048002872489615,27.237491650624627,28.339878077843096,11.011729164930104,6.7135132328398495,7.911824766651584,8.596644810994112,1.1894887781350114,2.291875205353481,12.861689805984497
redem_reg,8,0.0699687248537732,0.0045385681992408155,0.002810225603514901,0.09862929695286855,25.241737366646753,26.193244489202595,27.38332678325167,28.271140977563167,10.841818126655863,7.271240749395274,7.956450341374053,8.198500559743197,1.1900822940490734,2.0778964883605724,13.257980823516846
redem_reg,9,0.05490572387548221,0.004188127921392258,0.002659989704267586,0.10050531964587836,25.276838094482013,26.051123611423897,27.2142736252182,28.29924135511101,11.276506299467771,7.556946542814509,8.421407448736131,8.1227351294054,1.1631500137943043,2.2481177436871143,12.922635555267334
esn_dual,1,0.005903550172584448,0.0018818970766643162,0.0010780703044660051,0.024561251327806514,nan,nan,nan,nan,5.869222726825841,1.1446993763774376,0.8825806188141689,0.8325336713162317,nan,nan,83.70148730278015
esn_dual,0,0.00680258013941573,0.00196564882961915,0.0009709070924584102,0.02162276560061218,nan,nan,nan,nan,5.171567645287075,0.9930019769092547,0.9295217652852852,1.2399984319711057,nan,nan,84.07246804237366
esn_dual,4,0.005956357083957746,0.0017470983127705138,0.0011794472092897087,0.025585927828604877,nan,nan,nan,nan,6.025343011571506,0.9963735920626319,0.7982364262992637,0.9131626088542443,nan,nan,85.67247772216797
esn_dual,5,0.008025304299842238,0.0022890374746373713,0.0013120988094836264,0.027488641370949432,nan,nan,nan,nan,6.364389884901452,0.7312673422460008,1.293707058685807,1.4179000028192656,nan,nan,86.58819913864136
esn_dual,3,0.006729546919141525,0.0018993462171555781,0.0011985737205543324,0.02651893694303587,nan,nan,nan,nan,5.692725005794405,1.0253109420483264,1.1592483963608498,0.7624481938059052,nan,nan,90.90806078910828
esn_dual,2,0.006420162167102325,0.0018832100552158841,0.001065342064617491,0.02425209481684846,nan,nan,nan,nan,6.329906194796409,1.301248857056237,1.1546814493226076,1.1499816448292208,nan,nan,90.89994311332703
esn_dual,9,0.007054611258074342,0.0016986426016624213,0.0009939240152785343,0.027395109481168512,nan,nan,nan,nan,6.254157586082741,0.9570477499687887,0.8657849567404933,0.8618573455197718,nan,nan,75.02472305297852
esn_dual,7,0.006806646591627391,0.0019725366269021647,0.0010741593389889097,0.02655676886516867,nan,nan,nan,nan,6.245942138652503,1.1335380424522357,1.070116025240697,0.9706426363274497,nan,nan,75.81172108650208
esn_dual,8,0.0074826627171159085,0.0022324479937760305,0.0011219904602783586,0.02345625849110962,nan,nan,nan,nan,6.308926127669755,1.0615691214056258,1.072506276940351,0.9812027114091556,nan,nan,75.91393518447876
esn_dual,6,0.007742863696358573,0.0021003252327610553,0.001201172578681543,0.0233640526012123,nan,nan,nan,nan,7.364732830532117,1.098891355744178,0.7745861772973561,1.3254870860573238,nan,nan,77.16295742988586
