task,substrate,readout,seed_idx,n_units,t_total,runtime_s,pre_steady_acc,post_swap_acc,mean_acc_all,nmse_final30
narma10,parallel,lms,4,256,21000,9.752880811691284,,,,nan
narma10,parallel,lms,5,256,21000,8.878275156021118,,,,0.898866376255605
narma10,parallel,lms,6,256,21000,8.73652458190918,,,,4.698307780038235
narma10,parallel,lms,7,256,21000,7.3794214725494385,,,,nan
narma10,parallel,lms,8,256,21000,7.439541816711426,,,,nan
narma10,parallel,lms,9,256,21000,9.919561862945557,,,,nan
drift_binary,random_graph_k25,rls_sparse,2,256,40000,54.32587003707886,0.985,0.93,0.9670838672395166,
drift_binary,random_graph_k25,rls_sparse,3,256,40000,47.81071329116821,0.985,0.93,0.964177784477777,
drift_binary,random_graph_k25,rls_sparse,4,256,40000,53.90806221961975,0.985,0.935,0.9687495289063088,
drift_binary,random_graph_k25,rls_sparse,5,256,40000,48.248467206954956,0.985,0.92,0.9682513002185874,
drift_binary,random_graph_k25,rls_sparse,8,256,40000,53.57768511772156,0.99,0.94,0.9649677143790357,
drift_binary,random_graph_k25,rls_sparse,9,256,40000,46.89373326301575,0.99,0.94,0.9304747368156578,
drift_binary,random_graph_k25,rls_sparse,6,256,40000,54.976919651031494,0.985,0.93,0.9661821311022336,
drift_binary,random_graph_k25,rls_sparse,7,256,40000,45.67594337463379,0.99,0.915,0.9585829501771311,
narma10,random_graph_k25,lms,0,256,21000,20.75998544692993,,,,1.7194030340603477
narma10,random_graph_k25,lms,1,256,21000,21.501538515090942,,,,1.7228039979195175
narma10,random_graph_k25,lms,2,256,21000,22.174189805984497,,,,1.650813851389456
narma10,random_graph_k25,lms,3,256,21000,29.846997499465942,,,,1.0892799086362466
narma10,random_graph_k25,lms,4,256,21000,21.045345783233643,,,,nan
narma10,random_graph_k25,lms,5,256,21000,22.00313663482666,,,,1.1983450181742985
narma10,random_graph_k25,lms,6,256,21000,22.537614345550537,,,,1.6082152070774343
narma10,random_graph_k25,lms,7,256,21000,23.127257347106934,,,,nan
narma10,random_graph_k25,lms,8,256,21000,23.084325313568115,,,,nan
narma10,random_graph_k25,lms,9,256,21000,24.520841121673584,,,,nan
narma10,parallel,rls_dense,0,256,21000,167.57855033874512,,,,0.6008439711503828
narma10,parallel,rls_dense,1,256,21000,253.799409866333,,,,0.5527276252065749
narma10,parallel,rls_dense,2,256,21000,169.0257375240326,,,,0.5543885667932623
narma10,parallel,rls_dense,3,256,21000,260.15491366386414,,,,0.5300189267923585
narma10,parallel,rls_dense,6,256,21000,167.29051184654236,,,,0.5622315273188409
narma10,parallel,rls_dense,7,256,21000,265.4829933643341,,,,nan
narma10,parallel,rls_dense,4,256,21000,166.2512981891632,,,,nan
narma10,parallel,rls_dense,5,256,21000,267.7640883922577,,,,0.4934184130118341
narma10,parallel,rls_dense,8,256,21000,169.1314082145691,,,,nan
narma10,parallel,rls_dense,9,256,21000,269.97191619873047,,,,nan
mackey_glass,parallel,lms,0,256,21000,14.569318532943726,,,,0.8278723735262667
mackey_glass,parallel,lms,1,256,21000,16.306396007537842,,,,0.8293717594764681
mackey_glass,parallel,lms,2,256,21000,16.55956196784973,,,,0.9093414876648952
mackey_glass,parallel,lms,3,256,21000,16.089627027511597,,,,0.9119966797904755
mackey_glass,parallel,lms,4,256,21000,13.841779470443726,,,,0.8181868866882143
mackey_glass,parallel,lms,5,256,21000,15.30947995185852,,,,0.7914413312660546
mackey_glass,parallel,lms,6,256,21000,3.1318628787994385,,,,0.7799039019921937
mackey_glass,parallel,lms,7,256,21000,1.7789866924285889,,,,0.8266929476160602
mackey_glass,parallel,lms,8,256,21000,1.6400680541992188,,,,0.7647950284514414
mackey_glass,parallel,lms,9,256,21000,1.581550121307373,,,,0.7886273722453117
drift_binary,parallel,rls_dense,0,256,40000,340.79341173171997,0.99,0.98,0.9820422853697143,
drift_binary,parallel,rls_dense,1,256,40000,431.213237285614,0.985,0.98,0.9833309464586317,
