arm,seed,stream_ppl,neg_frac,t_adapt_mean,forgetting_ppl,dt_mean,dt_max,clip_frac,stream_ppl_unclipped,stream_n_unc_undefined,forget_neg_frac,forget_clip_frac,forgetting_ppl_unclipped,forget_n_unc_undefined,runtime_s
SSM-REDEM,0,13.568189010086659,0.0010531396726490851,20.0,8.696480368875545,nan,nan,0.0010531396726490851,13.214929380433464,24,0.000286286859433152,0.000286286859433152,8.648983787177082,1,120.16443014144897
SSM-REDEM,1,12.633408731736484,0.0005889743992461128,20.0,8.741553779375577,nan,nan,0.0005889743992461128,12.44795010878776,15,0.0,0.0,8.741553779375577,0,56.78086757659912
SSM-REDEM,2,12.664277346734092,0.0005941518482366422,20.0,8.774414399963229,nan,nan,0.0005941518482366422,12.476760590448492,14,0.0008588605782994561,0.0008588605782994561,8.641829419984138,3,54.681297302246094
SSM-REDEM,3,13.273718432641381,0.0006714060031595576,20.0,9.526302966294539,nan,nan,0.0006714060031595576,13.052232654015633,17,0.0,0.0,9.526302966294539,0,56.83506965637207
SSM-REDEM,4,13.225325340230569,0.00045183815978640376,20.0,8.878039268494721,nan,nan,0.00045183815978640376,13.076417516675019,11,0.000286286859433152,0.000286286859433152,8.830988420660848,1,62.10718321800232
SSM-REDEM,5,13.338057564175617,0.0007037880356033947,20.0,9.117517071889706,nan,nan,0.0007037880356033947,13.104895656171003,17,0.000286286859433152,0.000286286859433152,9.06666983840664,1,45.234750747680664
SSM-REDEM,6,12.667864653402079,0.000655120173606846,20.0,8.67735418406142,nan,nan,0.000655120173606846,12.461195104028704,16,0.001145147437732608,0.001145147437732608,8.482604354398083,4,40.58635592460632
SSM-REDEM,7,13.52068277431061,0.0011390519582931745,20.0,9.011060816731417,nan,nan,0.0011390519582931745,13.140265737982578,26,0.000286286859433152,0.000286286859433152,8.967553917266029,1,33.52874255180359
SSM-REDEM,8,13.880951751777971,0.0005831389536821059,20.0,9.40259508858883,nan,nan,0.0005831389536821059,13.679936205271163,14,0.0,0.0,9.40259508858883,0,37.34823441505432
SSM-REDEM,9,13.023387164722706,0.00036579417980816127,20.0,8.485911901799328,nan,nan,0.00036579417980816127,12.904486391634277,9,0.000286286859433152,0.000286286859433152,8.436233115884253,1,31.778459548950195
SSM-REDEM+M5,0,14.89407526459099,0.0005704506560182544,20.0,11.475000813723085,5.308115907925101,7.932084960118483,0.0005704506560182544,14.68364098133193,13,0.002576581734898368,0.002576581734898368,10.996213102764552,9,31.422072410583496
SSM-REDEM+M5,1,14.294234873608696,0.00015705983979896342,20.0,11.592698251359836,4.83311192667529,7.180225034473679,0.00015705983979896342,14.23827437427911,4,0.002576581734898368,0.002576581734898368,11.038822472287196,9,34.57754468917847
SSM-REDEM+M5,2,14.38692931131804,0.0002970759241183211,20.0,11.422974176918146,5.40800526684652,8.260587877801903,0.0002970759241183211,14.280593135616984,7,0.002004008016032064,0.002004008016032064,11.067473288255709,7,31.630387544631958
SSM-REDEM+M5,3,14.531877677982354,0.00039494470774091627,20.0,13.317663908132955,5.54585487928215,7.570245555407073,0.00039494470774091627,14.389303031660193,10,0.0,0.0,13.317663908132955,0,35.51608204841614
SSM-REDEM+M5,4,14.782970447246054,0.0004929143561306223,20.0,11.658601448555151,5.322280312460757,7.789057950165732,0.0004929143561306223,14.602280816599741,12,0.001145147437732608,0.001145147437732608,11.443967730588625,4,33.461986780166626
SSM-REDEM+M5,5,14.717318041414964,0.00041399296211964395,20.0,12.110828131389946,6.121336764819654,8.441220712774575,0.00041399296211964395,14.566069409379178,10,0.001145147437732608,0.001145147437732608,11.882769525651026,4,33.53540873527527
SSM-REDEM+M5,6,14.440200861827087,0.00020472505425213938,20.0,11.46639850744794,5.295619516669039,7.21358974759799,0.00020472505425213938,14.36658255753549,5,0.001145147437732608,0.001145147437732608,11.238355731418482,4,32.65508270263672
SSM-REDEM+M5,7,15.08294194294531,0.0010514325768860072,20.0,11.828625155545158,5.422297704782373,8.013369789643944,0.0010514325768860072,14.692509872035265,24,0.0008588605782994561,0.0008588605782994561,11.686792647314402,3,33.49703550338745
SSM-REDEM+M5,8,15.12006585837729,0.0004998333888703765,20.0,11.927958110877004,4.45658400463085,7.064337407421785,0.0004998333888703765,14.93284501999053,12,0.0008588605782994561,0.0008588605782994561,11.751877411978098,3,32.82045817375183
SSM-REDEM+M5,9,14.808306898153152,0.00028450658429523656,20.0,11.542918295269518,5.28349511121042,8.080055689505366,0.00028450658429523656,14.703592807776213,7,0.000572573718866304,0.000572573718866304,11.419909312357605,2,33.88878893852234
