task,substrate,readout,ratio,swap_every,seed_idx,n_units,t_total,runtime_s,mean_acc_all,n_flips,v_final,alpha_final,dwell_final,recovery,post_mean,success_rate
adaptive_meta,random_graph_k25,rmhl_oracle,0.24,12,2,256,40000,5.9519124031066895,0.49722984347126953,0,nan,nan,nan,-0.004618917744147327,0.49495682730923696,0.4759036144578313
adaptive_meta,random_graph_k25,rmhl_oracle,0.24,12,3,256,40000,4.944895029067993,0.5126288284213965,0,nan,nan,nan,-0.010276288079145853,0.5047085843373493,0.1144578313253012
adaptive_meta,random_graph_k25,rmhl_oracle,0.24,12,4,256,40000,5.990093231201172,0.4780328383708952,0,nan,nan,nan,-0.003135450337937109,0.4761932730923694,0.05421686746987952
adaptive_meta,random_graph_k25,rmhl_oracle,0.24,12,5,256,40000,5.044708967208862,0.4781367302329087,0,nan,nan,nan,-0.008382107699089047,0.47113805220883537,0.3192771084337349
adaptive_meta,random_graph_k25,rmhl_oracle,0.5,25,0,256,40000,5.61483359336853,0.48938745257656835,0,nan,nan,nan,-0.0037921698201710146,0.49074148003894846,0.4810126582278481
adaptive_meta,random_graph_k25,rmhl_oracle,0.5,25,1,256,40000,5.284802675247192,0.4981406246074219,0,nan,nan,nan,0.009316727720322061,0.5088293573515094,0.22784810126582278
adaptive_meta,random_graph_k25,rmhl_oracle,0.24,12,8,256,40000,6.193924427032471,0.4930269339966333,0,nan,nan,nan,-0.011079243804486253,0.48313077309236957,0.3795180722891566
adaptive_meta,random_graph_k25,rmhl_oracle,0.24,12,9,256,40000,4.924286127090454,0.501363407954574,0,nan,nan,nan,-0.006194252620237048,0.49728689759036154,0.463855421686747
adaptive_meta,random_graph_k25,rmhl_oracle,0.24,12,6,256,40000,6.140884160995483,0.48797015150373096,0,nan,nan,nan,-0.00579393182486043,0.4832996987951808,0.3433734939759036
adaptive_meta,random_graph_k25,rmhl_oracle,0.24,12,7,256,40000,5.239999294281006,0.48996218687972665,0,nan,nan,nan,-0.008383209667940065,0.4840005020080322,0.42168674698795183
adaptive_meta,random_graph_k25,rmhl_oracle,0.24,12,0,256,40000,6.485424280166626,0.485875480515565,0,nan,nan,nan,-0.005172568322068765,0.48215537148594373,0.43373493975903615
adaptive_meta,random_graph_k25,rmhl_oracle,0.24,12,1,256,40000,5.20984411239624,0.5005023743122032,0,nan,nan,nan,-0.005797452003134486,0.4962073293172691,0.13855421686746988
adaptive_meta,random_graph_k25,rmhl_oracle,0.5,25,4,256,40000,6.084867715835571,0.4950748724906409,0,nan,nan,nan,-0.00831522419588064,0.49224464459591044,0.4810126582278481
adaptive_meta,random_graph_k25,rmhl_oracle,0.5,25,5,256,40000,5.351251840591431,0.49821562272304715,0,nan,nan,nan,-0.011471166284407416,0.4920447906523856,0.4936708860759494
adaptive_meta,random_graph_k25,rmhl_oracle,0.5,25,2,256,40000,6.555996656417847,0.49704203411974573,0,nan,nan,nan,-0.008236957431735161,0.49435929892891906,0.45569620253164556
adaptive_meta,random_graph_k25,rmhl_oracle,0.5,25,3,256,40000,5.119441509246826,0.510794703650662,0,nan,nan,nan,0.0068763975971041095,0.5193578383641674,0.1518987341772152
