task,rot_span,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,steady_acc
rotation2d,250,parallel,delta_base,5,256,40000,2.515683650970459,0.7270064822491897,0.725,0.65,0.765
rotation2d,250,parallel,delta_base,6,256,40000,2.501340627670288,0.7009333936333257,0.69,0.75,0.725
rotation2d,250,parallel,delta_base,7,256,40000,2.243556499481201,0.7195099369362579,0.76,0.745,0.71
rotation2d,250,parallel,delta_base,8,256,40000,2.357337713241577,0.7090286676214165,0.73,0.635,0.735
rotation2d,250,parallel,delta_base,9,256,40000,2.373063802719116,0.7102934599633175,0.725,0.705,0.725
rotation2d,250,parallel,delta_base,2,256,40000,2.7719385623931885,0.7205798849275143,0.775,0.81,0.72
rotation2d,250,parallel,delta_base,3,256,40000,2.5105156898498535,0.7104215974473003,0.73,0.725,0.745
rotation2d,1000,random_graph_k25,delta_base,6,256,40000,6.172536373138428,0.7234775508153061,0.79,0.77,0.51
rotation2d,1000,random_graph_k25,delta_base,7,256,40000,5.936201810836792,0.7279369865078766,0.81,0.82,0.565
rotation2d,1000,random_graph_k25,delta_base,8,256,40000,6.225677728652954,0.7172921534634809,0.81,0.78,0.535
rotation2d,1000,random_graph_k25,delta_base,9,256,40000,6.026760101318359,0.7171833622270797,0.79,0.815,0.515
rotation2d,250,random_graph_k25,rls_online,0,256,40000,5.811243772506714,0.9170322353709707,0.935,0.95,1.0
rotation2d,250,random_graph_k25,rls_online,1,256,40000,4.6804234981536865,0.9156779980402503,1.0,0.9,1.0
rotation2d,250,random_graph_k25,rls_online,8,256,40000,5.357524156570435,0.9116291047963619,0.98,1.0,1.0
rotation2d,250,random_graph_k25,rls_online,9,256,40000,4.514812469482422,0.9096982487877188,0.9,1.0,1.0
rotation2d,250,random_graph_k25,rls_online,4,256,40000,5.416236162185669,0.9064319991960001,0.9,1.0,1.0
rotation2d,250,random_graph_k25,rls_online,5,256,40000,4.74270224571228,0.9251991156001107,0.9,0.95,1.0
rotation2d,250,random_graph_k25,rls_online,2,256,40000,5.487799644470215,0.9050991181126102,0.9,0.9,1.0
rotation2d,250,random_graph_k25,rls_online,3,256,40000,5.094589710235596,0.8937903570262054,0.9,0.9,0.855
rotation2d,250,random_graph_k25,rls_online,6,256,40000,5.691411733627319,0.9129858546267682,1.0,0.9,1.0
rotation2d,250,random_graph_k25,rls_online,7,256,40000,4.962423086166382,0.9159267355091582,1.0,1.0,1.0
rotation2d,250,random_graph_k25,delta_base,0,256,40000,5.795140981674194,0.7832019295997589,0.79,0.81,0.79
rotation2d,250,random_graph_k25,delta_base,1,256,40000,5.052873849868774,0.7875498103062736,0.82,0.795,0.82
rotation2d,250,random_graph_k25,delta_base,2,256,40000,4.987127065658569,0.7899608050048994,0.81,0.86,0.805
rotation2d,250,random_graph_k25,delta_base,3,256,40000,4.711286783218384,0.7782588377176453,0.8,0.81,0.795
rotation2d,250,random_graph_k25,delta_base,4,256,40000,5.0942535400390625,0.7841264038591995,0.785,0.73,0.84
rotation2d,250,random_graph_k25,delta_base,5,256,40000,5.290407657623291,0.786195447350569,0.815,0.715,0.825
rotation2d,100,parallel,rls_online,2,256,40000,1.9096496105194092,0.9092171050978619,0.925,0.8,0.905
rotation2d,100,parallel,rls_online,3,256,40000,1.9028337001800537,0.9200974849878144,0.9,0.9,1.0
rotation2d,100,parallel,rls_online,0,256,40000,2.0978457927703857,0.9112509735936283,0.9,0.815,0.9
rotation2d,100,parallel,rls_online,1,256,40000,1.97752046585083,0.9010024873746891,0.9,0.9,0.9
rotation2d,100,parallel,rls_online,4,256,40000,1.966731071472168,0.9061279867340017,0.9,0.9,1.0
rotation2d,100,parallel,rls_online,5,256,40000,2.1173460483551025,0.919468103816487,1.0,0.9,0.9
rotation2d,100,parallel,rls_online,6,256,40000,2.2066867351531982,0.9143664732041907,0.9,0.9,1.0
rotation2d,100,parallel,rls_online,7,256,40000,2.239682197570801,0.9049722368784705,0.9,0.9,0.9
rotation2d,100,parallel,rls_online,8,256,40000,2.0536162853240967,0.9158262355217206,0.9,0.9,0.9
rotation2d,100,parallel,rls_online,9,256,40000,2.1969213485717773,0.9033931308258587,0.9,0.9,0.9
rotation2d,100,parallel,delta_base,0,256,40000,1.900482416152954,0.7228515615185549,0.735,0.62,0.725
rotation2d,100,parallel,delta_base,1,256,40000,2.0459530353546143,0.726255998593,0.755,0.695,0.74
rotation2d,100,parallel,delta_base,2,256,40000,1.9019560813903809,0.729323383834577,0.775,0.78,0.715
rotation2d,100,parallel,delta_base,3,256,40000,1.9281983375549316,0.7163301173337353,0.73,0.695,0.735
rotation2d,100,parallel,delta_base,4,256,40000,1.9870460033416748,0.7214793598150799,0.755,0.63,0.76
rotation2d,100,parallel,delta_base,5,256,40000,1.8219130039215088,0.7302978568377678,0.725,0.62,0.765
rotation2d,100,parallel,delta_base,6,256,40000,1.8257875442504883,0.7157571417803572,0.69,0.75,0.725
rotation2d,100,parallel,delta_base,7,256,40000,1.8035783767700195,0.7265831260521093,0.76,0.74,0.715
rotation2d,250,random_graph_k25,delta_base,6,256,40000,5.435365438461304,0.7746777719152784,0.79,0.7925,0.825
rotation2d,250,random_graph_k25,delta_base,7,256,40000,5.024972200393677,0.7817863872767016,0.81,0.82,0.785
rotation2d,100,parallel,delta_base,8,256,40000,1.8540196418762207,0.7194790331901209,0.73,0.63,0.735
rotation2d,100,parallel,delta_base,9,256,40000,2.1157608032226562,0.7149090475113691,0.725,0.6975,0.725
rotation2d,250,random_graph_k25,delta_base,8,256,40000,5.490239381790161,0.7804596618175423,0.81,0.77,0.85
rotation2d,250,random_graph_k25,delta_base,9,256,40000,5.659381628036499,0.771354111705736,0.79,0.785,0.785
rotation2d,100,random_graph_k25,rls_online,0,256,40000,5.479741096496582,0.9205497349312832,0.935,0.9,1.0
rotation2d,100,random_graph_k25,rls_online,1,256,40000,6.370926141738892,0.929245496344313,1.0,0.865,1.0
rotation2d,100,random_graph_k25,rls_online,2,256,40000,5.881675481796265,0.9151491168563604,0.9,0.8,1.0
rotation2d,100,random_graph_k25,rls_online,3,256,40000,6.642557144165039,0.9133878545765182,0.9,0.85,0.9
rotation2d,100,random_graph_k25,rls_online,6,256,40000,5.9702723026275635,0.928036983995377,1.0,0.9,1.0
rotation2d,100,random_graph_k25,rls_online,7,256,40000,5.824298620223999,0.9310017336247833,1.0,0.95,1.0
rotation2d,100,random_graph_k25,rls_online,8,256,40000,5.933924913406372,0.9256991030376122,0.98,0.9,1.0
rotation2d,100,random_graph_k25,rls_online,9,256,40000,6.2098228931427,0.9187432476570939,0.9,0.9,1.0
rotation2d,100,random_graph_k25,rls_online,4,256,40000,6.2721476554870605,0.9164819979397503,0.9,0.8,1.0
rotation2d,100,random_graph_k25,rls_online,5,256,40000,6.401050329208374,0.9352491143438608,0.9,1.0,1.0
rotation2d,100,random_graph_k25,delta_base,0,256,40000,6.169201135635376,0.7962286123464235,0.79,0.725,0.785
rotation2d,100,random_graph_k25,delta_base,1,256,40000,6.318826675415039,0.8017532222808472,0.82,0.76,0.84
rotation2d,100,random_graph_k25,delta_base,2,256,40000,6.587718725204468,0.8000610537423682,0.81,0.82,0.805
