task,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,win_mid_acc,win_final_acc,n_flips,n_prunes
std,random_graph_k25,rmhl,4,256,40000,6.569690465927124,0.4995986281751714,0.055,0.05,0,0
std,random_graph_k25,rmhl,5,256,40000,6.353863477706909,0.4987718901535138,0.055,0.05,0,0
ramp,random_graph_k25,rmhl,0,256,40000,6.764983892440796,0.7197065400366826,0.55,0.505,0,0
ramp,random_graph_k25,rmhl,1,256,40000,6.346158981323242,0.7078538227682721,0.5,0.465,0,0
std,random_graph_k25,rmhl,8,256,40000,6.512462139129639,0.5225231778096027,0.07,0.075,0,0
std,random_graph_k25,rmhl,9,256,40000,7.869793653488159,0.5199591718801035,0.075,0.075,0,0
ramp,random_graph_k25,rmhl,6,256,40000,6.884956359863281,0.706488279188965,0.45,0.5,0,0
ramp,random_graph_k25,rmhl,7,256,40000,6.818812608718872,0.7072983090877114,0.5,0.5,0,0
std,random_graph_k25,single_flip,4,256,40000,6.831376552581787,0.9197192281600963,0.945,0.95,1,0
std,random_graph_k25,single_flip,5,256,40000,6.652846336364746,0.9206627974171504,0.945,0.95,1,0
ramp,random_graph_k25,rmhl,2,256,40000,7.20186710357666,0.7272312253460969,0.575,0.535,0,0
ramp,random_graph_k25,rmhl,3,256,40000,7.300602197647095,0.6942902188387226,0.41,0.5,0,0
ramp,random_graph_k25,rmhl,4,256,40000,7.810837268829346,0.7196310394211201,0.5,0.5,0,0
ramp,random_graph_k25,rmhl,5,256,40000,7.227177143096924,0.7183100927112384,0.5,0.5,0,0
std,random_graph_k25,single_flip,6,256,40000,7.08400559425354,0.9204957161880354,0.945,0.95,1,0
std,random_graph_k25,single_flip,7,256,40000,7.4212117195129395,0.9188103313987086,0.95,0.93,1,0
std,random_graph_k25,rmhl,6,256,40000,8.223698139190674,0.49929122383859703,0.055,0.05,0,0
std,random_graph_k25,rmhl,7,256,40000,8.546318292617798,0.5001964774754403,0.05,0.07,0,0
ramp,random_graph_k25,single_flip,0,256,40000,8.105798482894897,0.7187015401623075,0.55,0.505,2,0
ramp,random_graph_k25,single_flip,1,256,40000,6.64296293258667,0.7091150976106128,0.5,0.535,1,0
std,random_graph_k25,single_flip,2,256,40000,8.32386326789856,0.9212416773447902,0.95,0.935,1,0
std,random_graph_k25,single_flip,3,256,40000,7.493614912033081,0.9194192356975955,0.93,0.945,1,0
std,random_graph_k25,single_flip,8,256,40000,7.393423557281494,0.9182167533479056,0.93,0.93,1,0
std,random_graph_k25,single_flip,9,256,40000,8.766268014907837,0.917888872138891,0.925,0.945,1,0
ramp,random_graph_k25,rmhl,8,256,40000,8.420918941497803,0.696668048541494,0.445,0.485,0,0
ramp,random_graph_k25,rmhl,9,256,40000,8.521931648254395,0.7121563528554558,0.5,0.48,0,0
std,random_graph_k25,single_flip,0,256,40000,8.281176328659058,0.9248783950152006,0.95,0.945,1,0
std,random_graph_k25,single_flip,1,256,40000,8.902874231338501,0.9209818848772644,0.95,0.945,1,0
ramp,random_graph_k25,single_flip,2,256,40000,6.7020652294158936,0.6945184794351901,0.42,0.465,5,0
ramp,random_graph_k25,single_flip,3,256,40000,8.006124496459961,0.6993152182105976,0.5,0.5,4,0
ramp,random_graph_k25,single_flip,4,256,40000,7.395296812057495,0.714606040049245,0.5,0.5,4,0
ramp,random_graph_k25,single_flip,5,256,40000,6.738166093826294,0.7152950930881133,0.5,0.5,2,0
ramp,random_graph_k25,single_flip,6,256,40000,6.216336727142334,0.725236551845431,0.5125,0.5,3,0
ramp,random_graph_k25,single_flip,7,256,40000,6.847154140472412,0.7072983090877114,0.5,0.5,2,0
ramp,random_graph_k25,single_flip,8,256,40000,7.960271835327148,0.728725032034371,0.555,0.515,1,0
ramp,random_graph_k25,single_flip,9,256,40000,6.729891300201416,0.72461583879802,0.5,0.52,3,0
std,random_graph_k25,pop5,6,256,40000,6.609994649887085,0.9237619657797541,0.945,0.95,11,0
std,random_graph_k25,pop5,7,256,40000,6.5710132122039795,0.9188103313987086,0.95,0.93,7,0
std,random_graph_k25,pop5,4,256,40000,6.597450017929077,0.9247944775256902,0.945,0.95,5,0
std,random_graph_k25,pop5,5,256,40000,6.693380355834961,0.9206627974171504,0.945,0.95,7,0
std,random_graph_k25,pop5,0,256,40000,7.557665109634399,0.9248783950152006,0.95,0.945,8,0
std,random_graph_k25,pop5,1,256,40000,6.631682395935059,0.9209818848772644,0.95,0.945,6,0
std,random_graph_k25,pop5,8,256,40000,6.364370346069336,0.9182706464661691,0.93,0.93,9,0
std,random_graph_k25,pop5,9,256,40000,6.531709432601929,0.917888872138891,0.925,0.945,8,0
std,random_graph_k25,pop5,2,256,40000,8.239745140075684,0.921291927338509,0.95,0.935,8,0
std,random_graph_k25,pop5,3,256,40000,6.36161208152771,0.9194192356975955,0.93,0.945,8,0
ramp,random_graph_k25,pop5,4,256,40000,6.77920937538147,0.707324815959398,0.5,0.495,21,0
ramp,random_graph_k25,pop5,5,256,40000,6.0293567180633545,0.724641591919801,0.545,0.5,17,1
ramp,random_graph_k25,pop5,6,256,40000,6.878600120544434,0.725236551845431,0.5125,0.5,21,1
ramp,random_graph_k25,pop5,7,256,40000,5.713060140609741,0.706466671691666,0.5,0.49,14,0
ramp,random_graph_k25,pop5,2,256,40000,7.225902795791626,0.7003726037034245,0.42,0.5,33,3
ramp,random_graph_k25,pop5,3,256,40000,5.795271396636963,0.6973805934524258,0.5,0.5,23,0
ramp,random_graph_k25,pop5,0,256,40000,7.799098253250122,0.7029481671314791,0.5,0.5,16,0
ramp,random_graph_k25,pop5,1,256,40000,5.988436937332153,0.7086125976734252,0.5,0.535,10,0
ramp,random_graph_k25,pop5,8,256,40000,6.840045690536499,0.7262664254666967,0.555,0.515,13,0
ramp,random_graph_k25,pop5,9,256,40000,5.3645689487457275,0.7251183387352076,0.5,0.52,20,0
