pulses,M_cv0.02,M_cv0.2,M_cv0.5,M_cv1.0,single_exp
0.218084,9.863023e-01,9.857680e-01,9.829503e-01,9.731599e-01,9.863077e-01
0.225768,9.858231e-01,9.852704e-01,9.823563e-01,9.722401e-01,9.858287e-01
0.233722,9.853273e-01,9.847556e-01,9.817418e-01,9.712897e-01,9.853331e-01
0.241956,9.848143e-01,9.842229e-01,9.811061e-01,9.703077e-01,9.848203e-01
0.250481,9.842835e-01,9.836718e-01,9.804486e-01,9.692931e-01,9.842897e-01
0.259306,9.837343e-01,9.831016e-01,9.797685e-01,9.682450e-01,9.837407e-01
0.268441,9.831661e-01,9.825117e-01,9.790651e-01,9.671622e-01,9.831728e-01
0.277899,9.825782e-01,9.819014e-01,9.783376e-01,9.660438e-01,9.825851e-01
0.28769,9.819700e-01,9.812700e-01,9.775851e-01,9.648886e-01,9.819771e-01
0.297826,9.813408e-01,9.806168e-01,9.768069e-01,9.636955e-01,9.813481e-01
0.308319,9.806897e-01,9.799411e-01,9.760021e-01,9.624634e-01,9.806973e-01
0.319181,9.800163e-01,9.792420e-01,9.751698e-01,9.611910e-01,9.800241e-01
0.330427,9.793195e-01,9.785189e-01,9.743091e-01,9.598773e-01,9.793276e-01
0.342068,9.785988e-01,9.777709e-01,9.734191e-01,9.585210e-01,9.786071e-01
0.35412,9.778532e-01,9.769972e-01,9.724988e-01,9.571207e-01,9.778618e-01
0.366596,9.770819e-01,9.761968e-01,9.715472e-01,9.556752e-01,9.770909e-01
0.379512,9.762841e-01,9.753690e-01,9.705633e-01,9.541833e-01,9.762934e-01
0.392883,9.754589e-01,9.745128e-01,9.695461e-01,9.526435e-01,9.754685e-01
0.406725,9.746054e-01,9.736273e-01,9.684944e-01,9.510544e-01,9.746153e-01
0.421054,9.737225e-01,9.727114e-01,9.674072e-01,9.494147e-01,9.737328e-01
0.435889,9.728094e-01,9.717643e-01,9.662832e-01,9.477229e-01,9.728200e-01
0.451246,9.718651e-01,9.707847e-01,9.651214e-01,9.459776e-01,9.718760e-01
