task,substrate,readout,forgetting,seed_idx,n_units,t_total,runtime_s,w_norm,pre_steady_acc,pre_stability_std,post_swap_acc,adapt_time_pulses,mean_acc_all,nmse_final30
narma10,random_graph_k25,rls,0.999,0,256,21000,50.08046841621399,1.8257916793571183,,,,,,0.48544843088116696
narma10,random_graph_k25,rls,0.999,1,256,21000,50.079301595687866,1.620879468348158,,,,,,0.40724311705369504
narma10,random_graph_k25,offridge,nan,4,256,21000,3.643416166305542,nan,,,,,,nan
narma10,random_graph_k25,offridge,nan,5,256,21000,3.420302152633667,nan,,,,,,6.392266946281902
narma10,random_graph_k25,offridge,nan,6,256,21000,3.5772628784179688,nan,,,,,,0.807613507804793
narma10,random_graph_k25,offridge,nan,7,256,21000,3.577646493911743,nan,,,,,,nan
narma10,random_graph_k25,offridge,nan,8,256,21000,3.8101537227630615,nan,,,,,,nan
narma10,random_graph_k25,offridge,nan,9,256,21000,3.7865145206451416,nan,,,,,,nan
drift_binary,random_graph_k25,rls,0.999,2,256,40000,93.63417720794678,221.0549759900869,1.0,0.0,1.0,347.0,0.9673643878294517,
drift_binary,random_graph_k25,rls,0.999,3,256,40000,65.98057436943054,161.75374922961663,1.0,0.0,1.0,211.0,0.9738089495238813,
narma10,random_graph_k25,rls,0.999,2,256,21000,36.159717082977295,1.248132063478465,,,,,,0.41996330652450975
narma10,random_graph_k25,rls,0.999,3,256,21000,36.94314646720886,1.4573280564281186,,,,,,0.44800514227425137
mackey_glass,parallel,offridge,nan,0,256,21000,1.5978310108184814,nan,,,,,,0.31029759722348843
mackey_glass,parallel,offridge,nan,1,256,21000,1.501162052154541,nan,,,,,,0.30915772331913843
mackey_glass,parallel,offridge,nan,2,256,21000,1.3822948932647705,nan,,,,,,0.30881174783724247
mackey_glass,parallel,offridge,nan,3,256,21000,1.3931841850280762,nan,,,,,,0.30836107923588285
mackey_glass,parallel,offridge,nan,4,256,21000,1.441176176071167,nan,,,,,,0.3104911720679546
mackey_glass,parallel,offridge,nan,5,256,21000,1.3912570476531982,nan,,,,,,0.30895306380701615
drift_binary,random_graph_k25,rls,0.999,0,256,40000,107.74259877204895,366.3248293372929,1.0,0.0,1.0,168.0,0.9750051506243562,
