task,substrate,readout,seed_idx,n_units,t_total,runtime_s,mean_acc_all,pre_swap_acc,post_swap_acc,corrupt_acc,steady_final_acc,n_flips,v_final
drift_binary,random_graph_k25,meta_truth,3,256,40000,4.339795112609863,0.9194140850732393,0.94,0.93,0.93,0.945,1,0.35214979802452456
drift_binary,random_graph_k25,meta_truth,4,256,40000,4.960110902786255,0.9196928469133941,0.93,0.945,0.945,0.95,1,0.35214979802452456
drift_binary,random_graph_k25,meta_truth,5,256,40000,4.309957027435303,0.9205839049270118,0.93,0.945,0.93,0.95,1,0.35214979802452456
drift_binary,random_graph_k25,meta_truth,6,256,40000,4.966609001159668,0.9201831612271049,0.93,0.945,0.945,0.95,1,0.35214979802452456
drift_binary,random_graph_k25,meta_truth,7,256,40000,4.360903739929199,0.9188118388985203,0.93,0.95,0.93,0.93,1,0.35214979802452456
drift_binary,random_graph_k25,meta_corrupt,4,256,40000,4.928238391876221,0.7013063742117032,0.93,0.945,0.055,0.95,3,0.503762146542918
drift_binary,random_graph_k25,meta_corrupt,5,256,40000,4.392505645751953,0.6999864325016958,0.93,0.945,0.07,0.95,3,0.503762146542918
drift_binary,random_graph_k25,meta_corrupt,2,256,40000,4.930679798126221,0.7019268360091455,0.935,0.95,0.07,0.935,3,0.503762146542918
drift_binary,random_graph_k25,meta_corrupt,3,256,40000,4.384354591369629,0.7008768623903922,0.94,0.93,0.07,0.945,3,0.503762146542918
drift_binary,random_graph_k25,meta_corrupt,0,256,40000,4.981595993041992,0.7004508680686415,0.95,0.95,0.055,0.945,3,0.503762146542918
drift_binary,random_graph_k25,meta_corrupt,1,256,40000,4.411086797714233,0.7013382829577145,0.945,0.95,0.07,0.945,3,0.503762146542918
drift_binary,random_graph_k25,meta_corrupt,6,256,40000,4.989537477493286,0.7000379387452577,0.93,0.945,0.055,0.95,3,0.503762146542918
drift_binary,random_graph_k25,meta_corrupt,7,256,40000,4.458996534347534,0.6992193663475792,0.93,0.95,0.07,0.93,3,0.503762146542918
drift_binary,random_graph_k25,meta_truth,0,256,40000,4.79366660118103,0.9245658400542701,0.95,0.95,0.945,0.945,1,0.35214979802452456
drift_binary,random_graph_k25,meta_truth,1,256,40000,4.9238011837005615,0.9209810055023743,0.945,0.95,0.93,0.945,1,0.35214979802452456
drift_binary,random_graph_k25,passive_truth,0,256,40000,5.942040205001831,0.9250180899977388,0.95,0.95,0.945,0.945,1,nan
drift_binary,random_graph_k25,passive_truth,1,256,40000,4.839755058288574,0.9214835054395617,0.945,0.95,0.93,0.945,1,nan
drift_binary,random_graph_k25,meta_corrupt,8,256,40000,5.8670127391815186,0.6980710283661214,0.94,0.93,0.055,0.93,3,0.503762146542918
drift_binary,random_graph_k25,meta_corrupt,9,256,40000,5.427121877670288,0.6988491495188563,0.95,0.925,0.07,0.945,3,0.503762146542918
drift_binary,random_graph_k25,meta_truth,8,256,40000,5.928648948669434,0.9182162508479688,0.94,0.93,0.945,0.93,1,0.35214979802452456
drift_binary,random_graph_k25,meta_truth,9,256,40000,5.563802719116211,0.9179391221326099,0.95,0.925,0.93,0.945,1,0.35214979802452456
drift_binary,random_graph_k25,passive_truth,2,256,40000,6.0425004959106445,0.9215695585538052,0.935,0.95,0.93,0.935,1,nan
drift_binary,random_graph_k25,passive_truth,3,256,40000,5.2712976932525635,0.9199165850104268,0.94,0.93,0.93,0.945,1,nan
drift_binary,random_graph_k25,passive_truth,4,256,40000,6.236319065093994,0.9199943468757066,0.93,0.945,0.945,0.95,1,nan
drift_binary,random_graph_k25,passive_truth,5,256,40000,3.5899527072906494,0.9210864048641993,0.93,0.945,0.93,0.95,1,nan
