config_name,kappa,r_fit,r_phys,med_eff_us,cv_eff,stretch,sse
add_random_graph,0.01,0.9795753489288289,0.9725441523126471,1166.1795729362655,2.9999999999999996,6.702181453656698,1.4762878184173682
add_random_graph,0.03,0.9792274039429986,0.9750346721402904,1174.6981613741293,2.9999999999999996,6.751138858472008,1.576531043964552
add_random_graph,0.06,0.9451375811912949,0.9476896842496424,1482.2636241187572,2.9999999999999996,8.518756460452629,1.8209481258894946
add_random_graph,0.08,0.9071173439210358,0.9399915174194783,3031.0193224157842,2.999999999999997,17.419651278251635,1.0456258160333844
add_random_graph,0.1,0.8522872035992434,0.903147160253435,2536.8811017563607,2.9999999999999996,14.579776446875636,1.2233264940167792
add_random_graph,0.15,0.577793177149981,0.5536188670493577,878.7603623286259,2.9999999999999996,5.050346909934632,5.061397903127604
add_random_graph,0.2,0.0385992548099867,-0.03636573378279675,105.79055784069205,2.9999999999999996,0.6079917117281152,35.77176442634273
add_ring_bidir,0.01,0.9798505186967557,0.9735422372667935,1178.5565695039147,2.9999999999999996,6.773313617838591,1.488412956868609
add_ring_bidir,0.03,0.9779173485725461,0.9716720356677909,1212.3500745736933,2.9999999999999996,6.967529164216628,1.510835262365125
add_ring_bidir,0.06,0.9210573310929362,0.9331514203802773,1938.775626189303,2.9999999999999996,11.142388656260362,1.6124733181093647
add_ring_bidir,0.08,0.8307744679560547,0.8857730419278763,3803.4985077033057,2.9999999999999996,21.859186825881068,0.9338922988717009
add_ring_bidir,0.1,0.847509749306681,0.9009491132026002,2802.1778285396085,2.9999999999999996,16.104470278963266,1.1291094238082258
add_ring_bidir,0.15,0.5733532973837961,0.5466311730654417,866.4997842136655,2.9999999999999996,4.979883817319917,5.164075548713903
add_ring_bidir,0.2,0.038599254809986286,-0.03636573378279702,105.79055784069205,2.9999999999999996,0.6079917117281152,35.771764426342685
hub_star,0.3,0.9771177755959154,0.9717802174695305,1200.1597864238695,2.9999999999999996,6.89747003691879,1.5470633691297278
hub_star,0.5,0.9727132685526078,0.9680039931611846,1225.4341210589694,2.9999999999999996,7.042724833672238,1.6030838224320587
hub_star,1.0,0.9641465157352168,0.9657526480126002,1356.661684399925,2.9999999999999996,7.796906232183478,1.6283605310679936
hub_star,3.0,0.9834602939008554,0.97442308836891,1192.588040704146,3.0000000000000004,6.853954256920378,1.3350273352055875
lateral_ring,0.1,0.9812178540591758,0.9713900096143517,1160.5959892650199,2.9999999999999996,6.670091892327701,1.3273859345550365
lateral_ring,0.3,0.9838484719947675,0.9732893565167714,1166.0574892976517,2.9999999999999996,6.701479823549723,1.2104536201592733
lateral_ring,1.0,0.9904403586732732,0.9806493332203782,1190.1109985705798,2.9999999999999996,6.839718382589539,0.9490825507132146
lateral_ring,3.0,0.9894337980333552,0.9798983648946297,1171.8887254877864,2.9999999999999996,6.734992675217163,0.5831519048873074
lateral_ring,10.0,0.9687797016288804,0.9593623659695484,1150.4181353126198,2.9999999999999996,6.61159847880816,0.3719387264695348
lateral_ring,15.0,0.9482387457766543,0.9416540064512178,1161.2333777869005,2.9999999999999996,6.673755044752302,0.3741057848329151
