arm,seed,lr_scale,feat,readout_map,stream_ppl,clip_frac,floor_frac,neg_frac,forgetting_ppl,forgetting_ppl_med,forget_floor_frac,oracle_ppl,gate_mean,gate_frac_gt_half,n_params_readout,n_params_gate,n_params_host,runtime_s
F-B-lin-clip,0.0,1.0,proj,lin_clip,11.856420129224789,0.015556419801100061,0.0,0.015556419801100061,7.8845055765761005,8.088080186651487,0.0004008016032064128,7.344013092223381,nan,nan,4128.0,0.0,0.0,30.092721223831177
F-B-lin-clip,1.0,1.0,proj,lin_clip,11.632281831852639,0.01600088893827435,0.0,0.01600088893827435,8.738496905700682,9.252976640746256,0.002404809619238477,7.152388668797903,nan,nan,4128.0,0.0,0.0,33.90130043029785
F-B-lin-clip,2.0,1.0,proj,lin_clip,11.59204962945722,0.015500861158953275,0.0,0.015500861158953275,8.506051721556897,8.343219758936524,0.0012024048096192384,7.185695874900826,nan,nan,4128.0,0.0,0.0,28.80027174949646
F-B-lin-clip,3.0,1.0,proj,lin_clip,11.912410680675343,0.015778654369687204,0.0,0.015778654369687204,8.455264110853838,8.576568337468192,0.0012024048096192384,7.361639746876128,nan,nan,4128.0,0.0,0.0,30.647579431533813
F-B-lin-clip,4.0,1.0,proj,lin_clip,11.850079151887456,0.016056447580421136,0.0,0.016056447580421136,8.021205617527773,8.525893818241741,0.0,7.2545617397491755,nan,nan,4128.0,0.0,0.0,38.93037462234497
F-B-lin-clip,5.0,1.0,proj,lin_clip,11.851402142669775,0.01677870992832935,0.0,0.01677870992832935,7.932161063585663,8.248996813640664,0.0004008016032064128,7.186052996483156,nan,nan,4128.0,0.0,0.0,37.55264210700989
F-B-lin-clip,6.0,1.0,proj,lin_clip,11.725489023319781,0.015389743874659703,0.0,0.015389743874659703,8.584143401603058,9.278066609683574,0.0004008016032064128,7.290880561240637,nan,nan,4128.0,0.0,0.0,28.720089435577393
F-B-lin-clip,7.0,1.0,proj,lin_clip,11.518797695706334,0.015389743874659703,0.0,0.015389743874659703,8.11830710388008,8.159718086423714,0.0008016032064128256,7.182753544109646,nan,nan,4128.0,0.0,0.0,38.682883977890015
F-B-lin-clip,8.0,1.0,proj,lin_clip,11.766794159922396,0.01572309572754042,0.0,0.01572309572754042,9.19187403269118,8.362229855056627,0.0008016032064128256,7.258389212524579,nan,nan,4128.0,0.0,0.0,27.294209003448486
F-B-lin-clip,9.0,1.0,proj,lin_clip,11.835518385728989,0.01600088893827435,0.0,0.01600088893827435,8.436094537093101,8.470756384353313,0.0008016032064128256,7.261724518487203,nan,nan,4128.0,0.0,0.0,28.423870086669922
F-B-softmax-sgd,0.0,1.0,proj,softmax_sgd,8.752514555332136,0.0,0.0,0.0,8.404154013506803,9.671229516352803,0.0,7.344013092223381,nan,nan,4128.0,0.0,0.0,23.180840969085693
F-B-softmax-sgd,1.0,1.0,proj,softmax_sgd,8.47493320102483,0.0,0.0,0.0,8.859163714933507,10.468357618018894,0.0,7.152388668797903,nan,nan,4128.0,0.0,0.0,16.183748483657837
F-B-softmax-sgd,2.0,1.0,proj,softmax_sgd,8.592802646699006,0.0,0.0,0.0,8.881384997785005,9.806551992705387,0.0,7.185695874900826,nan,nan,4128.0,0.0,0.0,21.84899663925171
F-B-softmax-sgd,3.0,1.0,proj,softmax_sgd,8.76620100525086,0.0,0.0,0.0,8.902327074634005,9.957046800061484,0.0,7.361639746876128,nan,nan,4128.0,0.0,0.0,24.736160278320312
F-B-softmax-sgd,4.0,1.0,proj,softmax_sgd,8.576693523192654,0.0,0.0,0.0,8.691387152160836,10.117423191948324,0.0,7.2545617397491755,nan,nan,4128.0,0.0,0.0,15.696442365646362
F-B-softmax-sgd,5.0,1.0,proj,softmax_sgd,8.618399749088358,0.0,0.0,0.0,8.471259441655686,9.144534442917976,0.0,7.186052996483156,nan,nan,4128.0,0.0,0.0,21.042954683303833
