arm,seed,train_ppl,holdout_ppl,runtime_s
B-softmax-sgd,0,29.4674468330842,28.77031853127949,2.8461074829101562
B-softmax-sgd,1,29.540820470418073,29.92690387297749,2.8923521041870117
B-softmax-sgd,2,29.54669293640243,28.745285434797182,2.924635171890259
B-softmax-sgd,3,29.620665402482732,28.86469187804522,2.9740853309631348
B-softmax-sgd,4,29.420864527798244,29.039121601718975,2.9583475589752197
Gate-C-topk-softmax,0,21.108355919594082,17.07773788784843,8.299521207809448
Gate-C-topk-softmax,1,19.339419298755402,16.90342474403293,8.266726970672607
Gate-C-topk-softmax,2,20.10693810992219,15.38454235135492,8.37444519996643
Gate-C-topk-softmax,3,20.24000355397752,16.716088082234265,8.467170476913452
Gate-C-topk-softmax,4,18.754803187093128,15.253369771228007,8.190657377243042
Soft-topk,0,21.291735367240758,17.2296767019812,11.901600360870361
Soft-topk,1,19.289531618678396,16.97300503373655,11.889503479003906
Soft-topk,2,20.00291218296342,15.281030993002224,11.762950420379639
Soft-topk,3,20.404138427057724,16.731740603893563,11.949189901351929
Soft-topk,4,18.629684189123928,15.117107446294689,11.853954792022705
